time,high,low,open,volumefrom,volumeto,close
1524441600,0.9724,0.9175,0.9242,1540.86,1488.01,0.9657
1524528000,0.9859,0.8481,0.8742,3416.63,3279.28,0.9598
1524614400,1.12,0.9106,1.11,6221.76,6007.73,0.9656
1524700800,0.9806,0.8514,0.8881,3464.73,3395.44,0.98
1524787200,1.04,0.9789,1.01,1627.16,1595.1,0.9803
1524873600,0.9955,0.9235,0.9326,729.32,718.6,0.9853
1524960000,0.9942,0.9472,0.9685,1110.23,1085.58,0.9778
1525046400,1.01,0.9506,1,1132.75,1089.03,0.9614
1525132800,0.9885,0.9054,0.9529,4011.2,3910.12,0.9748
1525219200,0.9837,0.9373,0.9582,2787.16,2732.81,0.9805
1525305600,0.9638,0.8585,0.869,3646.73,3481.17,0.9546
1525392000,1.01,0.9447,0.9628,2524.64,2485,0.9843
1525478400,0.9896,0.9275,0.946,1458.28,1410.45,0.9672
1525564800,1.02,0.9377,0.9952,1267.37,1233.15,0.973
1525651200,1.02,0.8894,1.01,2131.13,2040.77,0.9576
1525737600,0.9913,0.9289,0.9519,1094.07,1057.64,0.9667
1525824000,0.9666,0.9073,0.9666,2120.25,1998.97,0.9428
1525910400,1,0.9476,0.9785,1461.77,1386.64,0.9486
1525996800,1.04,0.9394,1.02,3360.84,3241.19,0.9644
1526083200,0.9701,0.8955,0.9548,1114.47,1078.03,0.9673
1526169600,0.9708,0.8881,0.904,873.87,844.51,0.9664
1526256000,0.977,0.9046,0.9721,1205.2,1145.18,0.9502
1526342400,0.996,0.935,0.9686,797.79,760.93,0.9538
1526428800,0.9796,0.9248,0.9647,1395.12,1346.57,0.9652
1526515200,1.03,0.955,1.01,653.23,636.38,0.9742
1526601600,0.9619,0.9147,0.9436,856.14,818.98,0.9566
1526688000,0.9872,0.9281,0.9548,1440.27,1382.23,0.9597
1526774400,0.9684,0.9263,0.9383,867.96,826.04,0.9517
1526860800,0.9985,0.9521,0.9824,677.62,656.07,0.9682
1526947200,1.05,0.9594,1.04,946.22,911.78,0.9636
1527033600,1.11,0.9513,1.07,1920.77,1873.9,0.9756
1527120000,1.01,0.9125,0.9462,1359.75,1347.92,0.9913
1527206400,1.04,0.9564,1.01,878.81,858.42,0.9768
1527292800,1.03,0.9654,0.9844,471.53,464.65,0.9854
1527379200,1.02,0.9586,1.01,715.24,711.09,0.9942
1527465600,1.12,0.9735,1.11,2001.26,2001.06,0.9999
1527552000,0.9883,0.8696,0.8973,1894.12,1845.06,0.9741
1527638400,1.03,0.9456,0.9963,1681.54,1657.33,0.9856
1527724800,1.01,0.9374,0.9571,591.01,580.67,0.9825
1527811200,0.9911,0.9475,0.9735,556.91,542.54,0.9742
1527897600,0.9935,0.9238,0.9614,1082.82,1068.85,0.9871
1527984000,0.9889,0.9316,0.9401,795.97,773.92,0.9723
1528070400,1.05,0.9686,1.03,920.13,920.13,1
1528156800,0.9919,0.9237,0.9692,1006.32,983.38,0.9772
1528243200,1,0.9513,0.9881,599.3,594.27,0.9916
1528329600,1.01,0.962,0.9916,571.43,554.52,0.9704
1528416000,0.9961,0.9604,0.9712,305.74,298.07,0.9749
1528502400,1.01,0.9801,0.9857,282.45,277.59,0.9828
1528588800,1.11,0.9672,1.11,1859.07,1859.07,1
1528675200,1.02,0.96,0.9886,899.12,899.12,1
1528761600,1.09,0.9704,1.07,1351.67,1329.64,0.9837
1528848000,1.06,0.946,1.02,2229.73,2219.03,0.9952
1528934400,0.9922,0.8724,0.9019,2148.98,2115.03,0.9842
1529020800,1.05,0.9731,1.05,1164.84,1133.51,0.9731
1529107200,1.01,0.9552,0.9552,1506.29,1521.35,1.01
1529193600,1.02,0.9804,1.02,504.34,514.43,1.02
1529280000,1.02,0.947,0.9684,2142.1,2184.94,1.02
1529366400,1.01,0.924,0.9706,1231.41,1218.97,0.9899
1529452800,1,0.9517,0.9963,1140.36,1128.27,0.9894
1529539200,1.03,0.986,1.01,3995.23,4035.18,1.01
1529625600,1.33,0.9994,1.15,3765.08,3915.68,1.04
1529712000,1.04,0.9542,1.01,1436.7,1479.8,1.03
1529798400,1.09,0.9434,1.09,2225.89,2292.67,1.03
1529884800,1.05,0.9791,1.01,813.82,830.1,1.02
1529971200,1.09,1.01,1.09,723.66,738.13,1.02
1530057600,1.01,0.9679,0.9881,2310.05,2333.15,1.01
1530144000,1.07,0.9873,1.06,838.59,827.94,0.9873
1530230400,1.02,0.9198,0.9647,1528.12,1528.12,1
1530316800,1.01,0.9377,0.9648,534.21,527.16,0.9868
1530403200,1.01,0.9522,0.9946,231.09,230.35,0.9968
1530489600,1.02,0.91,0.9481,459.23,459.23,1
1530576000,1.05,0.9761,1.03,766.71,754.83,0.9845
1530662400,1.02,0.9311,0.9754,498.36,498.36,1
1530748800,1.02,0.9717,0.9902,1943.65,1937.62,0.9969
1530835200,1.01,0.8464,1,375.75,370.45,0.9859
1530921600,1,0.9204,0.9611,1465.63,1465.63,1
1531008000,1.02,0.9387,0.9934,483.67,483.67,1
1531094400,1.04,0.9703,1.04,670.99,670.99,1
1531180800,1.09,0.9915,1.07,963.24,960.45,0.9971
1531267200,1,0.9227,0.9678,1316.69,1308.39,0.9937
1531353600,1.04,0.9591,1.03,509.01,502.8,0.9878
1531440000,1.03,0.913,0.989,301.32,307.35,1.02
1531526400,1.03,0.9388,1.02,234.79,237.14,1.01
1531612800,1.02,0.9249,0.9743,520.39,518.78,0.9969
1531699200,1,0.8529,0.9367,567.32,565.73,0.9972
1531785600,1.02,0.8671,0.9504,2241.19,2238.72,0.9989
1531872000,1.06,0.9875,1.04,853.49,862.02,1.01
1531958400,1.04,0.945,1.03,448.44,438.53,0.9779
1532044800,1.05,0.9421,1.02,863.49,861.07,0.9972
1532131200,1.05,0.9546,0.9717,1352.61,1366.14,1.01
1532217600,1.04,0.9516,1.03,347.06,344.8,0.9935
1532304000,1.03,0.9442,0.999,432.07,431.98,0.9998
1532390400,1,0.9096,0.9431,890.46,877.73,0.9857
1532476800,1.04,0.9609,1.01,794.25,802.19,1.01
1532563200,1.02,0.9639,1.02,622.48,609.97,0.9799
1532649600,1.01,0.9291,0.9706,525.13,522.56,0.9951
1532736000,1.01,0.9461,1,124.12,122.16,0.9842
1532822400,0.9975,0.966,0.9911,285.18,280.82,0.9847
1532908800,1.01,0.9543,1,538.57,533.51,0.9906
1532995200,1.08,0.9665,1.05,1151.47,1151.47,1
