time,high,low,open,volumefrom,volumeto,close
1524441600,0.7994,0.7457,0.7925,1.53,1.22,0.7963
1524528000,0.7725,0.705,0.7325,3.94,3.04,0.7725
1524614400,0.8446,0.7548,0.8446,8.7,6.83,0.7851
1524700800,0.7491,0.7091,0.745,3.25,2.43,0.749
1524787200,0.812,0.7619,0.7776,2.26,1.72,0.7619
1524873600,0.7949,0.7336,0.7336,0.1812,0.1412,0.7794
1524960000,0.7881,0.75,0.7715,1.19,0.9378,0.7881
1525046400,0.7986,0.7507,0.7986,0.9086,0.7165,0.7886
1525132800,0.7975,0.7414,0.7975,1.25,0.9834,0.7867
1525219200,0.7816,0.7465,0.7762,3.82,2.91,0.7605
1525305600,0.7776,0.7159,0.7276,2.69,2.03,0.7528
1525392000,0.7955,0.7595,0.76,0.9734,0.763,0.7838
1525478400,0.799,0.7688,0.7754,1.29,1,0.7756
1525564800,0.8143,0.7559,0.787,0.7146,0.5452,0.7629
1525651200,0.8155,0.7574,0.7819,2.15,1.71,0.7943
1525737600,0.8006,0.7397,0.794,2.68,2,0.7453
1525824000,0.7816,0.7415,0.7418,0.5212,0.392,0.7522
1525910400,0.8139,0.7788,0.7788,0.7041,0.56,0.7954
1525996800,0.852,0.7689,0.852,2.63,2.08,0.7909
1526083200,0.7906,0.7403,0.7831,0.4245,0.331,0.7797
1526169600,0.7954,0.7361,0.7588,1.34,1.06,0.794
1526256000,0.7951,0.7339,0.7951,1.2,0.9317,0.7764
1526342400,0.8085,0.7566,0.7868,4.7,3.65,0.7759
1526428800,0.7952,0.7326,0.7952,7.87,5.97,0.7587
1526515200,0.8121,0.7635,0.7839,1.3,1.03,0.7898
1526601600,0.7927,0.7335,0.7696,4.22,3.35,0.7927
1526688000,0.8063,0.7692,0.7982,0.2493,0.2003,0.8035
1526774400,0.8005,0.7417,0.7784,0.3078,0.2364,0.7679
1526860800,0.8153,0.7811,0.7844,0.1288,0.1034,0.8027
1526947200,0.8378,0.7641,0.8378,1.32,1.01,0.7641
1527033600,0.8222,0.7507,0.8213,5.67,4.33,0.7644
1527120000,0.7709,0.746,0.7594,4.92,3.72,0.7556
1527206400,0.7599,0.7429,0.7599,0.3568,0.2694,0.755
1527292800,0.8819,0.7746,0.7746,0.2297,0.1932,0.8411
1527379200,0.8403,0.7404,0.8403,0.8254,0.6111,0.7404
1527465600,0.8112,0.7537,0.7657,1.53,1.16,0.7563
1527552000,0.7963,0.7163,0.7163,0.5525,0.44,0.7963
1527638400,0.8129,0.7451,0.8129,2.19,1.66,0.7565
1527724800,0.7988,0.7434,0.7647,0.316,0.2524,0.7988
1527811200,0.8029,0.744,0.7956,3.02,2.25,0.7457
1527897600,0.7982,0.7365,0.7648,0.3458,0.276,0.7982
1527984000,0.797,0.7408,0.7871,0.707,0.5585,0.7899
1528070400,0.8262,0.7735,0.777,1.35,1.06,0.7833
1528156800,0.7934,0.7319,0.7687,0.6985,0.5182,0.7419
1528243200,0.8064,0.7419,0.7419,1.06,0.8157,0.7695
1528329600,0.8021,0.7568,0.7607,0.2856,0.2267,0.7938
1528416000,0.8002,0.7567,0.7883,0.513,0.3882,0.7567
1528502400,0.8153,0.77,0.77,1.17,0.9464,0.8089
1528588800,0.8954,0.7448,0.8954,1.82,1.55,0.8515
1528675200,0.837,0.743,0.837,0.4489,0.3492,0.778
1528761600,0.8375,0.7512,0.8142,0.4073,0.306,0.7512
1528848000,0.841,0.7466,0.786,1.96,1.47,0.7476
1528934400,0.7935,0.7012,0.7012,1.85,1.47,0.7935
1529020800,0.8212,0.762,0.8212,0.5902,0.4513,0.7647
1529107200,1.19,0.8028,1.19,0.2795,0.2274,0.8137
1529193600,0.8192,0.7482,0.8166,0.8916,0.6671,0.7482
1529280000,0.7828,0.709,0.7241,2.63,2.06,0.7828
1529366400,0.7901,0.7315,0.7744,5.14,3.82,0.7425
1529452800,0.7496,0.7315,0.7432,0.5936,0.438,0.7378
1529539200,0.7418,0.7354,0.7418,0.2661,0.1957,0.7354
1529625600,0.8199,0.7523,0.8199,2.47,1.86,0.7523
1529712000,0.7353,0.73,0.7352,0.3584,0.2635,0.7353
1529798400,0.7802,0.699,0.7402,3.47,2.66,0.7676
1529884800,0.8128,0.7211,0.7518,2.71,2.17,0.8008
1529971200,0.8234,0.7482,0.8231,2.25,1.84,0.8169
1530057600,0.8059,0.7226,0.8015,2.14,1.72,0.8059
1530144000,0.8421,0.7573,0.8351,0.3475,0.2842,0.8179
1530230400,0.7864,0.6995,0.7864,0.4074,0.2927,0.7184
1530316800,1.17,0.7127,0.7209,0.1427,0.1248,0.8743
1530403200,0.8777,0.7021,0.8777,0.289,0.217,0.751
1530489600,0.7501,0.7172,0.7172,0.739,0.5461,0.739
1530576000,0.759,0.7547,0.7547,0.8633,0.6552,0.759
1530662400,0.8333,0.7458,0.7458,0.8323,0.6321,0.7595
1530748800,0.7615,0.7392,0.7615,1.75,1.29,0.7399
1530835200,0.7412,0.7375,0.7392,4.67,3.45,0.7383
1530921600,0.8191,0.6718,0.7233,0.01465,0.012,0.8191
1531008000,0.8507,0.8474,0.8474,0.04217,0.03587,0.8507
1531094400,1.12,0.7494,0.8069,0.2843,0.2132,0.7499
1531180800,0.7785,0.7388,0.7785,2.8,2.07,0.7388
1531267200,0.8088,0.7306,0.7306,0.49,0.3899,0.7957
1531353600,0.8137,0.7823,0.8137,0.9996,0.8119,0.8122
1531440000,0.8227,0.7401,0.8142,0.7055,0.576,0.8165
1531526400,0.8188,0.7353,0.811,0.4387,0.3592,0.8188
1531612800,0.8251,0.8094,0.8105,0.107,0.08811,0.8235
1531699200,0.8057,0.724,0.7805,5.34,4.24,0.7948
1531785600,0.812,0.6768,0.7273,0.7172,0.5824,0.812
1531872000,0.8211,0.7369,0.8096,2.18,1.62,0.7425
1531958400,0.7817,0.7238,0.7343,1.15,0.8466,0.7362
1532044800,0.7569,0.7357,0.7513,6.97,5.13,0.7367
1532131200,0.7911,0.7309,0.7309,0.176,0.1298,0.7373
1532217600,0.7516,0.7387,0.7395,1.23,0.9092,0.7392
1532304000,0.7386,0.7052,0.7052,3.73,2.74,0.7335
1532390400,0.7319,0.6759,0.6759,4.42,3.23,0.7319
1532476800,0.7591,0.7398,0.7591,3.84,2.88,0.7499
1532563200,0.7683,0.7491,0.7655,9.54,7.15,0.7491
1532649600,0.7424,0.7107,0.7258,13.68,10.16,0.7424
1532736000,0.7646,0.7296,0.7365,0.9317,0.68,0.7299
1532822400,0.7896,0.73,0.7305,3.16,2.35,0.7442
1532908800,0.7625,0.7116,0.751,4.73,3.56,0.7528
1532995200,0.8116,0.7333,0.7681,1.64,1.23,0.7482
1533081600,0.8079,0.7283,0.7612,0.5807,0.4279,0.7369
1533168000,0.8054,0.7298,0.7386,1.92,1.53,0.7947
1533254400,0.8145,0.7378,0.8145,6.46,5,0.7747
1533340800,0.8165,0.7368,0.8165,6.28,4.89,0.778
1533427200,0.7974,0.7329,0.7721,0.2642,0.2069,0.783
1533513600,0.8193,0.7329,0.795,7.64,5.83,0.7625
1533600000,0.8425,0.7363,0.7898,1.26,0.9281,0.7366
1533686400,0.8473,0.7346,0.7902,45.03,33.9,0.7529
1533772800,0.7395,0.6948,0.7114,3.26,2.33,0.7135
1533859200,0.8279,0.7113,0.7532,0.6294,0.4477,0.7113
1533945600,0.7725,0.6998,0.6998,1.21,0.8576,0.7088
1534032000,0.7945,0.7021,0.7021,0.2183,0.1732,0.7935
1534118400,0.8158,0.7156,0.8004,1.96,1.41,0.7188
1534204800,0.779,0.7039,0.7591,14.47,10.2,0.705
1534291200,0.7663,0.6919,0.6919,2.95,2.24,0.7591
1534377600,0.7766,0.7125,0.7584,0.5548,0.4309,0.7766
1534464000,0.7857,0.7514,0.7514,0.03609,0.02836,0.7857
1534550400,0.8135,0.7922,0.8049,0.3548,0.2811,0.7922
1534636800,0.7968,0.7151,0.7852,0.2631,0.2096,0.7968
1534723200,0.8252,0.7439,0.8252,0.4468,0.3325,0.7442
1534809600,0.7759,0.7087,0.7588,13.92,10.6,0.7616
1534896000,0.828,0.7336,0.7758,0.5822,0.4588,0.788
1534982400,0.7708,0.6954,0.7585,19.56,13.7,0.7005
1535068800,0.754,0.6917,0.6917,1.17,0.8316,0.7108
1535155200,0.7881,0.7076,0.7076,9.09,6.54,0.7197
1535241600,0.7857,0.721,0.721,0.3466,0.2723,0.7857
1535328000,0.7749,0.7051,0.7706,21.82,15.42,0.7065
1535414400,0.7843,0.6867,0.6867,1.38,1.08,0.783
1535500800,0.786,0.7051,0.786,1.19,0.9264,0.7785
1535587200,0.7758,0.6866,0.7269,20.53,14.29,0.6962
1535673600,0.7245,0.6833,0.6848,8.66,6.27,0.7236
1535760000,0.7596,0.684,0.7066,0.3603,0.2737,0.7596
1535846400,0.7612,0.6944,0.7534,0.6323,0.4784,0.7566
1535932800,0.7611,0.6982,0.7601,1.39,1.06,0.7611
1536019200,0.7626,0.6948,0.7467,0.5432,0.4122,0.7589
1536105600,0.8352,0.7222,0.834,1.82,1.42,0.7815
1536192000,0.8012,0.6842,0.8012,10.61,7.27,0.6853
1536278400,0.727,0.674,0.6872,6.44,4.67,0.7251
1536364800,0.7788,0.682,0.6962,1.68,1.15,0.682
1536451200,0.7656,0.6808,0.6808,1.12,0.8439,0.7535
1536537600,0.764,0.6949,0.7515,1.28,0.9723,0.7596
1536624000,0.7668,0.688,0.7049,2.37,1.65,0.6974
1536710400,0.762,0.6934,0.698,0.8441,0.6432,0.762
1536796800,0.7638,0.6869,0.7459,0.4827,0.3682,0.7628
1536883200,0.7668,0.703,0.7601,0.2253,0.1716,0.7617
1536969600,0.7637,0.7569,0.7569,0.0741,0.05635,0.7604
1537056000,0.7639,0.7595,0.7639,0.1044,0.07951,0.7616
1537142400,0.7875,0.6838,0.7851,0.4509,0.3083,0.6838
1537228800,0.7604,0.6814,0.6814,0.8744,0.6649,0.7604
1537315200,0.7718,0.6944,0.7604,0.7055,0.5161,0.7315
1537401600,0.7416,0.6941,0.7231,8.27,6.04,0.7305
1537488000,0.7622,0.6987,0.7103,1.21,0.8568,0.7081
1537574400,0.7114,0.7028,0.7114,0.1894,0.1331,0.7028
1537660800,0.8345,0.7732,0.8343,0.1146,0.09563,0.8345
1537747200,0.8421,0.6984,0.8421,0.4003,0.2836,0.7085
1537833600,0.72,0.6961,0.72,1.18,0.8234,0.6978
1537920000,0.7082,0.6959,0.6959,1.39,0.9841,0.708
1538006400,0.6881,0.6768,0.6834,11.16,7.68,0.6881
1538092800,0.7745,0.6906,0.6906,0.1452,0.1125,0.7745
1538179200,0.7738,0.7027,0.7738,2.44,1.72,0.703
1538265600,0.7727,0.7082,0.7082,0.5561,0.4063,0.7306
1538352000,0.7777,0.7124,0.7326,0.1747,0.1354,0.7748
1538438400,0.7785,0.7068,0.7762,2.28,1.74,0.7611
1538524800,0.7686,0.7026,0.7597,0.7388,0.5191,0.7026
1538611200,0.7687,0.6943,0.6943,3.23,2.29,0.7077
1538697600,0.7563,0.7024,0.7038,0.2873,0.2043,0.711
1538784000,0.7707,0.705,0.7129,0.4975,0.3816,0.767
1538870400,0.7672,0.7006,0.7656,0.3354,0.2559,0.7631
1538956800,0.7623,0.7077,0.7581,5.98,4.44,0.743
1539043200,0.7698,0.7117,0.7478,1.9,1.36,0.7152
1539129600,0.7625,0.6983,0.7158,3.79,2.65,0.7
1539216000,0.7934,0.701,0.7427,9.42,7.06,0.7493
1539302400,0.77,0.7038,0.7454,0.181,0.1394,0.77
1539388800,0.7706,0.7022,0.7687,0.3963,0.3052,0.7702
1539475200,0.7803,0.7087,0.7736,10.12,7.43,0.7344
1539561600,0.7667,0.688,0.7126,0.6649,0.4749,0.7143
1539648000,0.779,0.7099,0.715,1.19,0.8448,0.7099
1539734400,0.7795,0.7087,0.7087,0.6158,0.48,0.7795
1539820800,0.781,0.7044,0.7802,29.48,20.85,0.7072
1539907200,0.7352,0.7114,0.7117,0.3818,0.2807,0.7351
1539993600,0.7765,0.7124,0.7318,0.1234,0.08791,0.7124
1540080000,0.7794,0.712,0.7616,0.6088,0.4724,0.776
1540166400,0.776,0.7063,0.776,30.79,22.57,0.7331
1540252800,0.7461,0.7031,0.7325,16.66,12.43,0.7461
1540339200,0.7767,0.7048,0.7434,2.7,2.1,0.7767
1540425600,0.7782,0.7732,0.7781,0.4149,0.3225,0.7774
1540512000,0.7788,0.7077,0.7788,10.22,7.68,0.7516
1540598400,0.7751,0.7103,0.7509,0.3571,0.267,0.7476
1540684800,0.7767,0.7483,0.7483,0.1649,0.1265,0.767
1540771200,0.7868,0.7018,0.7767,4.64,3.27,0.7052
1540857600,0.7753,0.7089,0.7089,0.6587,0.4777,0.7252
1540944000,0.7768,0.7054,0.7207,10.5,7.5,0.7146
1541030400,0.7896,0.7177,0.7223,0.8689,0.6356,0.7315
1541116800,0.7362,0.7172,0.7302,19.34,14.22,0.7354
1541203200,0.7947,0.7213,0.7387,0.4346,0.344,0.7915
1541289600,0.781,0.7113,0.781,1,0.7218,0.7218
1541376000,0.7906,0.7234,0.7243,0.5227,0.4124,0.7889
1541462400,0.7923,0.7294,0.7868,0.5137,0.4042,0.7869
1541548800,0.7972,0.7225,0.7827,5.41,3.94,0.728
1541635200,0.8028,0.7323,0.7385,0.427,0.342,0.801
1541721600,0.801,0.722,0.801,10.53,7.61,0.7224
1541808000,0.793,0.7221,0.7224,0.06942,0.05505,0.793
1541894400,0.7935,0.7187,0.793,0.3239,0.2428,0.7495
1541980800,0.7998,0.7248,0.7542,3.6,2.61,0.7262
1542067200,0.7465,0.7301,0.7326,0.6825,0.4985,0.7304
1542153600,0.8801,0.7104,0.8074,15.72,11.54,0.7338
1542240000,0.7631,0.7087,0.7505,6.04,4.32,0.7148
1542326400,0.8125,0.7283,0.7283,0.1733,0.1268,0.7318
1542412800,0.7412,0.7374,0.7412,0.545,0.4019,0.7374
1542499200,0.8195,0.7269,0.7269,0.6665,0.5404,0.8108
1542585600,0.947,0.7283,0.9454,1.01,0.7356,0.7283
1542672000,0.8128,0.6831,0.7804,13.25,9.36,0.7064
1542758400,0.8034,0.6833,0.6833,2.84,2.01,0.7082
1542844800,0.8574,0.7451,0.75,0.4366,0.3706,0.8489
1542931200,0.8388,0.7088,0.8388,0.2299,0.163,0.7088
1543017600,0.9312,0.781,0.8009,0.6358,0.4966,0.781
1543104000,0.824,0.7219,0.758,3.19,2.63,0.824
1543190400,0.8689,0.6931,0.8629,5.77,4.05,0.7022
1543276800,0.7893,0.6869,0.6869,4.67,3.35,0.7173
1543363200,0.8081,0.6513,0.6513,6.38,4.6,0.7212
1543449600,0.8385,0.7146,0.7192,4.82,3.53,0.7328
1543536000,0.88,0.7235,0.7783,2.77,2.29,0.8277
1543622400,0.8598,0.7302,0.7964,0.5131,0.4353,0.8483
1543708800,0.8627,0.7334,0.8627,0.5474,0.4697,0.858
1543795200,0.9126,0.7211,0.9126,0.9353,0.6881,0.7357
1543881600,0.8638,0.7245,0.7245,1.54,1.2,0.782
1543968000,0.8764,0.7451,0.8211,11.36,9.22,0.8114
1544054400,0.884,0.7989,0.8681,2.29,2.01,0.8798
1544140800,0.895,0.7023,0.895,1.74,1.5,0.8603
1544227200,0.8594,0.8272,0.8594,0.5067,0.4191,0.8272
1544313600,0.7959,0.7959,0.7959,0.03336,0.02655,0.7959
1544400000,1.08,0.7016,0.8218,4.82,3.42,0.7102
1544486400,0.8451,0.7068,0.722,3.09,2.35,0.7592
1544572800,0.8382,0.7475,0.7475,0.3166,0.2627,0.8299
1544659200,0.8778,0.7355,0.8674,2.42,2.07,0.8546
1544745600,0.8701,0.7101,0.7907,3.75,3.18,0.8483
1544832000,0.8714,0.7165,0.8623,0.8911,0.7765,0.8714
1544918400,0.8684,0.7794,0.8626,0.2974,0.2582,0.8683
1545004800,0.8539,0.7864,0.7888,1.02,0.8605,0.8436
1545091200,0.8107,0.689,0.804,0.2653,0.2151,0.8107
1545177600,0.8435,0.7072,0.8003,1.75,1.46,0.8316
1545264000,0.7595,0.6775,0.7543,4.47,3.14,0.7028
1545350400,0.8337,0.6976,0.7402,6.67,4.67,0.6997
1545436800,0.8016,0.6739,0.6739,1.56,1.11,0.7089
1545523200,0.8227,0.7105,0.7153,1.57,1.29,0.8215
1545609600,0.8347,0.7248,0.8008,0.0562,0.0457,0.8132
1545696000,0.8679,0.685,0.8679,4.75,3.25,0.685
1545782400,0.81,0.6831,0.6831,7.69,5.28,0.6869
1545868800,0.8052,0.6944,0.7221,0.1815,0.126,0.6944
1545955200,0.8014,0.643,0.6466,3.83,3.05,0.7961
1546041600,0.8409,0.7131,0.8242,1.18,0.9812,0.8315
1546128000,0.8111,0.6835,0.8111,2.15,1.49,0.6939
1546214400,0.82,0.686,0.7186,0.5191,0.3561,0.686
1546300800,0.787,0.665,0.665,0.3196,0.2515,0.787
1546387200,0.7766,0.6781,0.7579,3.04,2.07,0.6824
1546473600,0.8083,0.6865,0.7086,1.74,1.2,0.69
1546560000,0.809,0.6873,0.6927,0.3709,0.2643,0.7126
1546646400,0.7944,0.7104,0.7188,1.67,1.32,0.7922
1546732800,0.8048,0.6609,0.748,1.98,1.59,0.8048
1546819200,0.8139,0.6981,0.8139,2.35,1.89,0.8059
1546905600,0.8231,0.7057,0.81,0.3151,0.2224,0.7057
1546992000,0.8134,0.6929,0.6998,1.82,1.45,0.7971
1547078400,0.8843,0.6929,0.8843,5.83,4.09,0.7024
1547164800,0.8034,0.7049,0.7049,2.81,2,0.7102
1547251200,0.8378,0.7149,0.7149,0.2207,0.1849,0.8378
1547337600,0.8589,0.7023,0.8589,2.11,1.48,0.7023
1547424000,0.8266,0.6747,0.6747,0.1655,0.1368,0.8266
1547510400,0.8501,0.7094,0.8469,3.83,2.72,0.7094
1547596800,0.8216,0.7009,0.7009,1.92,1.35,0.7051
1547683200,0.8354,0.6994,0.6994,0.7893,0.5599,0.7093
1547769600,0.8412,0.707,0.7143,2.08,1.49,0.7141
1547856000,0.8166,0.6989,0.6989,2.15,1.76,0.8166
1547942400,0.855,0.7087,0.8495,0.8131,0.5814,0.7151
1548028800,0.8412,0.7141,0.7141,0.4026,0.3372,0.8376
1548115200,0.8322,0.718,0.828,0.516,0.3705,0.718
1548201600,0.7165,0.7154,0.7165,0.004333,0.0031,0.7154
1548288000,0.7075,0.7004,0.7075,0.3696,0.2609,0.7058
1548374400,0.7133,0.7128,0.7133,1.12,0.7983,0.7128
1548460800,0.719,0.716,0.716,0.15,0.1078,0.719
1548547200,0.7222,0.7101,0.7222,0.004929,0.0035,0.7101
1548633600,0.7315,0.7024,0.7315,0.3261,0.2302,0.7059
1548720000,0.7144,0.7144,0.7144,0,0,0.7144
1548806400,0.7254,0.7127,0.7127,0.435,0.3155,0.7254
1548892800,0.733,0.7218,0.733,1.25,0.9022,0.7218
1548979200,0.7172,0.7083,0.7083,0.102,0.07315,0.7172
1549065600,0.712,0.712,0.712,0,0,0.712
1549152000,0.7261,0.7189,0.7261,0.5007,0.36,0.7189
1549238400,0.7158,0.7158,0.7158,0,0,0.7158
1549324800,0.7238,0.7172,0.7172,0.6012,0.4351,0.7238
1549411200,0.7231,0.7231,0.7231,0,0,0.7231
1549497600,0.7234,0.7133,0.7234,0.2067,0.1474,0.7133
1549584000,0.6681,0.6655,0.6655,0.005,0.003341,0.6681
1549670400,0.714,0.6678,0.6678,14.24,10.11,0.71
1549756800,0.7055,0.7043,0.7043,0.0025,0.001764,0.7055
1549843200,0.7131,0.7106,0.7131,0.1385,0.09842,0.7106
1549929600,0.7182,0.714,0.7157,0.002769,0.001989,0.7182
1550016000,0.72,0.7194,0.72,0.001575,0.001133,0.7194
1550102400,0.7209,0.7209,0.7209,0,0,0.7209
1550188800,0.7248,0.7195,0.7248,2.46,1.77,0.7203
1550275200,0.7224,0.7174,0.7174,0.168,0.1214,0.7224
1550361600,0.7123,0.7101,0.7123,0.061,0.04332,0.7101
1550448000,0.7239,0.666,0.666,0.5726,0.4138,0.7227
1550534400,0.7317,0.7159,0.72,2.06,1.5,0.7286
1550620800,0.7211,0.715,0.7211,0.3292,0.237,0.72
1550707200,0.722,0.7114,0.722,0.1601,0.1143,0.7141
1550793600,0.7154,0.7039,0.7066,2.35,1.68,0.7154
1550880000,0.7182,0.6898,0.6905,0.45,0.3232,0.7182
1550966400,0.798,0.7233,0.7907,1.91,1.39,0.7263
1551052800,0.7112,0.7077,0.7077,0.4878,0.3468,0.7109
