time,high,low,open,volumefrom,volumeto,close
1524441600,0.628,0.6111,0.6124,9740.54,6082.97,0.6245
1524528000,0.6251,0.5745,0.5745,21588.84,13391.56,0.6203
1524614400,0.6853,0.6151,0.6785,30419.45,19015.2,0.6251
1524700800,0.6254,0.5794,0.593,18298.13,11410.71,0.6236
1524787200,0.6577,0.6222,0.6481,12717.36,7922.92,0.623
1524873600,0.6319,0.5954,0.5985,11555.09,7221.93,0.625
1524960000,0.631,0.6099,0.6187,8807.46,5489.69,0.6233
1525046400,0.6346,0.6148,0.6317,8424.53,5251.01,0.6233
1525132800,0.6307,0.6053,0.6303,10878.65,6766.52,0.622
1525219200,0.6284,0.6084,0.6137,8844.99,5532.54,0.6255
1525305600,0.6345,0.5943,0.5984,15217.77,9587.2,0.63
1525392000,0.6415,0.6224,0.636,10659.97,6772.28,0.6353
1525478400,0.6454,0.6277,0.6285,10981.77,6989.9,0.6365
1525564800,0.6519,0.6217,0.6459,9952.5,6298.94,0.6329
1525651200,0.6508,0.6238,0.6488,11310.77,7173.29,0.6342
1525737600,0.6416,0.6164,0.6341,9469.29,5917.36,0.6249
1525824000,0.6323,0.6084,0.62,8570.59,5376.33,0.6273
1525910400,0.6565,0.6253,0.6499,8482.62,5308.42,0.6258
1525996800,0.6802,0.6275,0.6769,17458.1,11028.28,0.6317
1526083200,0.6443,0.6121,0.6254,11687,7374.5,0.631
1526169600,0.6353,0.6045,0.6141,7850.32,4943.35,0.6297
1526256000,0.6441,0.6021,0.6306,15900.45,10004.56,0.6292
1526342400,0.6507,0.6261,0.6377,11872.39,7477.23,0.6298
1526428800,0.647,0.6198,0.6455,15031.48,9554.01,0.6356
1526515200,0.6654,0.6305,0.6567,11600.06,7383.44,0.6365
1526601600,0.6371,0.6104,0.6204,11192.1,7102.51,0.6346
1526688000,0.6504,0.6331,0.639,6711.32,4282.49,0.6381
1526774400,0.6438,0.6144,0.6182,7359.87,4703.69,0.6391
1526860800,0.6595,0.6382,0.6528,9207.06,5922.9,0.6433
1526947200,0.672,0.6369,0.6713,11832.81,7564.72,0.6393
1527033600,0.6823,0.6388,0.6799,20245.5,12997.61,0.642
1527120000,0.6568,0.6161,0.6377,16609.66,10691.64,0.6437
1527206400,0.6537,0.627,0.649,11187.58,7177.95,0.6416
1527292800,0.67,0.6436,0.6526,7250.07,4685,0.6462
1527379200,0.6499,0.637,0.6455,6907.31,4449,0.6441
1527465600,0.6724,0.6455,0.6661,11670.23,7568.14,0.6485
1527552000,0.6557,0.6106,0.6143,15939.58,10355.95,0.6497
1527638400,0.6713,0.642,0.6633,10699.03,6956.51,0.6502
1527724800,0.6553,0.6359,0.6387,9947.93,6419.4,0.6453
1527811200,0.6524,0.6331,0.6428,9272.37,5997.37,0.6468
1527897600,0.6535,0.6338,0.639,7129.9,4625.88,0.6488
1527984000,0.6497,0.6359,0.6398,5875.81,3799.3,0.6466
1528070400,0.6769,0.6504,0.6742,8544.44,5578.66,0.6529
1528156800,0.6536,0.6326,0.6409,9690.39,6301.66,0.6503
1528243200,0.6543,0.6369,0.6503,8657.43,5623.87,0.6496
1528329600,0.6501,0.6396,0.6421,6280.85,4048.01,0.6445
1528416000,0.6475,0.6368,0.6465,5364.28,3445.48,0.6423
1528502400,0.6591,0.6422,0.6535,3776.78,2428.09,0.6429
1528588800,0.7117,0.6343,0.7117,18633.03,11971.72,0.6425
1528675200,0.6451,0.6196,0.6315,13613.52,8748.05,0.6426
1528761600,0.6729,0.6332,0.6725,13408.14,8608.03,0.642
1528848000,0.6735,0.6262,0.6672,20011.96,12773.63,0.6383
1528934400,0.6483,0.5968,0.5987,17663.76,11368.4,0.6436
1529020800,0.6728,0.6374,0.6662,11187.44,7151.01,0.6392
1529107200,0.6465,0.6257,0.6303,5333.88,3430.22,0.6431
1529193600,0.6495,0.6369,0.6437,4059.18,2600.31,0.6406
1529280000,0.6498,0.6123,0.6199,11176.42,7158.5,0.6405
1529366400,0.6498,0.6303,0.6336,10001.03,6392.66,0.6392
1529452800,0.6458,0.6237,0.6398,9278.05,5951.87,0.6415
1529539200,0.6487,0.6378,0.645,7107.82,4550.43,0.6402
1529625600,0.7143,0.6298,0.7138,24371.63,15644.15,0.6419
1529712000,0.6462,0.6242,0.6273,6569.46,4185.4,0.6371
1529798400,0.6522,0.602,0.6414,15614.33,9993.17,0.64
1529884800,0.6438,0.6186,0.6268,12197.61,7738.16,0.6344
1529971200,0.6539,0.6345,0.6521,10371.84,6599.6,0.6363
1530057600,0.6395,0.6192,0.624,8928.53,5670.51,0.6351
1530144000,0.6646,0.6295,0.6619,9186.23,5808.45,0.6323
1530230400,0.6446,0.5975,0.608,12649.6,8045.15,0.636
1530316800,0.6481,0.6187,0.6196,7823.01,4993.43,0.6383
1530403200,0.6479,0.6316,0.6437,5046.93,3238.11,0.6416
1530489600,0.646,0.606,0.6128,10071.12,6449.55,0.6404
1530576000,0.6578,0.6377,0.654,8592.93,5508.93,0.6411
1530662400,0.6558,0.6212,0.6299,9374.77,5978.29,0.6377
1530748800,0.6495,0.6268,0.6394,9460.27,5982.67,0.6324
1530835200,0.6393,0.6237,0.6318,6400.69,4070.2,0.6359
1530921600,0.6409,0.6155,0.623,5475.01,3485.94,0.6367
1531008000,0.6456,0.6354,0.6419,7074.7,4511.54,0.6377
1531094400,0.6515,0.6358,0.6434,7239.79,4624.05,0.6387
1531180800,0.6642,0.6272,0.663,12008.49,7555.74,0.6292
1531267200,0.6328,0.6208,0.6222,8590.52,5436.08,0.6328
1531353600,0.6487,0.6195,0.6486,9903.95,6285.05,0.6346
1531440000,0.6453,0.6254,0.6362,8626.68,5465.86,0.6336
1531526400,0.6388,0.6262,0.6293,3850.91,2437.63,0.633
1531612800,0.6405,0.6243,0.6266,5509.54,3505.72,0.6363
1531699200,0.6379,0.6003,0.6031,16081.4,10239.03,0.6367
1531785600,0.6475,0.5762,0.5827,17324.5,11006.25,0.6353
1531872000,0.6573,0.6295,0.634,15393.62,9848.84,0.6398
1531958400,0.6412,0.6191,0.6263,9957.19,6324.81,0.6352
1532044800,0.6618,0.6256,0.6482,12855.72,8114.53,0.6312
1532131200,0.6353,0.6172,0.6262,5571.26,3518.81,0.6316
1532217600,0.6476,0.6272,0.6335,5888.04,3729.48,0.6334
1532304000,0.6398,0.6025,0.6043,17630.99,11156.89,0.6328
1532390400,0.6405,0.5818,0.583,23105.81,14681.43,0.6354
1532476800,0.6641,0.632,0.659,13945.15,8891.43,0.6376
1532563200,0.6662,0.6314,0.651,12179.92,7763.48,0.6374
1532649600,0.6428,0.607,0.6175,11949.45,7595.07,0.6356
1532736000,0.635,0.6239,0.6305,3922.85,2488.26,0.6343
1532822400,0.6393,0.6273,0.6348,3603.82,2283.02,0.6335
1532908800,0.6434,0.6108,0.6393,13307.77,8431.8,0.6336
1532995200,0.6675,0.6266,0.6675,16189.95,10251.48,0.6332
1533081600,0.6455,0.6207,0.6442,13080.08,8295.39,0.6342
1533168000,0.6449,0.6272,0.6357,8412.71,5346.28,0.6355
1533254400,0.6514,0.6298,0.6514,12162.97,7790.38,0.6405
1533340800,0.6816,0.6315,0.6751,10433.48,6661.78,0.6385
1533427200,0.641,0.6231,0.6336,6675.36,4250.87,0.6368
1533513600,0.6569,0.6303,0.6465,8086.7,5164.17,0.6386
1533600000,0.6779,0.6346,0.6614,12837.61,8186.54,0.6377
1533686400,0.6845,0.6238,0.6841,19285.57,12325.41,0.6391
1533772800,0.6418,0.5972,0.6039,13784.78,8736.79,0.6338
1533859200,0.6728,0.622,0.6691,16934.93,10757.07,0.6352
1533945600,0.6602,0.6113,0.6248,10644.94,6745.7,0.6337
1534032000,0.6539,0.6216,0.6277,9215.81,5869.55,0.6369
1534118400,0.6663,0.6265,0.6425,13920.52,8861.8,0.6366
1534204800,0.641,0.6032,0.641,20099.32,12801.26,0.6369
1534291200,0.6694,0.6247,0.6254,20825.66,13193.06,0.6335
1534377600,0.6512,0.6268,0.6329,12669.76,8056.7,0.6359
1534464000,0.6367,0.6127,0.6142,10350.24,6578.61,0.6356
1534550400,0.6543,0.6242,0.6512,7508.94,4762.17,0.6342
1534636800,0.6426,0.6223,0.6285,6004.37,3820.58,0.6363
1534723200,0.6627,0.6289,0.659,9901.76,6275.74,0.6338
1534809600,0.6357,0.6155,0.6167,9752.37,6163.5,0.632
1534896000,0.6823,0.6212,0.6438,18490.53,11674.92,0.6314
1534982400,0.6289,0.607,0.6078,10047.12,6291.51,0.6262
1535068800,0.6324,0.6097,0.6183,8416.09,5302.98,0.6301
1535155200,0.6354,0.624,0.6271,5106.32,3219.02,0.6304
1535241600,0.6347,0.6181,0.6316,4616.33,2905.52,0.6294
1535328000,0.6329,0.6127,0.6169,8847.14,5586.08,0.6314
1535414400,0.6337,0.6113,0.6137,13002.43,8182.43,0.6293
1535500800,0.6366,0.6175,0.6316,11561.07,7249.95,0.6271
1535587200,0.6277,0.6066,0.6259,12784.62,7967.38,0.6232
1535673600,0.6242,0.6069,0.613,8421.6,5207.92,0.6184
1535760000,0.6244,0.6039,0.6039,6915.43,4278.58,0.6187
1535846400,0.6265,0.6086,0.6137,6941.32,4330,0.6238
1535932800,0.6287,0.6183,0.6267,7863.08,4894.77,0.6225
1536019200,0.625,0.6081,0.6106,8787.4,5437.64,0.6188
1536105600,0.6866,0.6165,0.68,17489.52,10824.26,0.6189
1536192000,0.6353,0.5952,0.6344,23372.29,14411.35,0.6166
1536278400,0.6213,0.6012,0.6182,11365.74,6951.29,0.6116
1536364800,0.6373,0.6057,0.6304,8569.08,5236.56,0.6111
1536451200,0.6336,0.607,0.6101,6376.71,3916.58,0.6142
1536537600,0.6244,0.6112,0.6125,8811.18,5440.02,0.6174
1536624000,0.6263,0.6054,0.6174,10661.51,6548.3,0.6142
1536710400,0.6216,0.6077,0.6147,9374.65,5797.28,0.6184
1536796800,0.6243,0.6053,0.6053,12574.99,7753.74,0.6166
1536883200,0.623,0.6052,0.6143,10130.05,6254.29,0.6174
1536969600,0.6211,0.6125,0.6135,3699.07,2286.03,0.618
1537056000,0.6213,0.6095,0.6208,4322.32,2673.35,0.6185
1537142400,0.6395,0.6051,0.6376,11798.87,7204.39,0.6106
1537228800,0.619,0.6057,0.6084,7938.67,4888.63,0.6158
1537315200,0.6332,0.5962,0.616,11780.69,7319.34,0.6213
1537401600,0.6234,0.6056,0.6141,8786.11,5437.72,0.6189
1537488000,0.629,0.5983,0.6019,15164.21,9498.86,0.6264
1537574400,0.6353,0.6171,0.6293,6600.06,4128.34,0.6255
1537660800,0.6318,0.6219,0.6268,4362.38,2731.72,0.6262
1537747200,0.633,0.6141,0.6318,10140.41,6285.03,0.6198
1537833600,0.6299,0.6067,0.6298,11618.78,7156.01,0.6159
1537920000,0.6253,0.6093,0.6144,9283.47,5731.61,0.6174
1538006400,0.6245,0.5959,0.5959,9368.59,5827.26,0.622
1538092800,0.6361,0.6133,0.6243,10699.49,6646.52,0.6212
1538179200,0.6208,0.6055,0.6206,5346.89,3295.82,0.6164
1538265600,0.6263,0.6154,0.621,4686.97,2922.33,0.6235
1538352000,0.6283,0.6151,0.6252,6842.27,4265.47,0.6234
1538438400,0.6278,0.6167,0.6245,6908.26,4285.88,0.6204
1538524800,0.62,0.6079,0.6193,10773.35,6661.16,0.6183
1538611200,0.623,0.6107,0.611,7057.27,4363.51,0.6183
1538697600,0.6229,0.6119,0.6149,6647.62,4114.88,0.619
1538784000,0.6208,0.6116,0.6207,5792.38,3572.74,0.6168
1538870400,0.6845,0.5623,0.6156,7781.08,4792.37,0.6159
1538956800,0.6236,0.6101,0.6119,8088.57,5001.97,0.6184
1539043200,0.6244,0.6197,0.6225,6420.65,3989.15,0.6213
1539129600,0.6231,0.6096,0.6231,8762.99,5394.5,0.6156
1539216000,0.6534,0.6089,0.6531,17926.94,10976.67,0.6123
1539302400,0.6194,0.6052,0.6091,7000.6,4307.47,0.6153
1539388800,0.6175,0.6131,0.6142,3524.61,2170.45,0.6158
1539475200,0.6253,0.6139,0.6185,4557.1,2812.19,0.6171
1539561600,0.6661,0.596,0.5988,28029.4,17509.97,0.6247
1539648000,0.6342,0.619,0.6253,8428.4,5274.49,0.6258
1539734400,0.6292,0.6193,0.6248,8040.13,5050.01,0.6281
1539820800,0.6318,0.6226,0.6287,7395.22,4625.71,0.6255
1539907200,0.631,0.6221,0.6293,7097.09,4431.42,0.6244
1539993600,0.6259,0.6194,0.6216,3487.28,2177.46,0.6244
1540080000,0.6271,0.6213,0.6227,3477.91,2163.26,0.622
1540166400,0.6265,0.6193,0.6219,6795.19,4241.56,0.6242
1540252800,0.6251,0.6198,0.6237,6697.87,4167.41,0.6222
1540339200,0.629,0.6183,0.6199,7288.53,4560.43,0.6257
1540425600,0.6288,0.6219,0.6268,5717.42,3577.96,0.6258
1540512000,0.6324,0.6248,0.627,5776.95,3615.79,0.6259
1540598400,0.6273,0.6242,0.6254,3019.49,1888.09,0.6253
1540684800,0.6273,0.6246,0.6259,2821.4,1768.74,0.6269
1540771200,0.6355,0.6149,0.6348,9731.28,6035.34,0.6202
1540857600,0.6281,0.6225,0.6235,6067.33,3803,0.6268
1540944000,0.6306,0.6178,0.623,6138.56,3853.17,0.6277
1541030400,0.6348,0.6289,0.6344,4854.46,3070.93,0.6326
1541116800,0.635,0.629,0.6315,5848.73,3700.49,0.6327
1541203200,0.6361,0.6316,0.6355,3525.76,2236.74,0.6344
1541289600,0.6365,0.6236,0.6261,4975.67,3151.59,0.6334
1541376000,0.6362,0.6302,0.6345,5582,3528.94,0.6322
1541462400,0.6349,0.6294,0.6306,7311.89,4637.2,0.6342
1541548800,0.6394,0.6308,0.6308,7610.45,4839.49,0.6359
1541635200,0.6464,0.6361,0.645,6172.62,3949.86,0.6399
1541721600,0.6419,0.6321,0.6399,6838.62,4341.84,0.6349
1541808000,0.6396,0.6339,0.6349,3204.74,2041.1,0.6369
1541894400,0.6381,0.6309,0.6368,3603.24,2298.87,0.638
1541980800,0.6466,0.642,0.642,5389.04,3471.08,0.6441
1542067200,0.6501,0.641,0.6498,6914.02,4433.96,0.6413
1542153600,0.7132,0.6087,0.7088,29846.19,19059.78,0.6386
1542240000,0.6559,0.6046,0.6532,21111.52,13547.26,0.6417
1542326400,0.6568,0.6299,0.6531,12002.42,7689.95,0.6407
1542412800,0.652,0.6415,0.6491,5688.54,3693.57,0.6493
1542499200,0.6571,0.6387,0.64,5940.31,3836.85,0.6459
1542585600,0.7535,0.6279,0.7532,37363.26,23703.25,0.6344
1542672000,0.7027,0.5909,0.6798,52326.22,33347.5,0.6373
1542758400,0.6514,0.5978,0.6164,23881.44,15274.57,0.6396
1542844800,0.6841,0.6312,0.6773,17615.49,11189.36,0.6352
1542931200,0.6474,0.6083,0.6314,19844.38,12670.64,0.6385
1543017600,0.7351,0.6196,0.7215,22255.21,14194.37,0.6378
1543104000,0.6699,0.567,0.619,37929.54,24411.45,0.6436
1543190400,0.6941,0.605,0.674,33647.77,21474.01,0.6382
1543276800,0.6499,0.6047,0.6299,22322.22,14308.54,0.641
1543363200,0.6701,0.5817,0.5821,32224.82,20797.9,0.6454
1543449600,0.6724,0.5759,0.6436,24152.25,15587.86,0.6454
1543536000,0.6934,0.6266,0.6856,19975.74,12906.33,0.6461
1543622400,0.667,0.6113,0.6217,12174.29,7909.64,0.6497
