time,high,low,open,volumefrom,volumeto,close
1524441600,0.5553,0.5241,0.5268,962.5,521.39,0.5417
1524528000,0.5455,0.4983,0.4983,1213.86,656.46,0.5408
1524614400,0.6005,0.5397,0.5914,1443.27,788.17,0.5461
1524700800,0.5443,0.5078,0.5182,937.86,510.1,0.5439
1524787200,0.5776,0.5459,0.5647,1003.33,548.92,0.5471
1524873600,0.5558,0.5253,0.5254,764.97,420.58,0.5498
1524960000,0.5544,0.5326,0.5442,585.73,321.1,0.5482
1525046400,0.5632,0.5337,0.5554,851.76,465.4,0.5464
1525132800,0.5546,0.5321,0.5525,859.19,468.77,0.5456
1525219200,0.5581,0.5233,0.5383,662.6,363.5,0.5486
1525305600,0.5594,0.5067,0.5248,1046.15,579.57,0.554
1525392000,0.5726,0.5261,0.5593,1025.01,566.93,0.5531
1525478400,0.5765,0.5199,0.5472,865.7,478.73,0.553
1525564800,0.5866,0.5524,0.5611,613.04,340.67,0.5557
1525651200,0.5835,0.5528,0.5696,558.09,312.08,0.5592
1525737600,0.5723,0.5248,0.559,832.99,450.65,0.541
1525824000,0.56,0.5098,0.5367,909.88,487.51,0.5358
1525910400,0.5885,0.5275,0.5547,1112.29,598.52,0.5381
1525996800,0.6088,0.5502,0.5823,1799.27,993.92,0.5524
1526083200,0.5686,0.5391,0.5469,1180.16,655.81,0.5557
1526169600,0.5628,0.5353,0.5408,960.93,530.82,0.5524
1526256000,0.5685,0.525,0.5531,1842.81,998.8,0.542
1526342400,0.5793,0.5304,0.5494,1861.94,1007.31,0.541
1526428800,0.5734,0.5372,0.5545,1835.05,1019.37,0.5555
1526515200,0.5817,0.5439,0.5739,2278.96,1260.49,0.5531
1526601600,0.5578,0.5259,0.539,1906.64,1057.04,0.5544
1526688000,0.5669,0.5468,0.5556,1684.2,937.09,0.5564
1526774400,0.5629,0.5294,0.5412,1803.59,1008.39,0.5591
1526860800,0.5773,0.5558,0.5711,1903.8,1077.17,0.5658
1526947200,0.5917,0.5531,0.591,1778.97,988.75,0.5558
1527033600,0.6003,0.56,0.5948,1956.73,1102.23,0.5633
1527120000,0.575,0.5417,0.5586,2557.79,1436.71,0.5617
