time,high,low,open,volumefrom,volumeto,close
1545609600,1.09,0.9733,0.9733,1593.73,1657.48,1.04
1545696000,1.12,1,1.12,4097.31,4343.15,1.06
1545782400,1.09,1.06,1.06,526.84,563.72,1.07
1545868800,1.2,1.05,1.2,384.14,403.35,1.05
1545955200,1.03,0.8805,0.8805,2652.01,2731.57,1.03
1546041600,1.12,1.04,1.04,175.48,187.76,1.07
1546128000,1.04,1.01,1.04,1988.4,2067.94,1.04
1546214400,1.09,1.04,1.09,436.72,458.56,1.05
1546300800,0.9825,0.9825,0.9825,0,0,0.9825
1546387200,1.06,0.8773,0.8773,2215.69,2348.63,1.06
1546473600,1.13,1.13,1.13,0,0,1.13
1546560000,1.09,1.03,1.09,11764.16,12234.73,1.04
1546646400,1.04,1.04,1.04,0,0,1.04
1546732800,1.01,1.01,1.01,700.5,707.51,1.01
1546819200,1.08,1.06,1.06,735.44,794.28,1.08
1546905600,1.09,1.09,1.09,0,0,1.09
1546992000,1.09,1.09,1.09,0,0,1.09
1547078400,1.28,1.11,1.28,191,212.01,1.11
1547164800,1.13,1.04,1.13,2938.41,3055.95,1.04
1547251200,1.07,1.06,1.06,1.07,1.14,1.07
1547337600,1.15,1.06,1.15,40.06,42.46,1.06
1547424000,1.01,0.9539,0.9539,27.54,27.82,1.01
1547510400,1.13,1.04,1.09,2334.89,2428.29,1.04
1547596800,1.04,1.01,1.01,11.1,11.54,1.04
1547683200,1.07,1.04,1.04,2597.45,2753.3,1.06
1547769600,1.09,1.06,1.07,5455.45,5782.78,1.06
1547856000,1.07,1.03,1.03,179.02,191.55,1.07
1547942400,1.12,1.07,1.12,9.54,10.21,1.07
1548028800,1.09,1.05,1.09,1094.36,1181.91,1.08
1548115200,1.08,0.9966,1.05,1851.15,1962.22,1.06
1548201600,1.08,1.06,1.08,264.42,280.29,1.06
1548288000,1.05,1.05,1.05,4181.47,4390.54,1.05
1548374400,1.04,1.04,1.04,0,0,1.04
1548460800,1.06,1.05,1.06,56.38,59.76,1.06
