time,high,low,open,volumefrom,volumeto,close
1524441600,0.7671,0.733,0.735,373097.03,284299.94,0.762
1524528000,0.7622,0.6898,0.6899,780339.81,587829.98,0.7533
1524614400,0.8686,0.7313,0.868,1413475.83,1077492.63,0.7623
1524700800,0.7559,0.6814,0.701,616943.15,463139.22,0.7507
1524787200,0.8034,0.7503,0.7745,486769.09,366683.16,0.7533
1524873600,0.7725,0.7131,0.7164,351860.75,267730.84,0.7609
1524960000,0.7654,0.7285,0.7479,317205.24,239426.52,0.7548
1525046400,0.7783,0.7442,0.7734,364715.76,274193.31,0.7518
1525132800,0.7502,0.6987,0.7451,544527.28,406162.9,0.7459
1525219200,0.7551,0.7237,0.7332,376872.81,282880.73,0.7506
1525305600,0.7629,0.6645,0.6652,798057.17,601176.47,0.7533
1525392000,0.7861,0.7422,0.7599,546215.76,418510.52,0.7662
1525478400,0.777,0.7325,0.7364,389912.01,298984.53,0.7668
1525564800,0.8061,0.728,0.789,474447.3,362335.4,0.7637
1525651200,0.7936,0.6898,0.7891,1131598.73,850056.97,0.7512
1525737600,0.7696,0.715,0.7467,510303.7,378747.41,0.7422
1525824000,0.7541,0.7044,0.7421,464189.13,346099.42,0.7456
1525910400,0.7902,0.7443,0.7738,383612.95,285906.73,0.7453
1525996800,0.8177,0.7394,0.804,748412.09,563554.3,0.753
1526083200,0.76,0.7023,0.7456,487345.93,366484.14,0.752
1526169600,0.7607,0.6887,0.7028,385804.48,289276.2,0.7498
1526256000,0.767,0.7091,0.7541,632807.6,475934.6,0.7521
1526342400,0.7784,0.7328,0.7667,398394.01,296285.63,0.7437
1526428800,0.7571,0.7213,0.7522,362472.35,273086.67,0.7534
1526515200,0.8016,0.7386,0.7887,352700.81,263079.53,0.7459
1526601600,0.7506,0.711,0.7226,352343.1,264151.62,0.7497
1526688000,0.7735,0.737,0.7484,231151.7,173594.93,0.751
1526774400,0.7625,0.7257,0.7343,232101.64,175120.69,0.7545
1526860800,0.7827,0.7482,0.7788,205295.71,155757.86,0.7587
1526947200,0.8172,0.7469,0.8152,427356.07,320431.58,0.7498
1527033600,0.8425,0.7319,0.8315,910256.61,681236.05,0.7484
1527120000,0.7661,0.6846,0.7259,734681.33,556961.92,0.7581
1527206400,0.789,0.7284,0.772,474341.89,355329.51,0.7491
1527292800,0.7847,0.7468,0.7549,247238.21,186961.53,0.7562
1527379200,0.7782,0.7312,0.7714,390537.58,292981.29,0.7502
1527465600,0.8451,0.7367,0.8379,729475.2,549440.72,0.7532
1527552000,0.7557,0.6744,0.6759,640564.29,479078.03,0.7479
1527638400,0.7901,0.7318,0.765,454107.08,341533.93,0.7521
1527724800,0.7681,0.7255,0.7304,412555.59,312180.81,0.7567
1527811200,0.7654,0.7332,0.7498,351962.04,264710.65,0.7521
1527897600,0.7686,0.7363,0.7423,291012.56,220325.61,0.7571
