time,high,low,open,volumefrom,volumeto,close
1524441600,1.04,0.9731,0.978,2130.2,2215.41,1.04
1524528000,1.05,0.943,0.943,3256.41,3386.67,1.04
1524614400,1.19,1.01,1.19,4988.54,5188.08,1.04
1524700800,1.02,0.9162,0.9389,2237.48,2282.23,1.02
1524787200,1.08,1.02,1.05,1984.04,2023.72,1.02
1524873600,1.03,0.9636,0.9659,1292.47,1318.32,1.02
1524960000,1.03,0.9872,1.01,1349.53,1376.52,1.02
1525046400,1.07,1.03,1.07,1369.24,1424.01,1.04
1525132800,1.03,0.9539,1.02,2125.17,2188.93,1.03
1525219200,1.02,0.9881,1,1633.31,1665.98,1.02
1525305600,1.05,0.9247,0.9287,4135.51,4342.29,1.05
1525392000,1.05,0.9926,1.02,2231.22,2275.84,1.02
1525478400,1.05,0.9872,0.9937,1310.4,1349.71,1.03
1525564800,1.08,0.9813,1.06,2759.2,2841.98,1.03
1525651200,1.09,0.9608,1.08,3935,4092.4,1.04
1525737600,1.06,0.9911,1.03,1874.36,1930.59,1.03
1525824000,1.07,1.01,1.06,2265.84,2401.79,1.06
1525910400,1.11,1.05,1.09,1697.62,1782.5,1.05
1525996800,1.13,1.02,1.12,3364.74,3499.33,1.04
1526083200,1.05,0.9682,1.02,1913.06,1970.45,1.03
1526169600,1.05,0.9518,0.9673,1398.26,1454.19,1.04
1526256000,1.07,0.9954,1.06,2227.82,2339.21,1.05
1526342400,1.08,1.03,1.07,1202.86,1263,1.05
1526428800,1.05,1.01,1.05,1327.71,1380.82,1.04
1526515200,1.09,1.02,1.08,1249.44,1286.92,1.03
1526601600,1.05,0.9944,1.01,1506.2,1581.51,1.05
1526688000,1.07,1.02,1.04,562.83,585.34,1.04
1526774400,1.06,1.02,1.03,772.18,810.79,1.05
1526860800,1.07,1.03,1.07,1026.62,1057.42,1.03
1526947200,1.12,1.04,1.11,1983.67,2063.02,1.04
1527033600,1.15,0.9988,1.14,4090.62,4213.34,1.03
1527120000,1.03,0.9264,0.9785,2849.89,2878.39,1.01
1527206400,1.07,0.9965,1.05,2004.32,2044.41,1.02
1527292800,1.05,1.01,1.02,595.07,601.02,1.01
1527379200,1.03,0.9817,1.03,1326.3,1339.56,1.01
1527465600,1.13,0.996,1.12,2919.14,2919.14,1
1527552000,1.04,0.9214,0.9214,1549.37,1595.85,1.03
1527638400,1.08,0.985,1.04,1502.86,1517.89,1.01
1527724800,1.03,0.9789,0.986,1238.9,1263.68,1.02
1527811200,1.04,0.9934,1.02,958.81,987.57,1.03
1527897600,1.03,0.9877,1,463.48,468.11,1.01
1527984000,1.04,0.9799,0.9799,1350.06,1390.56,1.03
1528070400,1.07,0.9823,1.06,1323.92,1321.4,0.9981
1528156800,1.03,0.9705,0.9896,820.66,837.07,1.02
1528243200,1.02,0.989,1.02,970.61,980.32,1.01
1528329600,1.05,1.02,1.03,814.28,838.71,1.03
1528416000,1.04,1.02,1.03,890.74,917.46,1.03
1528502400,1.04,1.01,1.03,571.82,583.26,1.02
1528588800,1.12,0.9635,1.12,2902.75,2899.56,0.9989
1528675200,1.01,0.9585,0.9864,2312.24,2309.47,0.9988
1528761600,1.09,0.9928,1.09,1658.59,1691.76,1.02
1528848000,1.06,0.9472,1.04,2391.99,2391.99,1
1528934400,1.02,0.8947,0.9206,2104.84,2146.94,1.02
1529020800,1.1,1.02,1.09,1449.13,1492.6,1.03
1529107200,1,0.9688,0.9752,647.28,642.94,0.9933
1529193600,1.02,0.9825,0.9933,1075.7,1059.35,0.9848
1529280000,0.9914,0.9268,0.939,1466.81,1444.07,0.9845
1529366400,1.03,0.96,0.9635,1394.27,1408.21,1.01
1529452800,1.02,0.9739,1.02,1441.86,1456.28,1.01
1529539200,1.03,0.9821,1.01,1405.88,1392.38,0.9904
1529625600,1.09,0.9305,1.09,2865.19,2743.99,0.9577
1529712000,0.968,0.932,0.9384,842.3,814.34,0.9668
1529798400,1.02,0.9043,1.02,2177.32,2113.09,0.9705
1529884800,1,0.9491,0.9626,1729.41,1690.33,0.9774
1529971200,1.06,0.9834,1.05,1273.77,1252.63,0.9834
1530057600,0.9925,0.9422,0.9595,1305.7,1289.64,0.9877
1530144000,1.07,1.01,1.06,1064.78,1075.43,1.01
1530230400,1.01,0.9367,0.9757,1582.39,1576.54,0.9963
1530316800,1.02,0.974,0.974,1746.52,1763.99,1.01
1530403200,1.02,0.9875,1.01,669.58,669.58,1
1530489600,1.01,0.9316,0.9471,1867.32,1859.29,0.9957
1530576000,1.08,1.01,1.04,1259.22,1284.4,1.02
1530662400,1.03,0.9688,0.9869,1251.39,1247.01,0.9965
1530748800,1.02,0.9864,0.9897,926.55,926.55,1
1530835200,1.02,0.9816,1.02,936.29,945.65,1.01
1530921600,0.9975,0.9573,0.9721,685.91,684.2,0.9975
1531008000,1.01,0.9792,0.9872,1168.93,1164.02,0.9958
1531094400,1.04,0.997,1.04,1027.97,1027.97,1
1531180800,1.08,0.9932,1.07,2472.41,2472.41,1
1531267200,1.01,0.9597,0.9774,1245.04,1257.49,1.01
1531353600,1.05,0.9899,1.05,2400.17,2424.17,1.01
1531440000,1.01,0.9684,0.988,1042.49,1026.33,0.9845
1531526400,1,0.9815,0.9921,490.6,487.17,0.993
1531612800,1.01,0.964,0.9703,831.35,831.35,1
1531699200,1,0.921,0.942,1173.99,1173.99,1
1531785600,1.02,0.9332,0.9543,2237.15,2237.15,1
1531872000,1.07,0.9757,1.03,2669.19,2634.22,0.9869
1531958400,1.06,1.01,1.04,1291.82,1317.66,1.02
1532044800,1.05,0.9882,1.05,1427.07,1427.07,1
1532131200,0.9998,0.9474,0.9634,488.43,482.96,0.9888
1532217600,1.03,1,1.02,371.79,375.51,1.01
1532304000,1.03,0.9932,1,1055.56,1055.35,0.9998
1532390400,1.02,0.9519,0.9565,1794.55,1812.5,1.01
1532476800,1.03,0.9788,1.01,1771.62,1750.89,0.9883
1532563200,1.06,1.02,1.03,1022.61,1043.06,1.02
1532649600,1.01,0.9776,0.9932,841.37,849.78,1.01
1532736000,1.03,1.01,1.02,362.17,369.41,1.02
1532822400,1.03,1.01,1.02,422.63,431.08,1.02
1532908800,1.04,0.9939,1.03,899.48,908.47,1.01
1532995200,1.06,0.9942,1.06,1652.53,1649.22,0.998
