time,high,low,open,volumefrom,volumeto,close
1524441600,0.8221,0.7669,0.815,1.53,1.25,0.8189
1524528000,0.7835,0.715,0.7429,3.94,3.09,0.7835
1524614400,0.874,0.781,0.874,8.7,7.07,0.8124
1524700800,0.7641,0.7233,0.76,3.25,2.48,0.7641
1524787200,0.8138,0.7637,0.7793,2.26,1.73,0.7637
1524873600,0.8101,0.7476,0.7476,0.1812,0.1439,0.7944
1524960000,0.7986,0.7599,0.7818,1.19,0.9503,0.7986
1525046400,0.8096,0.761,0.8096,0.9086,0.7263,0.7994
1525132800,0.8107,0.7536,0.8107,1.25,0.9995,0.7996
1525219200,0.7916,0.7561,0.7861,3.82,2.94,0.7702
1525305600,0.7979,0.7345,0.7465,2.69,2.08,0.7724
1525392000,0.8059,0.7695,0.7699,0.9734,0.773,0.7941
1525478400,0.8171,0.7862,0.793,1.29,1.02,0.7931
1525564800,0.8352,0.7752,0.8072,0.7146,0.5591,0.7824
1525651200,0.8474,0.787,0.8125,2.15,1.77,0.8253
1525737600,0.8235,0.7608,0.8167,2.68,2.05,0.7666
1525824000,0.8107,0.769,0.7693,0.5212,0.4066,0.7801
1525910400,0.8443,0.8079,0.8079,0.7041,0.581,0.8251
1525996800,0.877,0.7914,0.877,2.63,2.14,0.8141
1526083200,0.8026,0.7515,0.795,0.4245,0.336,0.7915
1526169600,0.8124,0.7518,0.7751,1.34,1.09,0.811
1526256000,0.8322,0.7682,0.8322,1.2,0.9751,0.8126
1526342400,0.8509,0.7963,0.8281,4.7,3.84,0.8165
1526428800,0.8194,0.7549,0.8194,7.87,6.15,0.7818
1526515200,0.8304,0.7807,0.8016,1.3,1.05,0.8077
1526601600,0.8283,0.7664,0.8041,4.22,3.5,0.8283
1526688000,0.8418,0.803,0.8332,0.2493,0.2091,0.8388
1526774400,0.8546,0.7919,0.831,0.3078,0.2524,0.8199
1526860800,0.8373,0.8022,0.8056,0.1288,0.1062,0.8243
1526947200,0.8552,0.78,0.8552,1.32,1.03,0.78
1527033600,0.832,0.7597,0.8312,5.67,4.39,0.7736
1527120000,0.7814,0.7562,0.7698,4.92,3.77,0.766
1527206400,0.7759,0.7585,0.7759,0.3568,0.2751,0.7709
1527292800,0.8871,0.7792,0.7792,0.2297,0.1943,0.846
1527379200,0.8387,0.739,0.8387,0.8254,0.61,0.739
1527465600,0.8257,0.7672,0.7795,1.53,1.18,0.7698
1527552000,0.8161,0.7341,0.7341,0.5525,0.4509,0.8161
1527638400,0.8272,0.7582,0.8272,2.19,1.69,0.7698
1527724800,0.8067,0.7508,0.7723,0.316,0.2549,0.8067
1527811200,0.8173,0.7574,0.8099,3.02,2.29,0.7591
1527897600,0.8111,0.7484,0.7772,0.3458,0.2805,0.8111
1527984000,0.8196,0.7619,0.8095,0.707,0.5744,0.8124
1528070400,0.8262,0.7735,0.777,1.35,1.06,0.7833
1528156800,0.8013,0.7392,0.7764,0.6985,0.5234,0.7493
1528243200,0.8152,0.7501,0.7501,1.06,0.8247,0.778
1528329600,0.8044,0.7589,0.7628,0.2856,0.2273,0.796
1528416000,0.8102,0.7662,0.7982,0.513,0.3931,0.7662
1528502400,0.8178,0.7723,0.7723,1.17,0.9492,0.8113
1528588800,0.9043,0.7521,0.9043,1.82,1.57,0.8599
1528675200,0.8393,0.745,0.8393,0.4489,0.3502,0.7802
1528761600,0.8338,0.748,0.8106,0.4073,0.3047,0.748
1528848000,0.841,0.7466,0.786,1.96,1.47,0.7476
1528934400,0.8063,0.7125,0.7125,1.85,1.49,0.8063
1529020800,0.8283,0.7686,0.8283,0.5902,0.4552,0.7713
1529107200,1.19,0.8014,1.19,0.2795,0.227,0.8123
1529193600,0.817,0.7463,0.8144,0.8916,0.6654,0.7463
1529280000,0.7765,0.7033,0.7182,2.63,2.04,0.7765
1529366400,0.7872,0.7288,0.7716,5.14,3.8,0.7398
1529452800,0.7482,0.7302,0.7418,0.5936,0.4372,0.7365
1529539200,0.7318,0.7254,0.7318,0.2661,0.193,0.7254
1529625600,0.8106,0.7437,0.8106,2.47,1.84,0.7437
1529712000,0.7079,0.7027,0.7077,0.3584,0.2537,0.7079
1529798400,0.7461,0.6685,0.7079,3.47,2.55,0.7341
1529884800,0.7889,0.6999,0.7296,2.71,2.11,0.7772
1529971200,0.8072,0.7335,0.8069,2.25,1.8,0.8008
1530057600,0.8052,0.722,0.8008,2.14,1.72,0.8052
1530144000,0.8502,0.7646,0.8431,0.3475,0.287,0.8258
1530230400,0.8008,0.7124,0.8008,0.4074,0.2981,0.7316
1530316800,1.18,0.7213,0.7295,0.1427,0.1263,0.8848
1530403200,0.8866,0.7092,0.8866,0.289,0.2193,0.7587
1530489600,0.7508,0.7179,0.7179,0.739,0.5466,0.7396
1530576000,0.7603,0.756,0.756,0.8633,0.6564,0.7603
1530662400,0.8503,0.761,0.761,0.8323,0.645,0.775
1530748800,0.7723,0.7497,0.7723,1.75,1.31,0.7503
1530835200,0.7569,0.7531,0.7549,4.67,3.52,0.754
1530921600,0.8236,0.6754,0.7272,0.01465,0.01207,0.8236
1531008000,0.8515,0.8482,0.8482,0.04217,0.03591,0.8515
1531094400,1.12,0.7494,0.8069,0.2843,0.2132,0.7499
1531180800,0.7765,0.7369,0.7765,2.8,2.06,0.7369
1531267200,0.8095,0.7312,0.7312,0.49,0.3902,0.7964
1531353600,0.8219,0.7902,0.8219,0.9996,0.8201,0.8204
1531440000,0.811,0.7296,0.8026,0.7055,0.5679,0.8049
1531526400,0.8146,0.7316,0.8069,0.4387,0.3574,0.8146
1531612800,0.8201,0.8045,0.8056,0.107,0.08759,0.8186
1531699200,0.8173,0.7345,0.7918,5.34,4.31,0.8062
1531785600,0.812,0.6768,0.7273,0.7172,0.5824,0.812
1531872000,0.8195,0.7354,0.8079,2.18,1.62,0.7411
1531958400,0.7884,0.73,0.7405,1.15,0.8538,0.7424
1532044800,0.7509,0.7299,0.7453,6.97,5.09,0.7309
1532131200,0.7881,0.7282,0.7282,0.176,0.1293,0.7346
1532217600,0.7538,0.7409,0.7417,1.23,0.9119,0.7414
1532304000,0.744,0.7103,0.7103,3.73,2.76,0.7389
1532390400,0.7336,0.6775,0.6775,4.42,3.24,0.7336
1532476800,0.759,0.7396,0.759,3.84,2.88,0.7497
1532563200,0.7805,0.7609,0.7776,9.54,7.26,0.7609
1532649600,0.7527,0.7206,0.7358,13.68,10.3,0.7527
1532736000,0.783,0.7471,0.7542,0.9317,0.6964,0.7475
1532822400,0.8002,0.7398,0.7403,3.16,2.38,0.7542
1532908800,0.7656,0.7145,0.7541,4.73,3.58,0.7559
1532995200,0.8144,0.7359,0.7707,1.64,1.23,0.7508
1533081600,0.817,0.7365,0.7698,0.5807,0.4327,0.7452
1533168000,0.8109,0.7348,0.7437,1.92,1.54,0.8001
1533254400,0.8178,0.7407,0.8178,6.46,5.02,0.7778
1533340800,0.8204,0.7403,0.8204,6.28,4.91,0.7817
1533427200,0.7982,0.7336,0.7728,0.2642,0.2071,0.7838
1533513600,0.8162,0.7301,0.792,7.64,5.8,0.7597
1533600000,0.8234,0.7195,0.7719,1.26,0.9069,0.7198
1533686400,0.815,0.7065,0.76,45.03,32.61,0.7242
