time,high,low,open,volumefrom,volumeto,close
1524441600,0.6505,0.6172,0.6197,68474.22,44248.04,0.6462
1524528000,0.6501,0.5882,0.5887,131642.4,84540.75,0.6422
1524614400,0.7361,0.6227,0.7354,248405.07,160842.28,0.6475
1524700800,0.636,0.5704,0.5867,108651.3,68602.43,0.6314
1524787200,0.6781,0.6301,0.6521,92356.21,58646.19,0.635
1524873600,0.6466,0.5959,0.6,65654.39,41736.5,0.6357
1524960000,0.6453,0.6162,0.6295,48698.26,31025.66,0.6371
1525046400,0.6671,0.6391,0.6639,50610.92,32689.59,0.6459
1525132800,0.6392,0.5939,0.6316,84756.48,53913.6,0.6361
1525219200,0.6426,0.6151,0.6214,50718.78,32399.16,0.6388
1525305600,0.6655,0.5803,0.5815,144683.65,94926.94,0.6561
1525392000,0.6683,0.6273,0.6417,99355.06,64352.27,0.6477
1525478400,0.6694,0.6312,0.6336,70615.98,46599.49,0.6599
1525564800,0.6895,0.6224,0.675,82615.64,53989.32,0.6535
1525651200,0.6891,0.6088,0.6864,150055.3,98826.42,0.6586
1525737600,0.6674,0.623,0.6488,66530.21,43031.74,0.6468
1525824000,0.6735,0.6277,0.6627,76707.4,51117.81,0.6664
1525910400,0.7004,0.6597,0.6873,54241.65,35821.19,0.6604
1525996800,0.7119,0.6411,0.7006,126541.51,82479.76,0.6518
1526083200,0.6581,0.6079,0.6436,80830.12,52563.83,0.6503
1526169600,0.6594,0.5967,0.6085,70971.5,46117.28,0.6498
1526256000,0.6768,0.6231,0.6645,123434.86,81812.63,0.6628
1526342400,0.6877,0.6499,0.6736,57688.29,38062.73,0.6598
1526428800,0.6661,0.6337,0.6592,54868.53,36273.59,0.6611
1526515200,0.6964,0.6425,0.6863,55699.68,36260.49,0.651
1526601600,0.6656,0.6301,0.6419,45997.7,30583.87,0.6649
1526688000,0.6848,0.6523,0.6614,34006.2,22624.32,0.6653
1526774400,0.6804,0.6487,0.6565,35504.35,23912.18,0.6735
1526860800,0.691,0.6577,0.6832,42856.54,28516.74,0.6654
1526947200,0.7206,0.6587,0.718,60060.06,39729.73,0.6615
1527033600,0.7346,0.6426,0.7248,147662.82,96925.88,0.6564
1527120000,0.6627,0.589,0.6258,127151.04,82826.19,0.6514
1527206400,0.6909,0.6408,0.6729,64598.64,42557.58,0.6588
1527292800,0.6808,0.6508,0.6583,32761.14,21569.93,0.6584
1527379200,0.6719,0.6312,0.666,39353.9,25426.55,0.6461
1527465600,0.7222,0.6418,0.7172,84968.21,55008.42,0.6474
1527552000,0.6742,0.5963,0.5963,87905.24,58474.57,0.6652
1527638400,0.694,0.6378,0.6718,66529.74,43603.59,0.6554
1527724800,0.6676,0.6339,0.6381,86170.55,56708.84,0.6581
1527811200,0.673,0.6445,0.6576,48258.37,31922.91,0.6615
1527897600,0.6673,0.6393,0.6446,37817.83,24853.88,0.6572
1527984000,0.678,0.6347,0.6355,51946.39,34632.66,0.6667
1528070400,0.6911,0.6396,0.6852,51917.61,33886.62,0.6527
1528156800,0.6698,0.6308,0.6471,46574.44,30916.11,0.6638
1528243200,0.6654,0.6426,0.6618,38235.3,25116.77,0.6569
1528329600,0.6803,0.6608,0.6714,33257.79,22192.92,0.6673
1528416000,0.669,0.6549,0.6648,20840.39,13788,0.6616
1528502400,0.6735,0.656,0.6631,15305.87,10063.61,0.6575
1528588800,0.7261,0.6162,0.7261,105344.49,67715.44,0.6428
1528675200,0.6466,0.6146,0.6348,64347.28,41336.69,0.6424
