time,high,low,open,volumefrom,volumeto,close
1524441600,0.5874,0.5178,0.5326,633.31,367.26,0.5799
1524528000,0.5743,0.412,0.5283,572.06,315.26,0.5511
1524614400,0.6525,0.4684,0.6311,401.26,224.87,0.5604
1524700800,0.5561,0.4935,0.5077,486.72,261.81,0.5379
1524787200,0.6029,0.5318,0.5551,534.95,294.81,0.5511
1524873600,0.579,0.5216,0.5216,506.88,276.6,0.5457
1524960000,0.5758,0.5153,0.5404,676.61,376.26,0.5561
1525046400,0.5936,0.5409,0.5794,551.06,301.32,0.5468
1525132800,0.5753,0.5156,0.5346,707.11,382.62,0.5411
1525219200,0.574,0.5139,0.5288,784.78,429.9,0.5478
1525305600,0.5841,0.4226,0.4987,396.45,223.56,0.5639
1525392000,0.6008,0.5093,0.5514,180.59,105.74,0.5855
1525478400,0.6006,0.5516,0.5727,311.14,177.01,0.5689
1525564800,0.6174,0.5458,0.5819,327.02,184.96,0.5656
1525651200,0.6171,0.552,0.5941,273.26,153.13,0.5604
1525737600,0.595,0.538,0.5518,532.24,296.46,0.557
1525824000,0.5928,0.5338,0.5711,693.93,398.04,0.5736
1525910400,0.6229,0.5697,0.5916,783.86,451.66,0.5762
1525996800,0.634,0.5569,0.6094,510.65,287.7,0.5634
1526083200,0.5883,0.5285,0.5561,417.24,243.88,0.5845
1526169600,0.5883,0.5113,0.547,635.52,359.89,0.5663
1526256000,0.5972,0.537,0.579,617.21,352.55,0.5712
1526342400,0.6107,0.5546,0.5801,632.88,377.32,0.5962
1526428800,0.5952,0.5391,0.5952,577.34,321.35,0.5566
1526515200,0.6229,0.5558,0.5778,584.17,324.68,0.5558
1526601600,0.5944,0.5382,0.548,478.6,272.32,0.569
1526688000,0.5987,0.5474,0.566,338.99,193.46,0.5707
1526774400,0.6027,0.5542,0.5631,300.95,172.32,0.5726
1526860800,0.6088,0.5665,0.5809,264.45,155.23,0.587
1526947200,0.6362,0.5487,0.6335,144.21,85.59,0.5935
1527033600,0.6503,0.5807,0.6503,115.87,69.78,0.6022
1527120000,0.6095,0.5267,0.5746,141.5,81.26,0.5743
1527206400,0.6063,0.5546,0.5934,155.31,87.25,0.5618
1527292800,1.05,0.5579,0.5748,162.43,94.37,0.581
1527379200,0.5936,0.5325,0.5876,145.18,81.62,0.5622
1527465600,1.13,0.5588,0.6129,173.34,97.05,0.5599
1527552000,0.9244,0.5063,0.5294,175.25,105.2,0.6003
1527638400,0.6079,0.5545,0.6069,186.25,106.29,0.5707
1527724800,0.5876,0.5463,0.5533,259.9,146.66,0.5643
1527811200,0.5939,0.5537,0.5681,183.26,104.46,0.57
1527897600,0.587,0.5438,0.5555,171.68,99.2,0.5778
1527984000,0.5928,0.5426,0.5587,225.46,132.1,0.5859
1528070400,0.6111,0.5376,0.6022,184.41,103.97,0.5638
1528156800,0.5944,0.5193,0.5672,139.93,80.85,0.5778
1528243200,0.5958,0.5366,0.5759,132.66,76,0.5729
1528329600,0.6131,0.5369,0.5854,165.53,97.2,0.5872
1528416000,0.6054,0.5178,0.585,166.19,98.09,0.5902
1528502400,0.6233,0.5519,0.5915,150.21,88.05,0.5862
1528588800,0.6474,0.5503,0.6474,190.23,112.62,0.592
1528675200,0.5892,0.5122,0.5846,152.98,90.14,0.5892
1528761600,0.6415,0.5519,0.6415,180.34,105.19,0.5833
1528848000,0.6132,0.5442,0.5991,210.23,119.64,0.5691
1528934400,0.5826,0.5166,0.5214,510.57,284.23,0.5567
1529020800,0.6271,0.5567,0.5984,529.98,308.29,0.5817
1529107200,0.5887,0.5279,0.55,586.79,322.03,0.5488
1529193600,0.5996,0.5278,0.5488,790.39,429.66,0.5436
1529280000,0.5691,0.5036,0.5123,678.7,370.71,0.5462
1529366400,0.5862,0.5146,0.5354,406.8,223.86,0.5503
1529452800,0.5781,0.5332,0.5543,181.91,101.41,0.5575
1529539200,0.5956,0.5235,0.5559,220.12,123.47,0.5609
1529625600,0.6197,0.5281,0.6193,171.22,94.43,0.5515
1529712000,0.5502,0.5299,0.5403,154.27,83.07,0.5385
1529798400,0.5785,0.519,0.5689,149.57,85.48,0.5715
1529884800,0.5714,0.5454,0.5668,186.51,105.19,0.564
1529971200,0.6106,0.5652,0.6036,178.13,108.12,0.607
1530057600,0.5954,0.5476,0.5923,222.74,130.39,0.5854
1530144000,0.6376,0.525,0.6287,265.53,151.99,0.5724
1530230400,0.5684,0.5048,0.5504,491.41,275.14,0.5599
1530316800,0.5886,0.5332,0.5474,158.32,90.1,0.5691
1530403200,0.5914,0.5082,0.5678,197.17,111.18,0.5639
1530489600,0.5802,0.5156,0.5324,210.5,121.25,0.576
1530576000,0.6138,0.5384,0.6032,208.69,121.75,0.5834
1530662400,0.5851,0.504,0.567,223.4,121.57,0.5442
1530748800,0.5914,0.5165,0.5405,230.52,133.1,0.5774
1530835200,0.5866,0.4853,0.5866,205.79,114.79,0.5578
1530921600,0.5731,0.4972,0.5345,178.33,98.65,0.5532
