time,high,low,open,volumefrom,volumeto,close
1545609600,1.06,0.9429,0.9429,1593.73,1609.67,1.01
1545696000,1.08,0.965,1.08,4097.31,4179.26,1.02
1545782400,1,0.9684,0.9684,526.84,515.25,0.978
1545868800,1.14,0.992,1.14,384.14,381.07,0.992
1545955200,1.01,0.8649,0.8649,2652.01,2678.53,1.01
1546041600,1.08,1,1,175.48,180.74,1.03
1546128000,1.02,0.9896,1.01,1988.4,2008.28,1.01
1546214400,1.09,1.04,1.09,436.72,458.56,1.05
1546300800,0.9897,0.9897,0.9897,0,0,0.9897
1546387200,1.09,0.8954,0.8954,2215.69,2415.1,1.09
1546473600,1.14,1.14,1.14,0,0,1.14
1546560000,1.11,1.05,1.11,11764.16,12352.37,1.05
1546646400,1.03,1.03,1.03,0,0,1.03
1546732800,1,0.9996,1,700.5,700.29,0.9997
1546819200,1.08,1.06,1.06,735.44,794.28,1.08
1546905600,1.08,1.08,1.08,0,0,1.08
1546992000,1.06,1.06,1.06,0,0,1.06
1547078400,1.32,1.15,1.32,191,219.65,1.15
1547164800,1.19,1.1,1.19,2938.41,3232.25,1.1
1547251200,1.02,1.01,1.01,1.07,1.09,1.02
1547337600,1.22,1.13,1.22,40.06,45.27,1.13
1547424000,1.01,0.9493,0.9493,27.54,27.82,1.01
1547510400,1.05,0.9622,1.01,2334.89,2246.63,0.9622
1547596800,0.9822,0.9553,0.9553,11.1,10.9,0.9822
1547683200,1.02,0.9945,0.9945,2597.45,2623.42,1.01
1547769600,1.01,0.9814,0.9949,5455.45,5353.98,0.9814
1547856000,1.01,0.975,0.9752,179.02,180.81,1.01
1547942400,1.05,1,1.05,9.54,9.54,1
1548028800,1.02,0.9842,1.02,1094.36,1105.3,1.01
1548115200,1,0.9272,0.9791,1851.15,1831.71,0.9895
1548201600,0.9879,0.9646,0.9879,264.42,255.06,0.9646
1548288000,0.9482,0.9425,0.9482,4181.47,3953.16,0.9454
1548374400,0.9667,0.9667,0.9667,0,0,0.9667
1548460800,0.9921,0.9754,0.9921,56.38,55.88,0.9912
1548547200,1.05,0.9765,1.05,1.32,1.29,0.9765
1548633600,1.15,1.07,1.15,68.22,75.72,1.11
1548720000,1.13,1.12,1.12,158.55,179.16,1.13
1548806400,1.11,1.08,1.1,3494.49,3878.88,1.11
1548892800,1.16,1.14,1.14,713,827.08,1.16
1548979200,1.16,1.13,1.16,321.3,363.07,1.13
1549065600,1.12,1.09,1.12,5112,5725.44,1.12
1549152000,1.2,1.2,1.2,0,0,1.2
1549238400,1.14,1.13,1.14,497,561.61,1.13
1549324800,1.12,1.11,1.12,8747.77,9797.5,1.12
1549411200,1.17,1.12,1.17,21,23.52,1.12
1549497600,1.13,1.09,1.09,970.4,1096.55,1.13
1549584000,1.16,1.01,1.01,2615.48,2981.65,1.14
1549670400,1.14,1.12,1.13,129.28,146.09,1.13
1549756800,1.11,1.08,1.11,1056,1151.04,1.09
1549843200,1.08,1.08,1.08,0,0,1.08
1549929600,1.13,1.06,1.06,1715.3,1938.29,1.13
1550016000,1.15,1.14,1.14,399.66,455.61,1.14
1550102400,1.13,1.11,1.13,1100,1221,1.11
1550188800,1.11,1.08,1.11,739,798.12,1.08
1550275200,1.12,1.08,1.08,814.04,911.72,1.12
1550361600,1.1,1.03,1.03,4037.05,4440.76,1.1
1550448000,1.13,1.02,1.02,1586.8,1761.35,1.11
1550534400,1.14,1.11,1.11,3012.14,3403.72,1.13
1550620800,1.12,1.05,1.1,23029.43,25792.96,1.12
1550707200,1.14,1.09,1.14,18.29,19.94,1.09
1550793600,1.1,1.07,1.07,844.3,920.29,1.09
1550880000,1.13,1.03,1.04,1815.42,2051.42,1.13
1550966400,1.39,1.15,1.34,3298.95,3892.76,1.18
1551052800,1.13,1.09,1.12,6120.97,6671.86,1.09
1551139200,1.12,1.09,1.1,19857.65,22240.57,1.12
1551225600,1.17,1.08,1.17,3328.08,3594.33,1.08
1551312000,1.14,1.05,1.05,6094.94,6826.33,1.12
1551398400,1.12,1.1,1.1,803.08,899.45,1.12
1551484800,1.15,1.11,1.15,430,477.3,1.11
1551571200,1.15,1.15,1.15,0,0,1.15
1551657600,1.18,1.11,1.18,69,76.59,1.11
1551744000,1.09,0.9999,1.02,3305.11,3602.57,1.09
1551830400,1.1,1.06,1.06,1382.82,1521.1,1.1
1551916800,1.12,1.1,1.12,164,180.4,1.1
1552003200,1.14,1.13,1.13,394.74,450,1.14
1552089600,1.12,1.11,1.11,51.5,57.68,1.12
1552176000,1.13,1.13,1.13,0,0,1.13
1552262400,1.15,1.09,1.15,912,994.08,1.09
1552348800,1.1,1.08,1.09,1840.66,2024.73,1.1
1552435200,1.1,1.09,1.1,1024.41,1116.61,1.09
1552521600,1.1,1.09,1.09,272.33,299.56,1.1
1552608000,1.11,1.07,1.07,8839.11,9811.41,1.11
1552694400,1.08,1.08,1.08,400,432,1.08
1552780800,1.1,1.1,1.1,466.12,512.73,1.1
1552867200,1.12,1.11,1.11,207.11,231.96,1.12
1552953600,1.11,1.08,1.11,4512.34,4963.57,1.1
1553040000,1.1,1.08,1.1,399.34,435.28,1.09
1553126400,1.12,1.08,1.12,1233.28,1356.61,1.1
1553212800,1.09,1.09,1.09,830,904.7,1.09
1553299200,1.09,1.07,1.08,2146.52,2296.78,1.07
1553385600,1.09,1.07,1.08,734.11,785.5,1.07
1553472000,1.12,1.06,1.09,3243.48,3470.52,1.07
1553558400,1.08,1.07,1.07,1769.3,1893.15,1.07
1553644800,1.09,1.02,1.02,2478.61,2652.11,1.07
1553731200,1.11,1.08,1.09,5902.74,6433.99,1.09
1553817600,1.1,1.05,1.05,1556.73,1712.4,1.1
1553904000,1.11,1.1,1.1,74,82.14,1.11
1553990400,1.12,1.09,1.12,1062.36,1168.6,1.1
1554076800,1.13,1.11,1.11,5250.54,5880.6,1.12
1554163200,1.1,0.9617,0.9617,1183.25,1301.58,1.1
1554249600,1.28,1.09,1.15,7154.11,7797.98,1.09
1554336000,1.18,1.1,1.1,1821.1,2057.84,1.13
1554422400,1.12,1.06,1.06,1034.08,1116.81,1.08
1554508800,1.14,1.09,1.09,574.68,655.14,1.14
1554595200,1.13,1.06,1.08,379.05,428.33,1.13
1554681600,1.15,1.09,1.09,2885.66,3260.8,1.13
1554768000,1.16,1.11,1.15,3221.17,3639.92,1.13
1554854400,1.15,1.1,1.12,2095.55,2305.11,1.1
1554940800,1.19,1.09,1.17,2448.23,2717.54,1.11
1555027200,1.12,1.12,1.12,54,60.48,1.12
1555113600,1.13,1.12,1.12,155,175.15,1.13
1555200000,1.12,1.12,1.12,0,0,1.12
1555286400,1.16,1.11,1.16,87,96.57,1.11
1555372800,1.11,1.05,1.06,813.88,903.41,1.11
1555459200,1.12,1.12,1.12,16.65,18.65,1.12
1555545600,1.11,1.07,1.07,362.42,402.29,1.11
1555632000,1.1,1.1,1.1,0,0,1.1
1555718400,1.11,1.11,1.11,0,0,1.11
1555804800,1.13,1.1,1.13,434,477.4,1.1
1555891200,1.1,1.1,1.1,0,0,1.1
1555977600,1.14,1.07,1.07,247,279.11,1.13
