time,high,low,open,volumefrom,volumeto,close
1524441600,0.7943,0.759,0.7611,373097.03,294410.87,0.7891
1524528000,0.7942,0.7188,0.7188,780339.81,612488.72,0.7849
1524614400,0.8996,0.7573,0.8989,1413475.83,1115939.17,0.7895
1524700800,0.7712,0.6952,0.7152,616943.15,472578.45,0.766
1524787200,0.8198,0.7657,0.7904,486769.09,374228.08,0.7688
1524873600,0.7843,0.7239,0.7274,351860.75,271812.43,0.7725
1524960000,0.7828,0.7451,0.765,317205.24,244882.45,0.772
1525046400,0.8095,0.774,0.8044,364715.76,285171.25,0.7819
1525132800,0.7697,0.7169,0.7645,544527.28,416781.18,0.7654
1525219200,0.7703,0.7383,0.748,376872.81,288571.51,0.7657
1525305600,0.7994,0.6962,0.697,798057.17,629906.52,0.7893
1525392000,0.7987,0.754,0.772,546215.76,425174.35,0.7784
1525478400,0.8034,0.7574,0.7614,389912.01,309122.24,0.7928
1525564800,0.8285,0.7482,0.8109,474447.3,372393.69,0.7849
1525651200,0.829,0.7206,0.8244,1131598.73,888078.68,0.7848
1525737600,0.7963,0.7398,0.7727,510303.7,391913.24,0.768
1525824000,0.8002,0.7474,0.7874,464189.13,367220.02,0.7911
1525910400,0.8332,0.7848,0.8159,383612.95,301443.06,0.7858
1525996800,0.8478,0.7666,0.8336,748412.09,584360.16,0.7808
1526083200,0.7855,0.7259,0.7707,487345.93,378813.99,0.7773
1526169600,0.7874,0.7128,0.7274,385804.48,299384.28,0.776
1526256000,0.8071,0.7461,0.7935,632807.6,500803.93,0.7914
1526342400,0.8161,0.7683,0.8038,398394.01,310627.81,0.7797
1526428800,0.7841,0.747,0.779,362472.35,282800.93,0.7802
1526515200,0.8232,0.7584,0.8099,352700.81,270168.82,0.766
1526601600,0.7846,0.7432,0.7553,352343.1,276131.29,0.7837
1526688000,0.8058,0.7677,0.7796,231151.7,180853.09,0.7824
1526774400,0.8015,0.7628,0.7719,232101.64,184079.81,0.7931
1526860800,0.8085,0.7729,0.8045,205295.71,160910.78,0.7838
1526947200,0.8479,0.775,0.8458,427356.07,332483.02,0.778
1527033600,0.864,0.7505,0.8527,910256.61,698530.92,0.7674
1527120000,0.7728,0.6906,0.7322,734681.33,561810.81,0.7647
1527206400,0.8075,0.7455,0.7901,474341.89,363630.49,0.7666
1527292800,0.7962,0.7577,0.766,247238.21,189705.88,0.7673
1527379200,0.7829,0.7356,0.7761,390537.58,294777.77,0.7548
1527465600,0.8451,0.7367,0.8379,729475.2,549440.72,0.7532
1527552000,0.7757,0.6923,0.6938,640564.29,491761.21,0.7677
1527638400,0.8018,0.7426,0.7764,454107.08,346619.93,0.7633
1527724800,0.7816,0.7383,0.7432,412555.59,317667.8,0.77
1527811200,0.7855,0.7524,0.7694,351962.04,271644.3,0.7718
1527897600,0.7788,0.7461,0.7521,291012.56,223235.73,0.7671
1527984000,0.7888,0.7414,0.7417,256805.13,199665.99,0.7775
1528070400,0.8081,0.7489,0.7992,336233.12,256680.36,0.7634
1528156800,0.7846,0.7379,0.7569,325957.03,253757.55,0.7785
1528243200,0.7805,0.7568,0.7761,263380.18,203750.91,0.7736
1528329600,0.8033,0.7806,0.7906,281044.33,221519.14,0.7882
1528416000,0.7895,0.7701,0.7852,196982.72,153410.14,0.7788
1528502400,0.7931,0.7704,0.7806,141613.59,109410.66,0.7726
1528588800,0.8532,0.7214,0.8532,636718.45,480467.74,0.7546
1528675200,0.7608,0.7239,0.7451,505308.31,381103.53,0.7542
1528761600,0.8338,0.7493,0.8212,546980.39,418166.51,0.7645
1528848000,0.7967,0.7147,0.7853,752164.24,568937.03,0.7564
1528934400,0.7663,0.6693,0.693,885354.26,669681.96,0.7564
1529020800,0.8151,0.7554,0.813,510688.96,389400.33,0.7625
1529107200,0.7469,0.7182,0.7235,241642.76,178308.19,0.7379
1529193600,0.7531,0.7331,0.7379,211122.8,155639.73,0.7372
1529280000,0.7424,0.6901,0.703,340090.4,249082.21,0.7324
1529366400,0.76,0.7143,0.718,371838.21,277688.78,0.7468
1529452800,0.7569,0.7225,0.7522,334563.47,250588.04,0.749
1529539200,0.7587,0.727,0.7469,253943.67,185988.34,0.7324
1529625600,0.8087,0.6922,0.8086,756613.52,537800.89,0.7108
1529712000,0.725,0.6876,0.6965,293710.2,209885.31,0.7146
1529798400,0.7581,0.6702,0.7549,707602.77,512870.49,0.7248
1529884800,0.7473,0.7035,0.7188,462450.74,335045.56,0.7245
