time,high,low,open,volumefrom,volumeto,close
1524441600,1.29,1.22,1.23,1540.86,1987.71,1.29
1524528000,1.31,1.13,1.17,3416.63,4373.29,1.28
1524614400,1.43,1.16,1.41,6221.76,7652.76,1.23
1524700800,1.28,1.12,1.16,3464.73,4434.85,1.28
1524787200,1.35,1.27,1.32,1627.16,2066.49,1.27
1524873600,1.3,1.2,1.22,729.32,940.82,1.29
1524960000,1.37,1.31,1.34,1110.23,1498.81,1.35
1525046400,1.32,1.24,1.31,1132.75,1415.94,1.25
1525132800,1.33,1.22,1.28,4011.2,5254.67,1.31
1525219200,1.3,1.24,1.27,2787.16,3623.31,1.3
1525305600,1.32,1.17,1.19,3646.73,4740.75,1.3
1525392000,1.3,1.22,1.25,2524.64,3206.29,1.27
1525478400,1.29,1.21,1.23,1458.28,1837.43,1.26
1525564800,1.31,1.2,1.28,1267.37,1584.21,1.25
1525651200,1.33,1.17,1.32,2131.13,2685.22,1.26
1525737600,1.35,1.26,1.29,1094.07,1433.23,1.31
1525824000,1.29,1.21,1.29,2120.25,2650.31,1.25
1525910400,1.29,1.22,1.26,1461.77,1783.36,1.22
1525996800,1.38,1.25,1.36,3360.84,4335.48,1.29
1526083200,1.26,1.17,1.24,1114.47,1404.23,1.26
1526169600,1.32,1.21,1.23,873.87,1153.51,1.32
1526256000,1.27,1.17,1.26,1205.2,1482.4,1.23
1526342400,1.29,1.22,1.26,797.79,989.26,1.24
1526428800,1.3,1.23,1.28,1395.12,1785.75,1.28
1526515200,1.27,1.19,1.25,653.23,790.41,1.21
1526601600,1.29,1.23,1.27,856.14,1095.86,1.28
1526688000,1.29,1.21,1.24,1440.27,1800.34,1.25
1526774400,1.27,1.22,1.23,867.96,1084.95,1.25
1526860800,1.29,1.23,1.27,677.62,853.8,1.26
1526947200,1.35,1.24,1.34,946.22,1173.31,1.24
1527033600,1.44,1.22,1.38,1920.77,2420.17,1.26
1527120000,1.34,1.22,1.26,1359.75,1794.87,1.32
1527206400,1.36,1.26,1.33,878.81,1124.88,1.28
1527292800,1.32,1.24,1.27,471.53,598.84,1.27
1527379200,1.34,1.26,1.32,715.24,936.96,1.31
1527465600,1.46,1.26,1.44,2001.26,2601.64,1.3
1527552000,1.34,1.18,1.21,1894.12,2500.24,1.32
1527638400,1.34,1.23,1.3,1681.54,2152.37,1.28
1527724800,1.33,1.24,1.27,591.01,768.31,1.3
1527811200,1.3,1.24,1.27,556.91,707.28,1.27
1527897600,1.31,1.22,1.27,1082.82,1407.67,1.3
1527984000,1.32,1.24,1.26,795.97,1034.76,1.3
1528070400,1.34,1.23,1.31,920.13,1168.57,1.27
1528156800,1.3,1.21,1.27,1006.32,1288.09,1.28
1528243200,1.32,1.25,1.3,599.3,785.08,1.31
1528329600,1.32,1.27,1.31,571.43,731.43,1.28
1528416000,1.31,1.26,1.28,305.74,391.35,1.28
1528502400,1.31,1.28,1.28,282.45,361.54,1.28
1528588800,1.47,1.28,1.47,1859.07,2472.56,1.33
1528675200,1.4,1.31,1.35,899.12,1231.79,1.37
1528761600,1.44,1.28,1.41,1351.67,1757.17,1.3
1528848000,1.42,1.27,1.38,2229.73,2987.84,1.34
1528934400,1.31,1.15,1.19,2148.98,2793.67,1.3
