time,high,low,open,volumefrom,volumeto,close
1524441600,0.8364,0.7936,0.7968,68474.22,56895.23,0.8309
1524528000,0.8319,0.7527,0.7533,131642.4,108170.56,0.8217
1524614400,0.9048,0.7654,0.904,248405.07,197730.44,0.796
1524700800,0.8167,0.7325,0.7534,108651.3,88094.47,0.8108
1524787200,0.8636,0.8025,0.8306,92356.21,74688.47,0.8087
1524873600,0.8307,0.7656,0.7708,65654.39,53619.94,0.8167
1524960000,0.87,0.8307,0.8487,48698.26,41831.81,0.859
1525046400,0.8369,0.8017,0.8328,50610.92,41010.03,0.8103
1525132800,0.8387,0.7792,0.8286,84756.48,70737.76,0.8346
1525219200,0.8334,0.7977,0.8059,50718.78,42015.44,0.8284
1525305600,0.8674,0.7564,0.758,144683.65,123718.99,0.8551
1525392000,0.8517,0.7995,0.8177,99355.06,82017.6,0.8255
1525478400,0.8425,0.7944,0.7974,70615.98,58653.63,0.8306
1525564800,0.8603,0.7765,0.8422,82615.64,67364.79,0.8154
1525651200,0.8648,0.7641,0.8615,150055.3,124035.71,0.8266
1525737600,0.8772,0.819,0.8529,66530.21,56563.98,0.8502
1525824000,0.8443,0.7868,0.8307,76707.4,64081.36,0.8354
1525910400,0.8545,0.8049,0.8385,54241.65,43707.92,0.8058
1525996800,0.9152,0.8241,0.9006,126541.51,106041.79,0.838
1526083200,0.8283,0.7651,0.81,80830.12,66151.37,0.8184
1526169600,0.8689,0.7863,0.8018,70971.5,60772.9,0.8563
1526256000,0.8329,0.7668,0.8178,123434.86,100685.82,0.8157
1526342400,0.8526,0.8058,0.8352,57688.29,47189.02,0.818
1526428800,0.8544,0.8128,0.8455,54868.53,46523.03,0.8479
1526515200,0.8416,0.7765,0.8294,55699.68,43824.51,0.7868
1526601600,0.8553,0.8097,0.8249,45997.7,39295.84,0.8543
1526688000,0.8561,0.8154,0.8267,34006.2,28282.96,0.8317
1526774400,0.8492,0.8095,0.8193,35504.35,29841.41,0.8405
1526860800,0.8673,0.8255,0.8575,42856.54,35793.78,0.8352
1526947200,0.8957,0.8187,0.8925,60060.06,49387.39,0.8223
1527033600,0.9224,0.8069,0.91,147662.82,121703.7,0.8242
1527120000,0.8768,0.7792,0.828,127151.04,109578.77,0.8618
1527206400,0.888,0.8236,0.8649,64598.64,54702.13,0.8468
1527292800,0.8633,0.8252,0.8347,32761.14,27349,0.8348
1527379200,0.8793,0.826,0.8715,39353.9,33273.72,0.8455
1527465600,0.9357,0.8316,0.9293,84968.21,71279.83,0.8389
1527552000,0.8882,0.7856,0.7856,87905.24,77022.57,0.8762
1527638400,0.8906,0.8184,0.862,66529.74,55951.51,0.841
1527724800,0.8688,0.8249,0.8304,86170.55,73796.46,0.8564
1527811200,0.8572,0.821,0.8376,48258.37,40662.5,0.8426
1527897600,0.8676,0.8313,0.8381,37817.83,32315.34,0.8545
1527984000,0.8799,0.8237,0.8247,51946.39,44944.02,0.8652
1528070400,0.8806,0.8149,0.8731,51917.61,43179.88,0.8317
1528156800,0.8609,0.8106,0.8317,46574.44,39732.65,0.8531
1528243200,0.8693,0.8395,0.8647,38235.3,32817.36,0.8583
1528329600,0.8692,0.8442,0.8577,33257.79,28355.59,0.8526
1528416000,0.858,0.8399,0.8526,20840.39,17685.15,0.8486
1528502400,0.8629,0.8404,0.8495,15305.87,12892.13,0.8423
1528588800,0.9639,0.818,0.9639,105344.49,89890.45,0.8533
1528675200,0.8857,0.8419,0.8695,64347.28,56619.17,0.8799
1528761600,0.9205,0.8288,0.9084,75042.77,63516.2,0.8464
1528848000,0.9076,0.8147,0.8969,124442.16,106958.04,0.8595
1528934400,0.8575,0.746,0.7618,127173.75,107995.95,0.8492
1529020800,0.85,0.7866,0.8492,65223.62,51807.12,0.7943
