time,high,low,open,volumefrom,volumeto,close
1524441600,0.7553,0.6658,0.6848,633.31,472.2,0.7456
1524528000,0.7348,0.5272,0.676,572.06,403.42,0.7052
1524614400,0.8021,0.5758,0.7758,401.26,276.39,0.6888
1524700800,0.714,0.6337,0.652,486.72,336.23,0.6908
1524787200,0.7678,0.6773,0.707,534.95,375.48,0.7019
1524873600,0.7439,0.6701,0.6701,506.88,355.37,0.7011
1524960000,0.7764,0.6948,0.7286,676.61,507.25,0.7497
1525046400,0.7447,0.6786,0.7269,551.06,377.97,0.6859
1525132800,0.7548,0.6764,0.7014,707.11,501.98,0.7099
1525219200,0.7445,0.6665,0.6858,784.78,557.51,0.7104
1525305600,0.7613,0.5509,0.65,396.45,291.39,0.735
1525392000,0.7657,0.649,0.7027,180.59,134.76,0.7462
1525478400,0.7559,0.6942,0.7208,311.14,222.81,0.7161
1525564800,0.7704,0.681,0.726,327.02,230.78,0.7057
1525651200,0.7745,0.6928,0.7456,273.26,192.21,0.7034
1525737600,0.7822,0.7072,0.7254,532.24,389.71,0.7322
1525824000,0.7432,0.6691,0.7159,693.93,499.01,0.7191
1525910400,0.76,0.6951,0.7218,783.86,551.05,0.703
1525996800,0.8151,0.7159,0.7835,510.65,369.86,0.7243
1526083200,0.7405,0.6652,0.6999,417.24,306.92,0.7356
1526169600,0.7752,0.6738,0.7207,635.52,474.16,0.7461
1526256000,0.735,0.6609,0.7126,617.21,433.84,0.7029
1526342400,0.7572,0.6876,0.7192,632.88,467.82,0.7392
1526428800,0.7634,0.6915,0.7634,577.34,412.16,0.7139
1526515200,0.7528,0.6717,0.6983,584.17,392.39,0.6717
1526601600,0.7638,0.6916,0.7042,478.6,349.9,0.7311
1526688000,0.7483,0.6843,0.7075,338.99,241.84,0.7134
1526774400,0.7522,0.6916,0.7028,300.95,215.06,0.7146
1526860800,0.7641,0.711,0.7291,264.45,194.85,0.7368
1526947200,0.7908,0.682,0.7874,144.21,106.4,0.7378
1527033600,0.8165,0.7292,0.8165,115.87,87.61,0.7561
1527120000,0.8064,0.6969,0.7602,141.5,107.53,0.7599
1527206400,0.7792,0.7128,0.7626,155.31,112.15,0.7221
1527292800,1.33,0.7074,0.7288,162.43,119.65,0.7366
1527379200,0.7768,0.6968,0.769,145.18,106.81,0.7357
1527465600,1.47,0.7241,0.7941,173.34,125.74,0.7254
1527552000,1.22,0.667,0.6974,175.25,138.57,0.7907
1527638400,0.7801,0.7115,0.7788,186.25,136.39,0.7323
1527724800,0.7647,0.7109,0.72,259.9,190.87,0.7344
1527811200,0.7565,0.7053,0.7237,183.26,133.07,0.7261
1527897600,0.7633,0.7071,0.7223,171.68,128.98,0.7513
1527984000,0.7693,0.7042,0.7251,225.46,171.42,0.7603
1528070400,0.7786,0.685,0.7673,184.41,132.48,0.7184
