time,high,low,open,volumefrom,volumeto,close
1545609600,1.4,1.25,1.25,1593.73,2119.66,1.33
1545696000,1.64,1.46,1.64,4097.31,6309.86,1.54
1545782400,1.55,1.5,1.5,526.84,795.53,1.51
1545868800,1.72,1.5,1.72,384.14,576.21,1.5
1545955200,1.46,1.25,1.25,2652.01,3871.93,1.46
1546041600,1.58,1.46,1.46,175.48,263.22,1.5
1546128000,1.5,1.46,1.5,1988.4,2982.6,1.5
1546214400,1.5,1.43,1.5,436.72,624.51,1.43
1546300800,1.43,1.43,1.43,0,0,1.43
1546387200,1.55,1.28,1.28,2215.69,3434.32,1.55
1546473600,1.62,1.62,1.62,0,0,1.62
1546560000,1.62,1.53,1.62,11764.16,18116.81,1.54
1546646400,1.45,1.45,1.45,0,0,1.45
1546732800,1.49,1.48,1.49,700.5,1036.74,1.48
1546819200,1.52,1.49,1.49,735.44,1117.87,1.52
1546905600,1.55,1.55,1.55,0,0,1.55
1546992000,1.55,1.55,1.55,0,0,1.55
1547078400,1.76,1.53,1.76,191,292.23,1.53
1547164800,1.53,1.42,1.53,2938.41,4172.54,1.42
1547251200,1.43,1.42,1.42,1.07,1.53,1.43
1547337600,1.62,1.5,1.62,40.06,60.09,1.5
1547424000,1.43,1.35,1.35,27.54,39.38,1.43
1547510400,1.6,1.47,1.54,2334.89,3432.29,1.47
1547596800,1.44,1.4,1.4,11.1,15.98,1.44
1547683200,1.47,1.44,1.44,2597.45,3766.3,1.45
1547769600,1.47,1.43,1.45,5455.45,7801.29,1.43
1547856000,1.48,1.43,1.43,179.02,264.95,1.48
1547942400,1.56,1.5,1.56,9.54,14.31,1.5
1548028800,1.5,1.45,1.5,1094.36,1619.65,1.48
1548115200,1.52,1.41,1.49,1851.15,2776.73,1.5
1548201600,1.5,1.47,1.5,264.42,388.7,1.47
1548288000,1.49,1.48,1.49,4181.47,6230.39,1.49
1548374400,1.49,1.49,1.49,0,0,1.49
1548460800,1.49,1.47,1.49,56.38,84.01,1.49
1548547200,1.53,1.42,1.53,1.32,1.87,1.42
1548633600,1.53,1.42,1.53,68.22,100.28,1.47
1548720000,1.48,1.47,1.47,158.55,234.65,1.48
1548806400,1.45,1.41,1.43,3494.49,5067.01,1.45
1548892800,1.52,1.49,1.49,713,1083.76,1.52
1548979200,1.52,1.48,1.52,321.3,475.52,1.48
1549065600,1.48,1.44,1.48,5112,7565.76,1.48
1549152000,1.48,1.48,1.48,0,0,1.48
1549238400,1.48,1.47,1.48,497,730.59,1.47
1549324800,1.47,1.46,1.47,8747.77,12859.22,1.47
1549411200,1.5,1.43,1.5,21,30.03,1.43
1549497600,1.48,1.42,1.42,970.4,1436.19,1.48
1549584000,1.49,1.3,1.3,2615.48,3818.6,1.46
1549670400,1.47,1.45,1.46,129.28,188.75,1.46
1549756800,1.4,1.37,1.4,1056,1446.72,1.37
1549843200,1.42,1.42,1.42,0,0,1.42
1549929600,1.52,1.43,1.43,1715.3,2607.26,1.52
1550016000,1.48,1.47,1.47,399.66,591.5,1.48
1550102400,1.48,1.45,1.48,1100,1595,1.45
1550188800,1.46,1.42,1.46,739,1049.38,1.42
1550275200,1.46,1.41,1.41,814.04,1188.5,1.46
1550361600,1.5,1.4,1.4,4037.05,6055.58,1.5
1550448000,1.51,1.37,1.37,1586.8,2364.33,1.49
1550534400,1.48,1.44,1.44,3012.14,4427.85,1.47
1550620800,1.48,1.39,1.46,23029.43,34083.56,1.48
1550707200,1.52,1.46,1.52,18.29,26.7,1.46
1550793600,1.46,1.41,1.41,844.3,1224.23,1.45
1550880000,1.58,1.44,1.45,1815.42,2850.21,1.57
1550966400,1.47,1.22,1.42,3298.95,4123.69,1.25
1551052800,1.48,1.43,1.46,6120.97,8752.99,1.43
1551139200,1.49,1.46,1.47,19857.65,29587.9,1.49
1551225600,1.52,1.4,1.52,3328.08,4659.31,1.4
1551312000,1.49,1.37,1.37,6094.94,8898.61,1.46
1551398400,1.5,1.47,1.47,803.08,1204.62,1.5
1551484800,1.5,1.46,1.5,430,627.8,1.46
1551571200,1.5,1.5,1.5,0,0,1.5
1551657600,1.5,1.41,1.5,69,97.29,1.41
1551744000,1.45,1.33,1.36,3305.11,4792.41,1.45
1551830400,1.5,1.45,1.45,1382.82,2074.23,1.5
1551916800,1.48,1.45,1.48,164,237.8,1.45
1552003200,1.49,1.48,1.48,394.74,588.16,1.49
1552089600,1.5,1.49,1.49,51.5,77.25,1.5
1552176000,1.5,1.5,1.5,0,0,1.5
1552262400,1.5,1.42,1.5,912,1295.04,1.42
1552348800,1.47,1.44,1.46,1840.66,2705.77,1.47
1552435200,1.48,1.47,1.48,1024.41,1505.88,1.47
1552521600,1.46,1.45,1.45,272.33,397.6,1.46
1552608000,1.52,1.46,1.46,8839.11,13435.45,1.52
1552694400,1.45,1.44,1.44,400,580,1.45
1552780800,1.46,1.46,1.46,466.12,680.54,1.46
1552867200,1.49,1.47,1.47,207.11,308.59,1.49
1552953600,1.48,1.43,1.48,4512.34,6588.02,1.46
1553040000,1.46,1.44,1.46,399.34,579.04,1.45
1553126400,1.46,1.41,1.46,1233.28,1763.59,1.43
1553212800,1.44,1.43,1.43,830,1195.2,1.44
1553299200,1.48,1.44,1.47,2146.52,3112.45,1.45
1553385600,1.46,1.43,1.45,734.11,1049.78,1.43
1553472000,1.52,1.43,1.48,3243.48,4703.05,1.45
1553558400,1.44,1.42,1.43,1769.3,2512.41,1.42
1553644800,1.52,1.42,1.42,2478.61,3693.13,1.49
1553731200,1.52,1.49,1.49,5902.74,8795.08,1.49
1553817600,1.51,1.44,1.44,1556.73,2350.66,1.51
1553904000,1.48,1.48,1.48,74,109.52,1.48
1553990400,1.5,1.46,1.5,1062.36,1572.29,1.48
1554076800,1.49,1.47,1.47,5250.54,7823.3,1.49
1554163200,1.5,1.31,1.31,1183.25,1774.88,1.5
1554249600,1.75,1.48,1.57,7154.11,10588.08,1.48
1554336000,1.57,1.46,1.46,1821.1,2731.65,1.5
1554422400,1.46,1.39,1.39,1034.08,1468.39,1.42
1554508800,1.45,1.39,1.39,574.68,833.29,1.45
1554595200,1.49,1.4,1.42,379.05,564.78,1.49
1554681600,1.52,1.45,1.45,2885.66,4328.49,1.5
1554768000,1.51,1.44,1.5,3221.17,4735.12,1.47
1554854400,1.53,1.47,1.48,2095.55,3080.46,1.47
1554940800,1.58,1.45,1.56,2448.23,3623.38,1.48
1555027200,1.5,1.49,1.49,54,81,1.5
1555113600,1.51,1.5,1.5,155,234.05,1.51
1555200000,1.51,1.51,1.51,0,0,1.51
1555286400,1.56,1.49,1.56,87,129.63,1.49
1555372800,1.56,1.48,1.49,813.88,1269.65,1.56
1555459200,1.5,1.5,1.5,16.65,24.98,1.5
1555545600,1.45,1.39,1.39,362.42,525.51,1.45
1555632000,1.46,1.46,1.46,0,0,1.46
1555718400,1.46,1.46,1.46,0,0,1.46
1555804800,1.52,1.48,1.52,434,642.32,1.48
1555891200,1.45,1.45,1.45,0,0,1.45
1555977600,1.48,1.4,1.4,247,365.56,1.48
