time,high,low,open,volumefrom,volumeto,close
1524441600,1.02,0.9758,0.9786,373097.03,376828,1.01
1524528000,1.02,0.9197,0.9198,780339.81,780339.81,1
1524614400,1.11,0.931,1.11,1413475.83,1371778.29,0.9705
1524700800,0.9903,0.8927,0.9184,616943.15,606825.28,0.9836
1524787200,1.04,0.9752,1.01,486769.09,476595.62,0.9791
1524873600,1.01,0.9301,0.9345,351860.75,349186.61,0.9924
1524960000,1.06,1,1.03,317205.24,329893.45,1.04
1525046400,1.02,0.971,1.01,364715.76,357749.69,0.9809
1525132800,1.01,0.9406,1,544527.28,544527.28,1
1525219200,0.999,0.9574,0.97,376872.81,374234.7,0.993
1525305600,1.04,0.9075,0.9086,798057.17,821998.89,1.03
1525392000,1.02,0.961,0.9839,546215.76,541846.03,0.992
1525478400,1.01,0.9533,0.9583,389912.01,389093.19,0.9979
1525564800,1.03,0.9336,1.01,474447.3,464626.24,0.9793
1525651200,1.04,0.9044,1.03,1131598.73,1114511.59,0.9849
1525737600,1.05,0.9725,1.02,510303.7,515406.74,1.01
1525824000,1,0.9369,0.9871,464189.13,460336.36,0.9917
1525910400,1.02,0.9575,0.9954,383612.95,367808.1,0.9588
1525996800,1.09,0.9856,1.07,748412.09,748412.09,1
1526083200,0.9886,0.9137,0.9699,487345.93,476770.52,0.9783
1526169600,1.04,0.9393,0.9585,385804.48,393520.57,1.02
1526256000,0.9933,0.9182,0.9766,632807.6,616354.6,0.974
1526342400,1.01,0.9526,0.9966,398394.01,385127.49,0.9667
1526428800,1.01,0.9581,0.9992,362472.35,362472.35,1
1526515200,0.9949,0.9166,0.9788,352700.81,326495.14,0.9257
1526601600,1.01,0.955,0.9705,352343.1,355866.53,1.01
1526688000,1.01,0.9596,0.9745,231151.7,226066.36,0.978
1526774400,1,0.952,0.9633,232101.64,229734.2,0.9898
1526860800,1.01,0.9701,1.01,205295.71,201969.92,0.9838
1526947200,1.05,0.9633,1.05,427356.07,413253.32,0.967
1527033600,1.08,0.9424,1.07,910256.61,877123.27,0.9636
1527120000,1.02,0.9137,0.9688,734681.33,742028.14,1.01
1527206400,1.04,0.9582,1.02,474341.89,467369.06,0.9853
1527292800,1.01,0.9608,0.9713,247238.21,240538.05,0.9729
1527379200,1.02,0.9627,1.02,390537.58,385773.02,0.9878
1527465600,1.1,0.9545,1.09,729475.2,711894.85,0.9759
1527552000,1.02,0.912,0.914,640564.29,646969.93,1.01
1527638400,1.03,0.953,0.9963,454107.08,444752.47,0.9794
1527724800,1.02,0.9607,0.9672,412555.59,412555.59,1
1527811200,1,0.9585,0.9801,351962.04,346049.08,0.9832
1527897600,1.01,0.9701,0.9779,291012.56,290255.93,0.9974
1527984000,1.02,0.9622,0.9626,256805.13,259373.18,1.01
