time,high,low,open,volumefrom,volumeto,close
1524441600,1.6,1.51,1.51,2130.2,3408.32,1.6
1524528000,1.63,1.47,1.47,3256.41,5275.38,1.62
1524614400,1.84,1.56,1.84,4988.54,7981.66,1.6
1524700800,1.62,1.45,1.49,2237.48,3624.72,1.62
1524787200,1.7,1.61,1.66,1984.04,3194.3,1.61
1524873600,1.62,1.52,1.52,1292.47,2067.95,1.6
1524960000,1.62,1.55,1.58,1349.53,2172.74,1.61
1525046400,1.65,1.59,1.65,1369.24,2204.48,1.61
1525132800,1.61,1.5,1.6,2125.17,3421.52,1.61
1525219200,1.6,1.55,1.57,1633.31,2613.3,1.6
1525305600,1.6,1.41,1.42,4135.51,6616.82,1.6
1525392000,1.62,1.53,1.57,2231.22,3503.02,1.57
1525478400,1.59,1.5,1.51,1310.4,2057.33,1.57
1525564800,1.65,1.5,1.62,2759.2,4331.94,1.57
1525651200,1.65,1.46,1.65,3935,6256.65,1.59
1525737600,1.64,1.53,1.59,1874.36,2998.98,1.6
1525824000,1.6,1.52,1.59,2265.84,3602.69,1.59
1525910400,1.68,1.59,1.66,1697.62,2716.19,1.6
1525996800,1.73,1.56,1.71,3364.74,5349.94,1.59
1526083200,1.61,1.49,1.57,1913.06,3041.77,1.59
1526169600,1.61,1.46,1.49,1398.26,2223.23,1.59
1526256000,1.61,1.5,1.6,2227.82,3542.23,1.59
1526342400,1.64,1.56,1.62,1202.86,1912.55,1.59
1526428800,1.59,1.52,1.58,1327.71,2084.5,1.57
1526515200,1.68,1.56,1.65,1249.44,1974.12,1.58
1526601600,1.57,1.5,1.52,1506.2,2364.73,1.57
1526688000,1.61,1.54,1.56,562.83,878.01,1.56
1526774400,1.58,1.51,1.53,772.18,1204.6,1.56
1526860800,1.61,1.55,1.6,1026.62,1591.26,1.55
1526947200,1.7,1.57,1.68,1983.67,3114.36,1.57
1527033600,1.74,1.52,1.73,4090.62,6381.37,1.56
1527120000,1.58,1.42,1.5,2849.89,4417.33,1.55
1527206400,1.63,1.51,1.59,2004.32,3106.7,1.55
1527292800,1.6,1.54,1.55,595.07,916.41,1.54
1527379200,1.6,1.52,1.59,1326.3,2069.03,1.56
1527465600,1.74,1.54,1.72,2919.14,4495.48,1.54
1527552000,1.56,1.39,1.39,1549.37,2386.03,1.54
1527638400,1.64,1.5,1.58,1502.86,2329.43,1.55
1527724800,1.57,1.49,1.5,1238.9,1920.3,1.55
1527811200,1.57,1.5,1.54,958.81,1486.16,1.55
1527897600,1.56,1.5,1.52,463.48,713.76,1.54
1527984000,1.57,1.47,1.47,1350.06,2079.09,1.54
1528070400,1.64,1.51,1.62,1323.92,2025.6,1.53
1528156800,1.56,1.46,1.49,820.66,1263.82,1.54
1528243200,1.56,1.51,1.55,970.61,1485.03,1.53
1528329600,1.57,1.53,1.54,814.28,1253.99,1.54
1528416000,1.57,1.54,1.55,890.74,1380.65,1.55
1528502400,1.58,1.54,1.56,571.82,886.32,1.55
1528588800,1.75,1.5,1.75,2902.75,4499.26,1.55
1528675200,1.57,1.49,1.54,2312.24,3607.09,1.56
1528761600,1.68,1.52,1.67,1658.59,2587.4,1.56
1528848000,1.66,1.48,1.63,2391.99,3755.42,1.57
1528934400,1.56,1.37,1.41,2104.84,3262.5,1.55
1529020800,1.67,1.55,1.66,1449.13,2260.64,1.56
1529107200,1.58,1.53,1.54,647.28,1009.76,1.56
1529193600,1.61,1.55,1.57,1075.7,1667.34,1.55
1529280000,1.58,1.47,1.49,1466.81,2288.22,1.56
1529366400,1.59,1.49,1.49,1394.27,2175.06,1.56
1529452800,1.58,1.51,1.57,1441.86,2249.3,1.56
1529539200,1.63,1.56,1.6,1405.88,2207.23,1.57
1529625600,1.79,1.52,1.79,2865.19,4498.35,1.57
1529712000,1.58,1.52,1.53,842.3,1322.41,1.57
1529798400,1.64,1.45,1.64,2177.32,3396.62,1.56
1529884800,1.62,1.53,1.55,1729.41,2732.47,1.58
1529971200,1.69,1.58,1.68,1273.77,2012.56,1.58
1530057600,1.58,1.5,1.52,1305.7,2049.95,1.57
1530144000,1.67,1.57,1.65,1064.78,1671.7,1.57
1530230400,1.59,1.48,1.54,1582.39,2484.35,1.57
1530316800,1.59,1.51,1.51,1746.52,2742.04,1.57
1530403200,1.6,1.54,1.57,669.58,1044.54,1.56
1530489600,1.58,1.45,1.48,1867.32,2894.35,1.55
1530576000,1.66,1.56,1.6,1259.22,1964.38,1.56
1530662400,1.61,1.52,1.54,1251.39,1952.17,1.56
1530748800,1.6,1.56,1.56,926.55,1463.95,1.58
1530835200,1.59,1.53,1.58,936.29,1479.34,1.58
1530921600,1.57,1.5,1.53,685.91,1076.88,1.57
1531008000,1.59,1.55,1.56,1168.93,1846.91,1.58
1531094400,1.63,1.57,1.63,1027.97,1613.91,1.57
1531180800,1.72,1.57,1.7,2472.41,3931.13,1.59
1531267200,1.59,1.51,1.54,1245.04,1979.61,1.59
1531353600,1.64,1.54,1.64,2400.17,3792.27,1.58
1531440000,1.62,1.55,1.58,1042.49,1647.13,1.58
1531526400,1.58,1.55,1.57,490.6,770.24,1.57
1531612800,1.58,1.51,1.52,831.35,1305.22,1.57
1531699200,1.57,1.44,1.48,1173.99,1843.16,1.57
1531785600,1.61,1.47,1.5,2237.15,3534.7,1.58
1531872000,1.69,1.55,1.64,2669.19,4190.63,1.57
1531958400,1.64,1.57,1.6,1291.82,2041.08,1.58
1532044800,1.67,1.57,1.67,1427.07,2269.04,1.59
1532131200,1.6,1.52,1.54,488.43,776.6,1.59
1532217600,1.62,1.57,1.6,371.79,583.71,1.57
1532304000,1.64,1.58,1.59,1055.56,1678.34,1.59
1532390400,1.58,1.48,1.49,1794.55,2835.39,1.58
1532476800,1.63,1.56,1.61,1771.62,2781.44,1.57
1532563200,1.64,1.57,1.59,1022.61,1615.72,1.58
1532649600,1.59,1.53,1.56,841.37,1329.36,1.58
