time,high,low,open,volumefrom,volumeto,close
1524441600,1.56,1.47,1.48,1540.86,2388.33,1.55
1524528000,1.6,1.38,1.42,3416.63,5329.94,1.56
1524614400,1.79,1.46,1.77,6221.76,9581.51,1.54
1524700800,1.58,1.38,1.44,3464.73,5474.27,1.58
1524787200,1.67,1.57,1.63,1627.16,2570.91,1.58
1524873600,1.59,1.47,1.49,729.32,1145.03,1.57
1524960000,1.6,1.52,1.55,1110.23,1743.06,1.57
1525046400,1.63,1.53,1.61,1132.75,1755.76,1.55
1525132800,1.59,1.46,1.54,4011.2,6297.58,1.57
1525219200,1.57,1.5,1.53,2787.16,4375.84,1.57
1525305600,1.54,1.37,1.39,3646.73,5543.03,1.52
1525392000,1.58,1.48,1.51,2524.64,3887.95,1.54
1525478400,1.55,1.45,1.48,1458.28,2216.59,1.52
1525564800,1.6,1.47,1.56,1267.37,1939.08,1.53
1525651200,1.61,1.41,1.6,2131.13,3239.32,1.52
1525737600,1.59,1.49,1.52,1094.07,1695.81,1.55
1525824000,1.54,1.44,1.54,2120.25,3180.38,1.5
1525910400,1.6,1.51,1.56,1461.77,2207.27,1.51
1525996800,1.65,1.49,1.63,3360.84,5142.09,1.53
1526083200,1.54,1.42,1.52,1114.47,1716.28,1.54
1526169600,1.55,1.41,1.44,873.87,1345.76,1.54
1526256000,1.55,1.44,1.54,1205.2,1819.85,1.51
1526342400,1.58,1.49,1.54,797.79,1212.64,1.52
1526428800,1.53,1.45,1.51,1395.12,2106.63,1.51
1526515200,1.62,1.51,1.59,653.23,1005.97,1.54
1526601600,1.51,1.44,1.48,856.14,1284.21,1.5
1526688000,1.55,1.45,1.49,1440.27,2160.4,1.5
1526774400,1.51,1.45,1.46,867.96,1293.26,1.49
1526860800,1.55,1.48,1.53,677.62,1016.43,1.5
1526947200,1.64,1.5,1.63,946.22,1428.79,1.51
1527033600,1.74,1.49,1.67,1920.77,2919.57,1.52
1527120000,1.56,1.41,1.47,1359.75,2080.42,1.53
1527206400,1.61,1.49,1.57,878.81,1335.79,1.52
1527292800,1.58,1.49,1.52,471.53,716.73,1.52
1527379200,1.59,1.49,1.57,715.24,1108.62,1.55
1527465600,1.74,1.5,1.72,2001.26,3081.94,1.54
1527552000,1.53,1.34,1.38,1894.12,2841.18,1.5
1527638400,1.6,1.46,1.54,1681.54,2572.76,1.53
1527724800,1.56,1.45,1.48,591.01,898.34,1.52
1527811200,1.54,1.47,1.51,556.91,840.93,1.51
1527897600,1.53,1.42,1.48,1082.82,1645.89,1.52
1527984000,1.53,1.44,1.45,795.97,1193.96,1.5
1528070400,1.61,1.48,1.58,920.13,1407.8,1.53
1528156800,1.53,1.42,1.49,1006.32,1519.54,1.51
1528243200,1.54,1.46,1.52,599.3,910.94,1.52
1528329600,1.55,1.49,1.53,571.43,857.15,1.5
1528416000,1.54,1.49,1.51,305.74,461.67,1.51
1528502400,1.56,1.52,1.52,282.45,429.32,1.52
1528588800,1.72,1.5,1.72,1859.07,2900.15,1.56
1528675200,1.59,1.49,1.54,899.12,1402.63,1.56
1528761600,1.7,1.51,1.67,1351.67,2068.06,1.53
1528848000,1.65,1.48,1.6,2229.73,3478.38,1.56
1528934400,1.54,1.35,1.4,2148.98,3287.94,1.53
1529020800,1.64,1.52,1.63,1164.84,1770.56,1.52
1529107200,1.58,1.49,1.49,1506.29,2364.88,1.57
1529193600,1.59,1.52,1.58,504.34,796.86,1.58
1529280000,1.59,1.48,1.51,2142.1,3405.94,1.59
1529366400,1.58,1.44,1.52,1231.41,1908.69,1.55
1529452800,1.57,1.49,1.56,1140.36,1767.56,1.55
1529539200,1.62,1.55,1.58,3995.23,6312.46,1.58
1529625600,2.09,1.57,1.81,3765.08,6174.73,1.64
1529712000,1.64,1.5,1.6,1436.7,2341.82,1.63
1529798400,1.7,1.47,1.7,2225.89,3583.68,1.61
1529884800,1.66,1.55,1.6,813.82,1318.39,1.62
1529971200,1.72,1.6,1.72,723.66,1157.86,1.6
1530057600,1.59,1.52,1.55,2310.05,3672.98,1.59
1530144000,1.68,1.55,1.67,838.59,1299.81,1.55
1530230400,1.6,1.45,1.52,1528.12,2414.43,1.58
1530316800,1.58,1.47,1.52,534.21,828.03,1.55
1530403200,1.59,1.49,1.55,231.09,360.5,1.56
1530489600,1.58,1.41,1.47,459.23,716.4,1.56
1530576000,1.64,1.52,1.61,766.71,1180.73,1.54
1530662400,1.6,1.45,1.52,498.36,777.44,1.56
1530748800,1.61,1.54,1.57,1943.65,3070.97,1.58
1530835200,1.59,1.33,1.58,375.75,582.41,1.55
1530921600,1.57,1.44,1.51,1465.63,2301.04,1.57
1531008000,1.61,1.48,1.57,483.67,764.2,1.58
1531094400,1.63,1.52,1.63,670.99,1053.45,1.57
1531180800,1.73,1.58,1.7,963.24,1521.92,1.58
1531267200,1.59,1.46,1.53,1316.69,2067.2,1.57
1531353600,1.64,1.52,1.63,509.01,794.06,1.56
1531440000,1.62,1.44,1.56,301.32,482.11,1.6
1531526400,1.61,1.47,1.59,234.79,370.97,1.58
1531612800,1.6,1.45,1.53,520.39,811.81,1.56
1531699200,1.58,1.34,1.47,567.32,890.69,1.57
1531785600,1.61,1.37,1.5,2241.19,3518.67,1.57
1531872000,1.66,1.55,1.64,853.49,1357.05,1.59
1531958400,1.64,1.49,1.62,448.44,695.08,1.55
1532044800,1.67,1.5,1.63,863.49,1372.95,1.59
1532131200,1.66,1.51,1.54,1352.61,2164.18,1.6
1532217600,1.64,1.5,1.62,347.06,541.41,1.56
1532304000,1.63,1.5,1.58,432.07,686.99,1.59
1532390400,1.58,1.43,1.49,890.46,1389.12,1.56
1532476800,1.63,1.51,1.59,794.25,1262.86,1.59
1532563200,1.62,1.53,1.61,622.48,964.84,1.55
1532649600,1.59,1.46,1.53,525.13,824.45,1.57
1532736000,1.58,1.49,1.57,124.12,192.39,1.55
1532822400,1.56,1.52,1.55,285.18,439.18,1.54
1532908800,1.6,1.51,1.58,538.57,840.17,1.56
1532995200,1.69,1.52,1.65,1151.47,1807.81,1.57
1533081600,1.65,1.5,1.62,805.08,1239.82,1.54
1533168000,1.64,1.53,1.57,843.73,1307.78,1.55
1533254400,1.55,1.45,1.52,1163.65,1792.02,1.54
1533340800,1.59,1.52,1.59,642.83,989.96,1.54
1533427200,1.56,1.49,1.53,1247.16,1933.1,1.55
1533513600,1.58,1.52,1.57,733.65,1137.16,1.55
1533600000,1.71,1.59,1.66,3508.38,5578.32,1.59
1533686400,1.71,1.56,1.69,3704.06,5889.46,1.59
1533772800,1.64,1.5,1.54,1834.3,2934.88,1.6
1533859200,1.77,1.59,1.73,1098.73,1757.97,1.6
1533945600,1.68,1.49,1.67,2391.58,3802.61,1.59
1534032000,1.62,1.52,1.59,341.31,535.86,1.57
1534118400,1.92,1.57,1.76,4223.8,6673.6,1.58
1534204800,1.74,1.42,1.6,5015.79,7624,1.52
1534291200,1.7,1.5,1.5,2145.89,3369.05,1.57
1534377600,1.62,1.49,1.54,2025.78,3160.22,1.56
1534464000,1.54,1.42,1.42,4002.73,6004.1,1.5
1534550400,1.66,1.49,1.62,3161.56,4900.42,1.55
1534636800,1.61,1.51,1.53,636.11,1011.41,1.59
1534723200,1.79,1.58,1.76,2643.44,4229.5,1.6
1534809600,1.63,1.48,1.55,518.11,813.43,1.57
1534896000,1.72,1.55,1.64,2369.5,3720.12,1.57
1534982400,1.62,1.49,1.53,595.6,947,1.59
1535068800,1.63,1.48,1.56,916.7,1485.05,1.62
1535155200,1.66,1.53,1.64,466.78,751.52,1.61
1535241600,1.63,1.51,1.63,425.03,671.55,1.58
1535328000,1.59,1.48,1.51,2942.98,4679.34,1.59
1535414400,1.59,1.53,1.56,1296.16,2047.93,1.58
1535500800,1.66,1.54,1.62,2762.76,4392.79,1.59
1535587200,1.63,1.49,1.61,712.95,1112.2,1.56
1535673600,1.62,1.51,1.56,486.34,768.42,1.58
1535760000,1.62,1.46,1.51,1146.76,1800.41,1.57
1535846400,1.63,1.52,1.57,2674.36,4252.23,1.59
1535932800,1.63,1.54,1.63,514.44,802.53,1.56
1536019200,1.62,1.49,1.58,2335.56,3760.25,1.61
1536105600,2.04,1.62,2.02,5460.15,8845.44,1.62
