time,high,low,open,volumefrom,volumeto,close
1524441600,1.23,1.17,1.17,32.69,39.23,1.2
1524528000,1.24,1.1,1.1,34.52,42.11,1.22
1524614400,1.38,1.18,1.38,224.96,283.45,1.26
1524700800,1.23,1.13,1.17,24.15,29.7,1.23
1524787200,1.29,1.24,1.27,194.45,241.12,1.24
1524873600,1.22,1.17,1.17,111.98,136.62,1.22
1524960000,1.21,1.16,1.21,1,1.16,1.16
1525046400,1.25,1.2,1.2,3.92,4.82,1.23
1525132800,1.23,1.17,1.23,9.51,11.41,1.2
1525219200,1.21,1.17,1.17,2.55,3.09,1.21
1525305600,1.22,1.07,1.07,17.08,19.98,1.17
1525392000,1.26,1.16,1.16,25.63,31.01,1.21
1525478400,1.23,1.16,1.16,10.89,13.07,1.2
1525564800,1.25,1.22,1.24,8.15,10.02,1.23
1525651200,1.28,1.12,1.28,126.15,152.64,1.21
1525737600,1.23,1.16,1.21,14.72,17.37,1.18
1525824000,1.22,1.15,1.17,12.38,14.86,1.2
1525910400,1.25,1.24,1.25,33.16,41.12,1.24
1525996800,1.33,1.19,1.33,13.25,15.77,1.19
1526083200,1.23,1.15,1.18,16,19.52,1.22
1526169600,1.17,1.14,1.14,2,2.34,1.17
1526256000,1.23,1.17,1.17,5.92,7.28,1.23
1526342400,1.26,1.22,1.25,31.55,38.49,1.22
1526428800,1.22,1.16,1.22,7.91,9.33,1.18
1526515200,1.27,1.24,1.24,4.12,5.23,1.27
1526601600,1.23,1.17,1.23,1.68,1.97,1.17
1526688000,1.2,1.16,1.16,0.9999,1.2,1.2
1526774400,1.19,1.17,1.17,1.72,2.05,1.19
1526860800,1.22,1.2,1.22,0.6406,0.7687,1.2
1526947200,1.3,1.22,1.3,9.56,11.66,1.22
1527033600,1.34,1.14,1.34,47.38,57.33,1.21
1527120000,1.17,1.12,1.17,6.98,8.1,1.16
1527206400,1.24,1.18,1.19,18.06,21.31,1.18
1527292800,1.21,1.18,1.18,34.36,41.23,1.2
1527379200,1.24,1.18,1.24,1.73,2.04,1.18
1527465600,1.31,1.19,1.31,5.05,6.01,1.19
1527552000,1.17,1.07,1.07,49.54,56.48,1.14
1527638400,1.2,1.17,1.17,1.74,2.07,1.19
1527724800,1.17,1.15,1.15,2,2.34,1.17
1527811200,1.19,1.16,1.16,27.73,33,1.19
1527897600,1.17,1.16,1.16,7.41,8.67,1.17
1527984000,1.2,1.12,1.12,6.86,7.96,1.16
1528070400,1.21,1.17,1.21,5.19,6.23,1.2
1528156800,1.17,1.17,1.17,0,0,1.17
1528243200,1.17,1.15,1.16,1.65,1.93,1.17
1528329600,1.18,1.17,1.17,1.14,1.33,1.17
1528416000,1.18,1.18,1.18,0,0,1.18
1528502400,1.19,1.18,1.19,1.71,2.03,1.19
1528588800,1.34,1.16,1.34,14.95,17.49,1.17
1528675200,1.19,1.12,1.16,26.63,30.36,1.14
1528761600,1.26,1.18,1.22,6.56,7.74,1.18
1528848000,1.23,1.13,1.23,8.59,9.96,1.16
1528934400,1.18,1.04,1.04,27.7,32.69,1.18
1529020800,1.26,1.26,1.26,0,0,1.26
1529107200,1.24,1.24,1.24,0,0,1.24
1529193600,1.24,1.19,1.24,0.5745,0.6837,1.19
1529280000,1.15,1.1,1.15,3.13,3.57,1.14
1529366400,1.17,1.09,1.09,9.88,11.56,1.17
1529452800,1.18,1.17,1.18,2,2.34,1.17
1529539200,1.19,1.19,1.19,0,0,1.19
1529625600,1.36,1.18,1.36,15.01,18.01,1.2
1529712000,1.17,1.14,1.17,0.5,0.57,1.14
1529798400,1.19,1.15,1.19,14.85,17.52,1.18
1529884800,1.19,1.15,1.17,1.1,1.31,1.19
1529971200,1.27,1.22,1.27,20.4,24.89,1.22
1530057600,1.18,1.14,1.18,8.65,9.95,1.15
1530144000,1.21,1.18,1.21,2.44,2.88,1.18
1530230400,1.19,1.08,1.15,19.23,22.88,1.19
1530316800,1.15,1.14,1.14,5,5.75,1.15
1530403200,1.15,1.15,1.15,0,0,1.15
1530489600,1.12,1.09,1.09,2.01,2.23,1.11
1530576000,1.24,1.15,1.15,3.73,4.63,1.24
1530662400,1.22,1.17,1.22,4,4.68,1.17
1530748800,1.17,1.17,1.17,0,0,1.17
1530835200,1.17,1.16,1.17,4,4.64,1.16
1530921600,1.12,1.12,1.12,10,11.2,1.12
1531008000,1.2,1.12,1.12,2.03,2.44,1.2
1531094400,1.24,1.18,1.24,10.51,12.51,1.19
1531180800,1.29,1.17,1.29,2.09,2.47,1.18
1531267200,1.17,1.14,1.14,1.56,1.83,1.17
1531353600,1.2,1.19,1.2,5.7,6.78,1.19
1531440000,1.18,1.18,1.18,0,0,1.18
1531526400,1.18,1.18,1.18,0,0,1.18
1531612800,1.18,1.14,1.14,0.07707,0.09094,1.18
1531699200,1.16,1.11,1.11,5.7,6.56,1.15
1531785600,1.12,1.1,1.1,0.05,0.056,1.12
1531872000,1.23,1.17,1.17,35.41,43.2,1.22
1531958400,1.24,1.24,1.24,0,0,1.24
1532044800,1.31,1.17,1.31,16.6,19.42,1.17
1532131200,1.18,1.14,1.14,3.99,4.71,1.18
1532217600,1.19,1.19,1.19,0,0,1.19
1532304000,1.2,1.17,1.2,1.51,1.8,1.19
1532390400,1.16,1.12,1.12,3.34,3.87,1.16
1532476800,1.18,1.18,1.18,0,0,1.18
1532563200,1.21,1.19,1.2,7,8.33,1.19
1532649600,1.18,1.16,1.18,0.6437,0.7467,1.16
1532736000,1.16,1.16,1.16,0,0,1.16
1532822400,1.17,1.17,1.17,0,0,1.17
1532908800,1.2,1.15,1.2,9.16,10.53,1.15
1532995200,1.21,1.2,1.21,3,3.6,1.2
1533081600,1.24,1.16,1.24,0.17,0.1972,1.16
1533168000,1.18,1.18,1.18,2.7,3.19,1.18
1533254400,1.15,1.11,1.15,12,13.32,1.11
1533340800,1.14,1.14,1.14,0,0,1.14
1533427200,1.15,1.13,1.13,3.7,4.26,1.15
1533513600,1.17,1.16,1.16,9.78,11.44,1.17
1533600000,1.26,1.18,1.26,30.9,36.46,1.18
1533686400,1.25,1.18,1.25,94.13,111.07,1.18
1533772800,1.16,1.13,1.14,68.56,79.53,1.16
1533859200,1.26,1.13,1.26,19.58,22.13,1.13
1533945600,1.18,1.09,1.18,20.21,23.24,1.15
1534032000,1.15,1.15,1.15,0,0,1.15
1534118400,1.29,1.15,1.29,8.41,9.67,1.15
1534204800,1.17,1.03,1.17,26.14,28.23,1.08
1534291200,1.2,1.12,1.12,46.31,51.87,1.12
1534377600,1.17,1.1,1.1,50.8,56.9,1.12
1534464000,1.08,1.02,1.02,73.33,78.46,1.07
1534550400,1.16,1.1,1.15,55.65,62.88,1.13
1534636800,1.15,1.12,1.12,19.44,22.16,1.14
1534723200,1.27,1.19,1.27,26.84,32.21,1.2
1534809600,1.17,1.14,1.17,0.06143,0.07003,1.14
1534896000,1.19,1.16,1.19,24.39,28.29,1.16
1534982400,1.15,1.12,1.13,10.33,11.67,1.13
1535068800,1.12,1.11,1.12,1.15,1.28,1.11
1535155200,1.13,1.13,1.13,0,0,1.13
1535241600,1.15,1.14,1.15,7.1,8.09,1.14
1535328000,1.1,1.09,1.09,36.8,40.48,1.1
1535414400,1.14,1.08,1.08,10.24,11.67,1.14
1535500800,1.17,1.15,1.17,8.99,10.34,1.15
1535587200,1.16,1.11,1.16,4.06,4.51,1.11
1535673600,1.13,1.11,1.12,78.65,87.3,1.11
1535760000,1.14,1.06,1.06,64.25,73.24,1.14
1535846400,1.14,1.12,1.14,20,22.4,1.12
1535932800,1.14,1.12,1.14,26.62,29.81,1.12
1536019200,1.14,1.13,1.13,9,10.26,1.14
1536105600,1.44,1.19,1.44,64.84,77.16,1.19
1536192000,1.18,1.18,1.18,0,0,1.18
1536278400,1.25,1.11,1.25,145.81,164.77,1.13
1536364800,1.25,1.1,1.23,5.39,5.93,1.1
1536451200,1.16,1.11,1.11,41.92,46.95,1.12
1536537600,1.15,1.09,1.11,8.5,9.27,1.09
1536624000,1.16,1.1,1.16,145.49,161.49,1.11
1536710400,1.13,1.05,1.12,54.95,62.09,1.13
1536796800,1.1,0.9844,0.9844,56.51,62.16,1.1
1536883200,1.16,1.11,1.11,1.69,1.96,1.16
1536969600,1.14,1.09,1.09,5,5.7,1.14
1537056000,1.15,1.12,1.15,11.82,13.24,1.12
1537142400,1.26,1.11,1.26,49.15,55.54,1.13
1537228800,1.06,1.06,1.06,7.77,8.24,1.06
1537315200,1.16,1.05,1.05,3.65,4.12,1.13
1537401600,1.06,1.05,1.05,70.72,74.96,1.06
1537488000,1.05,0.9602,0.9602,7.99,8.39,1.05
1537574400,1.14,1.08,1.08,3.82,4.35,1.14
1537660800,1.13,1.11,1.12,30.41,34.06,1.12
1537747200,1.19,1.13,1.19,76.29,86.21,1.13
1537833600,1.18,1.09,1.18,85.5,94.91,1.11
1537920000,1.17,1.13,1.13,291,337.56,1.16
1538006400,1.16,1.06,1.08,88.55,102.72,1.16
1538092800,1.2,1.11,1.2,267.55,307.68,1.15
1538179200,1.16,1.1,1.1,395.85,455.23,1.15
1538265600,1.16,1.12,1.15,119.37,133.69,1.12
1538352000,1.15,1.12,1.13,314.16,355,1.13
1538438400,1.16,1.14,1.16,234.08,266.85,1.14
1538524800,1.16,1.14,1.16,26.03,29.67,1.14
1538611200,1.15,1.14,1.14,182.56,209.94,1.15
1538697600,1.15,1.11,1.12,151.06,172.21,1.14
1538784000,1.16,1.14,1.16,39.23,44.72,1.14
1538870400,1.15,1.13,1.13,75.35,86.65,1.15
1538956800,1.15,1.12,1.13,260.23,299.26,1.15
1539043200,1.16,1.14,1.16,66.96,76.33,1.14
1539129600,1.16,1.14,1.16,0.6185,0.7051,1.14
1539216000,1.36,1.17,1.36,1110.04,1320.95,1.19
1539302400,1.16,1.14,1.15,24.98,28.73,1.15
1539388800,1.14,1.13,1.13,2.43,2.77,1.14
1539475200,1.18,1.17,1.17,1.45,1.71,1.18
1539561600,1.18,1.1,1.1,41.85,47.29,1.13
1539648000,1.13,1.13,1.13,52.3,59.1,1.13
1539734400,1.14,1.13,1.13,5.03,5.68,1.13
1539820800,1.16,1.13,1.15,52.44,59.26,1.13
1539907200,1.14,1.13,1.13,12.5,14.25,1.14
1539993600,1.14,1.13,1.13,105.27,120.01,1.14
1540080000,1.15,1.14,1.14,4.21,4.84,1.15
1540166400,1.15,1.13,1.15,52.52,59.35,1.13
1540252800,1.13,1.13,1.13,8.69,9.82,1.13
1540339200,1.14,1.13,1.13,54.4,61.47,1.13
1540425600,1.14,1.13,1.14,78.42,88.61,1.13
1540512000,1.15,1.14,1.15,6.03,6.87,1.14
1540598400,1.14,1.14,1.14,0,0,1.14
1540684800,1.13,1.13,1.13,0,0,1.13
1540771200,1.18,1.12,1.18,22.02,24.88,1.13
1540857600,1.13,1.12,1.12,5.31,6,1.13
1540944000,1.12,1.12,1.12,0,0,1.12
1541030400,1.12,1.12,1.12,0,0,1.12
1541116800,1.11,1.11,1.11,0,0,1.11
1541203200,1.12,1.12,1.12,0,0,1.12
1541289600,1.16,1.06,1.06,179.09,204.16,1.14
1541376000,1.15,1.14,1.15,34.59,39.43,1.14
1541462400,1.12,1.09,1.09,204.76,229.33,1.12
1541548800,1.15,1.13,1.13,50.3,57.84,1.15
1541635200,1.17,1.16,1.17,22.56,26.17,1.16
1541721600,1.17,1.14,1.17,4,4.56,1.14
1541808000,1.13,1.13,1.13,0,0,1.13
1541894400,1.13,1.13,1.13,0,0,1.13
1541980800,1.13,1.13,1.13,1.02,1.15,1.13
1542067200,1.17,1.14,1.17,9.2,10.49,1.14
1542153600,1.3,1.07,1.3,826.41,892.52,1.08
1542240000,1.13,1.08,1.08,37.19,41.28,1.11
1542326400,1.16,1.14,1.16,1.36,1.55,1.14
1542412800,1.15,1.15,1.15,11.15,12.82,1.15
1542499200,1.15,1.12,1.12,30.38,34.33,1.13
1542585600,1.39,1.17,1.39,28.62,33.49,1.17
1542672000,1.3,1.13,1.29,36.13,40.83,1.13
1542758400,1.08,1.08,1.08,0,0,1.08
1542844800,1.23,1.18,1.18,7.09,8.44,1.19
1542931200,1.19,1.13,1.19,8.33,9.41,1.13
1543017600,1.24,1.12,1.24,22.99,25.75,1.12
1543104000,1.14,0.9973,1.09,138.01,157.33,1.14
1543190400,1.22,1.12,1.22,12.92,14.73,1.14
1543276800,1.13,1.08,1.12,9.89,11.18,1.13
1543363200,1.11,1.01,1.01,29.18,32.39,1.11
1543449600,1.16,1.16,1.16,0,0,1.16
1543536000,1.2,1.12,1.2,16.8,19.15,1.14
1543622400,1.09,1.09,1.09,0,0,1.09
1543708800,1.11,1.11,1.11,0,0,1.11
1543795200,1.19,1.14,1.19,11.53,13.14,1.14
1543881600,1.14,1.12,1.12,8.41,9.5,1.13
1543968000,1.22,1.12,1.22,294.98,336.28,1.14
1544054400,1.29,1.19,1.29,26.54,31.58,1.19
1544140800,1.15,1.09,1.15,1,1.09,1.09
1544227200,1.12,1.12,1.12,1,1.12,1.12
1544313600,1.13,1.09,1.09,65.58,74.11,1.13
1544400000,1.17,1.11,1.17,1,1.11,1.11
1544486400,1.13,1.13,1.13,0,0,1.13
1544572800,1.11,1.11,1.11,0,0,1.11
1544659200,1.16,1.11,1.16,84.68,93.99,1.11
1544745600,1.15,1.12,1.13,20.6,23.28,1.13
1544832000,1.13,1.11,1.13,46.04,51.56,1.12
1544918400,1.11,1.11,1.11,0,0,1.11
1545004800,1.14,0.9954,0.9954,50.34,55.88,1.11
1545091200,1.05,1.04,1.04,10,10.5,1.05
1545177600,1.17,1.07,1.07,3.45,4.04,1.17
1545264000,1.02,1.02,1.02,0,0,1.02
1545350400,1.19,1.08,1.08,9.89,11.77,1.19
1545436800,1.13,1.05,1.1,2.7,3.05,1.13
1545523200,1.15,1.01,1.01,21.83,24.67,1.13
1545609600,1.25,1.05,1.05,16.21,20.26,1.25
1545696000,1.36,1.1,1.36,12,13.2,1.1
1545782400,1.12,1.08,1.08,15.49,17.35,1.12
1545868800,1.28,1.12,1.28,3,3.36,1.12
1545955200,1.12,0.9374,0.9374,18.48,20.7,1.12
1546041600,1.15,1.15,1.15,0,0,1.15
1546128000,1.11,1.11,1.11,8.21,9.11,1.11
1546214400,1.18,1.18,1.18,0,0,1.18
1546300800,1.11,1.11,1.11,0,0,1.11
1546387200,1.12,0.9989,0.9989,19.21,21.52,1.12
1546473600,1.17,1.12,1.17,9.22,10.33,1.12
1546560000,1.11,1.08,1.08,14.89,16.08,1.08
1546646400,1.14,1.08,1.08,12.97,14.79,1.14
1546732800,1.13,1.1,1.13,14.49,15.94,1.1
1546819200,1.15,1.13,1.15,13.4,15.28,1.14
1546905600,1.15,1.12,1.15,30.9,34.61,1.12
1546992000,1.13,1.13,1.13,2.23,2.52,1.13
1547078400,1.33,1.17,1.33,13.54,15.84,1.17
1547164800,1.17,1.17,1.17,0,0,1.17
1547251200,1.18,1.18,1.18,0,0,1.18
1547337600,1.28,1.13,1.28,15,16.95,1.13
1547424000,1.13,1.01,1.01,54.76,61.88,1.13
1547510400,1.2,1.11,1.2,6.75,7.49,1.11
1547596800,1.15,1.1,1.1,8,9.2,1.15
1547683200,1.15,1.15,1.15,0,0,1.15
1547769600,1.18,1.18,1.18,0,0,1.18
1547856000,1.14,1.14,1.14,0,0,1.14
1547942400,1.2,1.14,1.2,0.5961,0.6796,1.14
1548028800,1.15,1.15,1.15,0,0,1.15
1548115200,1.13,1.13,1.13,0.1,0.113,1.13
1548201600,1.14,1.14,1.14,0,0,1.14
1548288000,1.13,1.11,1.13,1.04,1.15,1.11
1548374400,1.14,1.14,1.14,0.23,0.2622,1.14
1548460800,1.14,1.14,1.14,0.65,0.741,1.14
1548547200,1.18,1.15,1.18,10.7,12.3,1.15
1548633600,1.22,1.13,1.22,9.57,10.81,1.13
1548720000,1.14,1.14,1.14,0,0,1.14
1548806400,1.15,1.11,1.11,1.25,1.44,1.15
1548892800,1.16,1.13,1.16,0.5999,0.6779,1.13
1548979200,1.13,1.13,1.13,7.12,8.05,1.13
1549065600,1.1,1.1,1.1,0,0,1.1
1549152000,1.13,1.13,1.13,0,0,1.13
1549238400,1.13,1.13,1.13,0,0,1.13
1549324800,1.12,1.12,1.12,0,0,1.12
1549411200,1.15,1.1,1.15,30.58,34.56,1.13
1549497600,1.14,1.13,1.13,11,12.54,1.14
1549584000,1.13,0.9922,0.9922,0.1034,0.1168,1.13
1549670400,1.13,1.13,1.13,2.22,2.51,1.13
1549756800,1.13,1.07,1.08,0.11,0.1243,1.13
1549843200,1.17,1.11,1.17,3.63,4.1,1.13
1549929600,1.12,1.1,1.12,0.6566,0.7288,1.11
1550016000,1.15,1.11,1.11,20.74,23.64,1.14
1550102400,1.15,1.15,1.15,0,0,1.15
1550188800,1.15,1.14,1.15,5.84,6.66,1.14
1550275200,1.14,1.13,1.13,8.51,9.7,1.14
1550361600,1.09,1.04,1.04,16.31,17.78,1.09
1550448000,1.12,1,1,25.1,27.61,1.1
1550534400,1.17,1.11,1.11,10.5,12.08,1.15
1550620800,1.12,1.09,1.11,15.2,17.02,1.12
1550707200,1.15,1.12,1.15,6.08,6.81,1.12
1550793600,1.13,1.1,1.1,0.4294,0.4852,1.13
1550880000,1.06,1.06,1.06,0,0,1.06
1550966400,1.41,1.27,1.27,9.31,13.03,1.4
1551052800,1.35,1.15,1.35,1,1.15,1.15
1551139200,1.17,1.13,1.17,8.94,10.19,1.14
1551225600,1.17,1.13,1.15,106.35,120.18,1.13
1551312000,1.15,1.12,1.12,89.87,103.35,1.15
1551398400,1.15,1.14,1.15,9,10.26,1.14
1551484800,1.16,1.16,1.16,0,0,1.16
1551571200,1.18,1.15,1.18,1,1.15,1.15
1551657600,1.19,1.19,1.19,0,0,1.19
1551744000,1.15,1.09,1.09,6.4,7.23,1.13
1551830400,1.12,1.12,1.12,0,0,1.12
1551916800,1.14,1.12,1.12,1.44,1.64,1.14
1552003200,1.17,1.15,1.17,1.04,1.2,1.15
1552089600,1.12,1.12,1.12,0,0,1.12
1552176000,1.14,1.13,1.13,4.42,5.04,1.14
1552262400,1.16,1.16,1.16,0,0,1.16
1552348800,1.15,1.12,1.15,0.5113,0.5727,1.12
1552435200,1.14,1.12,1.14,10.04,11.35,1.13
1552521600,1.14,1.12,1.13,7.23,8.24,1.14
