time,high,low,open,volumefrom,volumeto,close
1524441600,0.9092,0.8015,0.8243,633.31,568.4,0.8975
1524528000,0.8943,0.6417,0.8227,572.06,491,0.8583
1524614400,1.01,0.7235,0.9748,401.26,347.29,0.8655
1524700800,0.8807,0.7815,0.8041,486.72,414.69,0.852
1524787200,0.9494,0.8375,0.8743,534.95,464.34,0.868
1524873600,0.9108,0.8205,0.8205,506.88,435.11,0.8584
1524960000,0.9039,0.8089,0.8483,676.61,590.55,0.8728
1525046400,0.9192,0.8375,0.8972,551.06,466.58,0.8467
1525132800,0.9045,0.8107,0.8406,707.11,601.61,0.8508
1525219200,0.8984,0.8043,0.8275,784.78,672.79,0.8573
1525305600,0.8902,0.6441,0.76,396.45,340.71,0.8594
1525392000,0.9273,0.786,0.8511,180.59,163.2,0.9037
1525478400,0.9099,0.8357,0.8677,311.14,268.2,0.862
1525564800,0.9445,0.8349,0.8901,327.02,282.94,0.8652
1525651200,0.9372,0.8384,0.9022,273.26,232.57,0.8511
1525737600,0.9201,0.8318,0.8533,532.24,458.42,0.8613
1525824000,0.8896,0.8009,0.8569,693.93,597.27,0.8607
1525910400,0.9429,0.8625,0.8956,783.86,683.68,0.8722
1525996800,0.9725,0.8542,0.9348,510.65,441.3,0.8642
1526083200,0.905,0.813,0.8554,417.24,375.14,0.8991
1526169600,0.9052,0.7867,0.8415,635.52,553.67,0.8712
1526256000,0.9013,0.8105,0.8739,617.21,532.04,0.862
1526342400,0.9258,0.8407,0.8793,632.88,571.93,0.9037
1526428800,0.9003,0.8155,0.9003,577.34,486.12,0.842
1526515200,0.9566,0.8535,0.8874,584.17,498.59,0.8535
1526601600,0.8942,0.8097,0.8244,478.6,409.68,0.856
1526688000,0.8996,0.8226,0.8505,338.99,290.72,0.8576
1526774400,0.8951,0.8231,0.8363,300.95,255.93,0.8504
1526860800,0.9151,0.8515,0.8731,264.45,233.35,0.8824
1526947200,0.9616,0.8293,0.9575,144.21,129.39,0.8972
1527033600,0.9906,0.8846,0.9906,115.87,106.29,0.9173
1527120000,0.9356,0.8085,0.882,141.5,124.76,0.8817
1527206400,0.9203,0.8418,0.9007,155.31,132.45,0.8528
1527292800,1.59,0.8475,0.8732,162.43,143.34,0.8825
1527379200,0.9188,0.8242,0.9096,145.18,126.34,0.8702
1527465600,1.75,0.8632,0.9466,173.34,149.89,0.8647
1527552000,1.39,0.7612,0.7958,175.25,158.15,0.9024
1527638400,0.9274,0.8459,0.9258,186.25,162.15,0.8706
