time,high,low,open,volumefrom,volumeto,close
1524441600,136.55,132.87,133.13,29283.59,3995453.02,136.44
1524528000,141.33,126.07,126.39,50473.97,7060298.92,139.88
1524614400,152.81,136.2,151.68,63392.44,8791897.5,138.69
1524700800,138.04,127.4,131.94,46794.25,6426722.3,137.34
1524787200,145.06,136.25,142.61,35176.84,4845609.71,137.75
1524873600,138.92,130.9,131.88,35070.38,4812708.25,137.23
1524960000,138.44,134.07,136.22,32007.21,4385947.99,137.03
1525046400,139.25,135.63,138.95,26391.3,3617983.32,137.09
1525132800,138.91,133.83,138.88,32074.08,4393828.22,136.99
1525219200,136.57,133.32,134.47,24309,3307482.54,136.06
1525305600,137.6,128.17,129.29,31662.61,4327645.53,136.68
1525392000,139.11,134.01,136.74,25732.77,3543145.1,137.69
1525478400,141.97,133.66,135.94,24822.61,3484597.99,140.38
1525564800,144.53,136.07,143.29,30481.57,4274125.75,140.22
1525651200,143.55,134.77,143.29,33154.41,4574313.95,137.97
1525737600,141.38,132.5,139.91,31296.52,4220961.65,134.87
1525824000,137.22,130.79,133.31,27574.36,3751767.42,136.06
1525910400,142.05,134.76,141.18,29701.25,4009668.75,135
1525996800,145.36,131.42,144.7,38304.37,5124741.66,133.79
1526083200,139.93,129.8,132.68,36075.17,4913077.4,136.19
1526169600,138.08,130.45,132.8,29135.86,3972965.87,136.36
1526256000,137.1,126.79,136.67,37253.52,4894739.99,131.39
1526342400,135.68,129.93,133.02,31377.39,4098200.91,130.61
1526428800,133.06,127.77,132.67,32899.57,4297999.82,130.64
1526515200,139.79,133.02,134.7,27173.38,3657536.95,134.6
1526601600,136.02,129.24,131.58,27271.17,3678335.41,134.88
1526688000,137.02,133.15,135.07,23424.79,3142435.58,134.15
1526774400,136.12,128.95,129.74,21514.5,2905748.37,135.06
1526860800,138.05,134.36,137.09,22600.48,3065303.1,135.63
1526947200,142.66,135.16,142.35,24789.41,3377061.32,136.23
1527033600,144.64,132.59,144.2,37578.41,5030997.53,133.88
1527120000,136.46,127.19,132.68,35595.35,4734893.46,133.02
1527206400,136.89,129.54,134.24,29573.83,3922377.07,132.63
1527292800,137.72,130.43,135.1,18967.4,2502938.1,131.96
1527379200,133.78,130.21,132.21,17792.98,2363441.53,132.83
1527465600,139.6,131.03,136.37,25265.42,3328971.74,131.76
1527552000,132.05,122.36,124.58,29275.33,3803450.87,129.92
1527638400,135.96,129.08,132.6,25902.35,3388545.43,130.82
1527724800,133.96,128.61,129.41,22929.76,3016180.63,131.54
1527811200,133.78,129.24,130.79,20711.6,2739109.1,132.25
1527897600,133.3,129.27,130.17,23714.18,3130271.76,132
1527984000,133.11,130.23,130.62,16262.53,2157224.6,132.65
1528070400,137.82,131.69,137.04,21763.15,2888622.9,132.73
1528156800,133.86,128.47,130.77,22094.49,2942544.18,133.18
1528243200,136.99,131.46,133.26,18741.98,2532791.18,135.14
1528329600,136.78,133.32,134.7,17435.25,2344169.36,134.45
1528416000,135.97,130.14,135.33,17579.65,2352860.36,133.84
1528502400,137.29,133.76,136.08,12381.2,1663661.84,134.37
1528588800,148.83,128.54,148.8,34725.82,4615061.48,132.9
1528675200,134.36,127.01,130.61,31591.81,4222561.32,133.66
1528761600,140.43,130.66,140.02,29534.08,3941618.32,133.46
1528848000,141.81,129.13,139.51,39529.15,5303230.76,134.16
1528934400,132.87,124.13,124.76,37090.12,4878092.58,131.52
1529020800,137.17,130.34,137.04,26442.92,3476186.26,131.46
1529107200,132.8,127.15,128.8,18705.01,2449046.96,130.93
1529193600,134.06,130.57,131.96,14493.38,1897908.11,130.95
1529280000,132.76,124.83,126.71,25101.54,3289556.82,131.05
1529366400,131.94,128.27,129.9,18966.56,2465083.8,129.97
1529452800,131.42,126.88,129.6,20717.45,2699483.74,130.3
1529539200,132.31,130.33,131.28,21021.17,2750830.31,130.86
1529625600,145.82,126.42,145.4,44838.97,5865834.06,130.82
1529712000,134.17,128.31,128.84,22886.85,3004814.54,131.29
1529798400,134.44,123.07,131.54,33201.88,4342805.9,130.8
1529884800,133.61,127.12,129.23,27318.63,3588302.05,131.35
1529971200,135.62,130.67,134.58,19352.15,2540163.21,131.26
1530057600,131.27,127.73,129.07,19673.68,2561906.61,130.22
1530144000,136.77,129.27,136.21,20611.57,2704031.87,131.19
1530230400,135.23,124.26,125.4,26597.15,3522526.55,132.44
1530316800,134.85,128.26,128.55,25749.2,3408936.59,132.39
1530403200,134.47,129.95,132.8,15360.36,2032482.84,132.32
1530489600,133.23,125.16,126.63,22644.15,2979290.82,131.57
1530576000,135.34,130.94,134.17,21088.86,2784783.96,132.05
1530662400,135.39,127.83,130.42,25367.42,3340128.19,131.67
1530748800,136.07,130.52,133.13,24953.39,3305076.51,132.45
1530835200,133.4,130.27,131.55,18500.62,2454107.24,132.65
1530921600,133.1,128.05,129.81,15860.16,2097030.36,132.22
1531008000,134.17,131.84,133.13,14813.41,1960999.22,132.38
1531094400,135.28,132.37,133.33,15004.55,1996505.42,133.06
1531180800,140.27,132.19,140.13,23601.91,3151799.06,133.54
1531267200,133.95,130.53,131.31,17338.55,2316603.67,133.61
1531353600,136.62,130.97,136.59,17574.55,2366413.16,134.65
1531440000,136.22,131.28,135.23,15439.89,2064776.49,133.73
1531526400,135.07,132.68,132.92,11044.76,1479997.84,134
1531612800,134.38,131.46,131.91,11791.67,1575013.36,133.57
1531699200,136.94,126.31,126.52,28702.74,3903859.67,136.01
