time,high,low,open,volumefrom,volumeto,close
1545004800,1.69,1.55,1.55,3233.44,5464.51,1.69
1545091200,1.61,1.52,1.58,5472.38,8810.53,1.61
1545177600,1.78,1.63,1.63,3489.19,5966.51,1.71
1545264000,1.7,1.45,1.49,3439.69,5847.47,1.7
1545350400,1.81,1.66,1.79,7412,12303.92,1.66
1545436800,1.58,1.55,1.55,376.16,594.33,1.58
1545523200,1.68,1.41,1.41,115.93,194.76,1.68
1545609600,1.76,1.57,1.57,1593.73,2661.53,1.67
1545696000,1.81,1.61,1.81,4097.31,6965.43,1.7
1545782400,1.73,1.67,1.67,526.84,890.36,1.69
1545868800,1.93,1.68,1.93,384.14,645.36,1.68
1545955200,1.63,1.4,1.4,2652.01,4322.78,1.63
1546041600,1.81,1.67,1.67,175.48,301.83,1.72
1546128000,1.67,1.63,1.67,1988.4,3320.63,1.67
1546214400,1.77,1.69,1.77,436.72,738.06,1.69
1546300800,1.59,1.59,1.59,0,0,1.59
1546387200,1.74,1.43,1.43,2215.69,3855.3,1.74
1546473600,1.82,1.82,1.82,0,0,1.82
1546560000,1.75,1.65,1.75,11764.16,19528.51,1.66
1546646400,1.66,1.66,1.66,0,0,1.66
1546732800,1.64,1.63,1.64,700.5,1141.81,1.63
1546819200,1.72,1.7,1.7,735.44,1264.96,1.72
1546905600,1.74,1.74,1.74,0,0,1.74
1546992000,1.75,1.75,1.75,0,0,1.75
1547078400,2.06,1.79,2.06,191,341.89,1.79
1547164800,1.8,1.66,1.8,2938.41,4877.76,1.66
1547251200,1.69,1.67,1.67,1.07,1.81,1.69
1547337600,1.83,1.69,1.83,40.06,67.7,1.69
1547424000,1.62,1.52,1.52,27.54,44.61,1.62
1547510400,1.78,1.63,1.71,2334.89,3805.87,1.63
1547596800,1.66,1.61,1.61,11.1,18.43,1.66
1547683200,1.69,1.65,1.65,2597.45,4337.74,1.67
1547769600,1.73,1.68,1.71,5455.45,9165.16,1.68
1547856000,1.69,1.63,1.63,179.02,302.54,1.69
1547942400,1.78,1.7,1.78,9.54,16.22,1.7
1548028800,1.72,1.66,1.72,1094.36,1871.36,1.71
1548115200,1.71,1.59,1.68,1851.15,3128.44,1.69
1548201600,1.72,1.67,1.72,264.42,441.58,1.67
1548288000,1.66,1.65,1.66,4181.47,6941.24,1.66
1548374400,1.7,1.7,1.7,0,0,1.7
1548460800,1.7,1.67,1.7,56.38,95.28,1.69
1548547200,1.76,1.63,1.76,1.32,2.15,1.63
1548633600,1.72,1.61,1.72,68.22,113.25,1.66
1548720000,1.69,1.69,1.69,158.55,267.95,1.69
1548806400,1.66,1.61,1.64,3494.49,5800.85,1.66
1548892800,1.72,1.69,1.69,713,1226.36,1.72
1548979200,1.72,1.67,1.72,321.3,536.57,1.67
1549065600,1.63,1.58,1.62,5112,8332.56,1.63
1549152000,1.68,1.68,1.68,0,0,1.68
1549238400,1.68,1.66,1.68,497,825.02,1.66
1549324800,1.66,1.64,1.66,8747.77,14521.3,1.66
1549411200,1.7,1.62,1.7,21,34.02,1.62
1549497600,1.69,1.62,1.62,970.4,1639.98,1.69
1549584000,1.69,1.47,1.47,2615.48,4341.7,1.66
1549670400,1.67,1.64,1.66,129.28,214.6,1.66
1549756800,1.58,1.55,1.58,1056,1636.8,1.55
1549843200,1.6,1.6,1.6,0,0,1.6
1549929600,1.68,1.59,1.59,1715.3,2881.7,1.68
1550016000,1.69,1.68,1.68,399.66,671.43,1.68
1550102400,1.7,1.68,1.7,1100,1848,1.68
1550188800,1.67,1.62,1.67,739,1197.18,1.62
1550275200,1.66,1.61,1.61,814.04,1351.31,1.66
1550361600,1.64,1.52,1.52,4037.05,6620.76,1.64
1550448000,1.66,1.51,1.51,1586.8,2602.35,1.64
1550534400,1.7,1.66,1.66,3012.14,5090.52,1.69
1550620800,1.67,1.57,1.63,23029.43,38459.15,1.67
1550707200,1.7,1.63,1.7,18.29,29.81,1.63
1550793600,1.65,1.6,1.6,844.3,1384.65,1.64
1550880000,1.67,1.53,1.53,1815.42,3031.75,1.67
1550966400,2.07,1.71,1.99,3298.95,5773.16,1.75
1551052800,1.7,1.65,1.68,6120.97,10099.6,1.65
1551139200,1.69,1.65,1.67,19857.65,33559.43,1.69
1551225600,1.71,1.58,1.71,3328.08,5258.37,1.58
1551312000,1.71,1.57,1.57,6094.94,10178.55,1.67
1551398400,1.71,1.67,1.67,803.08,1373.27,1.71
1551484800,1.74,1.69,1.74,430,726.7,1.69
1551571200,1.72,1.72,1.72,0,0,1.72
1551657600,1.78,1.68,1.78,69,115.92,1.68
1551744000,1.64,1.51,1.54,3305.11,5420.38,1.64
1551830400,1.69,1.63,1.63,1382.82,2336.97,1.69
1551916800,1.68,1.65,1.68,164,270.6,1.65
1552003200,1.71,1.7,1.7,394.74,675.01,1.71
1552089600,1.67,1.66,1.66,51.5,86.01,1.67
1552176000,1.7,1.7,1.7,0,0,1.7
1552262400,1.73,1.65,1.73,912,1504.8,1.65
1552348800,1.65,1.62,1.64,1840.66,3037.09,1.65
1552435200,1.68,1.66,1.68,1024.41,1700.52,1.66
1552521600,1.67,1.66,1.66,272.33,454.79,1.67
1552608000,1.67,1.62,1.62,8839.11,14761.31,1.67
1552694400,1.64,1.63,1.63,400,656,1.64
1552780800,1.66,1.65,1.66,466.12,769.1,1.65
1552867200,1.69,1.67,1.67,207.11,350.02,1.69
1552953600,1.68,1.63,1.68,4512.34,7490.48,1.66
1553040000,1.66,1.64,1.66,399.34,658.91,1.65
1553126400,1.7,1.64,1.7,1233.28,2059.58,1.67
1553212800,1.65,1.64,1.64,830,1369.5,1.65
1553299200,1.66,1.62,1.64,2146.52,3498.83,1.63
1553385600,1.65,1.62,1.64,734.11,1189.26,1.62
1553472000,1.7,1.6,1.65,3243.48,5254.44,1.62
1553558400,1.63,1.61,1.61,1769.3,2848.57,1.61
1553644800,1.65,1.54,1.54,2478.61,4015.35,1.62
1553731200,1.67,1.63,1.63,5902.74,9621.47,1.63
1553817600,1.64,1.57,1.57,1556.73,2553.04,1.64
1553904000,1.66,1.65,1.65,74,122.84,1.66
1553990400,1.67,1.63,1.67,1062.36,1752.89,1.65
1554076800,1.67,1.64,1.64,5250.54,8715.9,1.66
1554163200,1.63,1.43,1.43,1183.25,1928.7,1.63
1554249600,1.86,1.58,1.67,7154.11,11303.49,1.58
1554336000,1.73,1.62,1.62,1821.1,3023.03,1.66
1554422400,1.66,1.57,1.57,1034.08,1664.87,1.61
1554508800,1.69,1.61,1.61,574.68,971.21,1.69
1554595200,1.66,1.57,1.59,379.05,629.22,1.66
1554681600,1.7,1.62,1.62,2885.66,4819.05,1.67
1554768000,1.73,1.65,1.72,3221.17,5443.78,1.69
1554854400,1.73,1.66,1.68,2095.55,3478.61,1.66
1554940800,1.8,1.66,1.78,2448.23,4137.51,1.69
1555027200,1.7,1.7,1.7,54,91.8,1.7
1555113600,1.71,1.7,1.7,155,265.05,1.71
1555200000,1.67,1.67,1.67,0,0,1.67
1555286400,1.76,1.69,1.76,87,147.03,1.69
1555372800,1.69,1.61,1.62,813.88,1375.46,1.69
1555459200,1.69,1.69,1.69,16.65,28.14,1.69
1555545600,1.67,1.61,1.61,362.42,605.24,1.67
1555632000,1.68,1.68,1.68,0,0,1.68
1555718400,1.68,1.68,1.68,0,0,1.68
1555804800,1.71,1.67,1.71,434,724.78,1.67
1555891200,1.66,1.66,1.66,0,0,1.66
1555977600,1.73,1.63,1.63,247,424.84,1.72
