time,high,low,open,volumefrom,volumeto,close
1524441600,1.94,1.78,1.79,220.76,408.41,1.85
1524528000,1.87,1.7,1.7,527.59,976.04,1.85
1524614400,2.02,1.82,2,679.36,1243.23,1.83
1524700800,1.84,1.71,1.74,288.37,530.6,1.84
1524787200,1.98,1.82,1.9,271.18,496.26,1.83
1524873600,1.89,1.74,1.75,226.85,412.87,1.82
1524960000,1.87,1.78,1.81,288.93,525.85,1.82
1525046400,1.92,1.8,1.85,215.36,394.11,1.83
1525132800,1.9,1.78,1.86,334.4,611.95,1.83
1525219200,1.83,1.77,1.8,210.46,383.04,1.82
1525305600,1.81,1.7,1.73,337.13,606.83,1.8
1525392000,1.83,1.78,1.82,229.71,415.78,1.81
1525478400,1.89,1.78,1.79,188.02,340.32,1.81
1525564800,1.85,1.75,1.83,219.53,395.15,1.8
1525651200,1.83,1.76,1.83,207.37,371.19,1.79
1525737600,1.87,1.82,1.85,233.08,431.2,1.85
1525824000,1.87,1.81,1.85,282.02,527.38,1.87
1525910400,2,1.85,1.92,274.31,510.22,1.86
1525996800,1.96,1.81,1.96,433.4,784.45,1.81
1526083200,1.88,1.75,1.78,336.13,605.03,1.8
1526169600,1.89,1.74,1.76,195.23,353.37,1.81
1526256000,1.88,1.76,1.85,531.68,978.29,1.84
1526342400,1.91,1.83,1.87,248.77,460.22,1.85
1526428800,1.87,1.76,1.84,357.18,642.92,1.8
1526515200,1.94,1.8,1.87,198.45,359.19,1.81
1526601600,1.88,1.73,1.76,182.08,327.74,1.8
1526688000,1.9,1.78,1.81,103.66,186.59,1.8
1526774400,1.88,1.71,1.73,107.22,191.92,1.79
1526860800,1.83,1.76,1.81,226.68,401.22,1.77
1526947200,1.89,1.8,1.88,278.67,501.61,1.8
1527033600,1.89,1.76,1.89,503.93,897,1.78
1527120000,1.82,1.72,1.77,243.89,434.12,1.78
1527206400,1.81,1.74,1.79,201.62,358.88,1.78
1527292800,1.83,1.76,1.81,574.46,1011.05,1.76
1527379200,1.78,1.73,1.76,123.02,216.52,1.76
1527465600,1.83,1.75,1.81,326.09,570.66,1.75
1527552000,1.78,1.66,1.67,572.27,1007.2,1.76
1527638400,1.81,1.73,1.79,276.73,484.28,1.75
1527724800,1.84,1.69,1.7,160.73,278.06,1.73
1527811200,1.81,1.72,1.73,157.3,273.7,1.74
1527897600,1.76,1.71,1.72,145.68,254.94,1.75
1527984000,1.78,1.74,1.74,115.94,205.21,1.77
1528070400,1.8,1.71,1.79,160.26,275.65,1.72
1528156800,1.75,1.69,1.7,177.49,308.83,1.74
1528243200,1.74,1.7,1.73,221.91,383.9,1.73
1528329600,1.86,1.75,1.75,125.86,222.77,1.77
1528416000,1.86,1.74,1.77,97.34,171.32,1.76
1528502400,1.9,1.78,1.82,68.7,122.97,1.79
1528588800,1.96,1.74,1.96,548.91,971.57,1.77
1528675200,1.81,1.72,1.75,278.13,495.07,1.78
1528761600,1.87,1.76,1.87,487.02,871.77,1.79
1528848000,1.88,1.73,1.85,637.92,1135.5,1.78
1528934400,1.79,1.66,1.67,292.97,521.49,1.78
1529020800,1.93,1.79,1.85,166.84,298.64,1.79
1529107200,1.94,1.76,1.77,72.5,129.78,1.79
1529193600,1.95,1.8,1.82,70.1,126.88,1.81
1529280000,1.79,1.7,1.72,571.38,1017.06,1.78
1529366400,1.8,1.76,1.76,194.69,346.55,1.78
1529452800,1.81,1.75,1.8,167.09,300.76,1.8
1529539200,1.83,1.76,1.79,246.27,438.36,1.78
1529625600,1.99,1.76,1.99,549.58,978.25,1.78
1529712000,1.81,1.73,1.75,117.89,211.02,1.79
1529798400,1.82,1.69,1.8,533.1,954.25,1.79
1529884800,1.95,1.74,1.74,306.98,546.42,1.78
1529971200,1.94,1.77,1.83,214.7,382.17,1.78
1530057600,1.89,1.72,1.74,248.79,440.36,1.77
1530144000,2,1.76,1.86,217.34,386.87,1.78
1530230400,1.79,1.68,1.71,405.41,721.63,1.78
1530316800,1.8,1.73,1.73,397.16,702.97,1.77
1530403200,1.81,1.77,1.8,133.48,237.59,1.78
1530489600,1.79,1.68,1.69,365.29,646.56,1.77
1530576000,1.81,1.72,1.79,404.78,708.37,1.75
1530662400,1.82,1.72,1.75,388.31,691.19,1.78
1530748800,1.81,1.76,1.79,192.59,342.81,1.78
1530835200,1.8,1.77,1.79,164.86,295.1,1.79
1530921600,1.77,1.71,1.73,208.94,369.82,1.77
1531008000,1.78,1.75,1.77,163.98,288.6,1.76
1531094400,1.79,1.76,1.78,149.34,262.84,1.76
1531180800,1.87,1.78,1.86,261.49,468.07,1.79
1531267200,1.87,1.74,1.76,243.2,432.9,1.78
1531353600,1.83,1.74,1.82,327.87,583.61,1.78
1531440000,1.89,1.77,1.8,133.14,239.65,1.8
1531526400,1.91,1.75,1.76,77.23,136.7,1.77
1531612800,1.92,1.74,1.76,98.34,174.06,1.77
1531699200,1.89,1.68,1.68,262.04,466.43,1.78
1531785600,1.8,1.61,1.63,617.39,1098.95,1.78
1531872000,1.8,1.71,1.74,325.96,570.43,1.75
1531958400,1.85,1.71,1.73,232.87,412.18,1.77
1532044800,1.84,1.76,1.81,297.34,526.29,1.77
1532131200,1.78,1.73,1.77,82.67,147.15,1.78
1532217600,1.79,1.75,1.76,72.26,127.18,1.76
1532304000,1.79,1.69,1.69,324.68,574.68,1.77
1532390400,1.78,1.62,1.63,419.6,738.5,1.76
1532476800,1.85,1.75,1.84,291.96,516.77,1.77
1532563200,1.85,1.75,1.8,272.22,479.11,1.76
1532649600,1.8,1.69,1.73,257.39,458.15,1.78
1532736000,1.82,1.74,1.76,90.4,160.91,1.78
1532822400,1.85,1.75,1.78,78.16,138.34,1.77
1532908800,1.84,1.71,1.78,186.5,330.11,1.77
1532995200,1.85,1.73,1.85,365.46,643.21,1.76
1533081600,1.87,1.73,1.81,294.69,521.6,1.77
1533168000,1.86,1.73,1.76,166.29,292.67,1.76
1533254400,1.89,1.73,1.79,179.27,313.72,1.75
1533340800,2.01,1.77,1.89,125.4,224.47,1.79
1533427200,1.91,1.74,1.77,96.86,172.41,1.78
1533513600,1.86,1.73,1.78,241.99,425.9,1.76
1533600000,1.86,1.74,1.81,234.98,411.22,1.75
1533686400,1.9,1.7,1.85,496.88,859.6,1.73
1533772800,1.83,1.66,1.66,253.4,443.45,1.75
1533859200,1.85,1.72,1.84,465.54,814.7,1.75
1533945600,1.82,1.71,1.73,266.68,466.69,1.75
1534032000,1.83,1.72,1.73,1539.44,2694.02,1.75
1534118400,1.82,1.73,1.77,228.02,399.04,1.75
1534204800,1.77,1.67,1.77,502.03,883.57,1.76
1534291200,1.85,1.73,1.73,480.42,845.54,1.76
1534377600,1.86,1.74,1.76,289.81,510.07,1.76
1534464000,1.83,1.68,1.69,200.65,351.14,1.75
1534550400,1.86,1.73,1.8,135.45,238.39,1.76
1534636800,1.84,1.7,1.73,161.42,280.87,1.74
1534723200,1.92,1.74,1.81,215.03,376.3,1.75
1534809600,1.86,1.7,1.71,246.87,434.49,1.76
1534896000,1.89,1.73,1.79,1148.45,2021.27,1.76
1534982400,1.84,1.7,1.7,282.02,499.18,1.77
1535068800,1.75,1.68,1.72,259.63,451.76,1.74
1535155200,1.87,1.72,1.73,144.61,251.62,1.74
1535241600,1.85,1.73,1.76,120.39,211.89,1.76
1535328000,1.85,1.73,1.75,293.22,521.93,1.78
1535414400,1.77,1.7,1.7,366.38,641.17,1.75
1535500800,1.89,1.76,1.78,207.91,368,1.77
1535587200,1.79,1.73,1.78,247.31,440.21,1.78
1535673600,1.92,1.75,1.77,225.66,406.19,1.8
1535760000,1.88,1.74,1.75,259.75,464.95,1.79
1535846400,1.87,1.78,1.8,157.96,285.91,1.81
