time,high,low,open,volumefrom,volumeto,close
1524441600,1.74,1.64,1.65,1540.86,2650.28,1.72
1524528000,1.86,1.6,1.65,3416.63,6184.1,1.81
1524614400,2.07,1.68,2.04,6221.76,11074.73,1.78
1524700800,1.86,1.61,1.68,3464.73,6444.4,1.86
1524787200,1.93,1.81,1.87,1627.16,2945.16,1.81
1524873600,1.85,1.72,1.73,729.32,1334.66,1.83
1524960000,1.83,1.74,1.78,1110.23,1998.41,1.8
1525046400,1.93,1.81,1.91,1132.75,2072.93,1.83
1525132800,1.87,1.72,1.81,4011.2,7420.72,1.85
1525219200,1.83,1.75,1.78,2787.16,5100.5,1.83
1525305600,1.79,1.6,1.61,3646.73,6454.71,1.77
1525392000,1.74,1.64,1.67,2524.64,4317.13,1.71
1525478400,1.8,1.69,1.72,1458.28,2566.57,1.76
1525564800,1.85,1.7,1.81,1267.37,2243.24,1.77
1525651200,1.9,1.66,1.87,2131.13,3793.41,1.78
1525737600,1.84,1.73,1.77,1094.07,1969.33,1.8
1525824000,1.79,1.68,1.79,2120.25,3689.24,1.74
1525910400,1.83,1.73,1.79,1461.77,2543.48,1.74
1525996800,1.91,1.73,1.88,3360.84,5982.3,1.78
1526083200,1.72,1.58,1.69,1114.47,1905.74,1.71
1526169600,1.77,1.62,1.65,873.87,1546.75,1.77
1526256000,1.8,1.67,1.79,1205.2,2109.1,1.75
1526342400,1.75,1.64,1.7,797.79,1340.29,1.68
1526428800,1.82,1.72,1.79,1395.12,2511.22,1.8
1526515200,1.9,1.76,1.87,653.23,1175.81,1.8
1526601600,1.77,1.68,1.73,856.14,1506.81,1.76
1526688000,1.8,1.69,1.74,1440.27,2520.47,1.75
1526774400,1.78,1.7,1.72,867.96,1518.93,1.75
1526860800,1.76,1.68,1.73,677.62,1151.95,1.7
1526947200,1.83,1.68,1.82,946.22,1589.65,1.68
1527033600,1.9,1.62,1.82,1920.77,3188.48,1.66
1527120000,1.77,1.6,1.66,1359.75,2365.97,1.74
1527206400,1.89,1.74,1.84,878.81,1564.28,1.78
1527292800,1.79,1.69,1.72,471.53,811.03,1.72
1527379200,1.83,1.72,1.8,715.24,1273.13,1.78
1527465600,2.01,1.74,1.98,2001.26,3582.26,1.79
1527552000,1.69,1.49,1.53,1894.12,3163.18,1.67
1527638400,1.84,1.68,1.77,1681.54,2942.7,1.75
1527724800,1.82,1.69,1.73,591.01,1046.09,1.77
1527811200,1.78,1.71,1.75,556.91,974.59,1.75
1527897600,1.74,1.62,1.69,1082.82,1873.28,1.73
1527984000,1.74,1.64,1.65,795.97,1361.11,1.71
1528070400,1.86,1.72,1.82,920.13,1628.63,1.77
1528156800,1.76,1.64,1.72,1006.32,1740.93,1.73
1528243200,1.76,1.67,1.74,599.3,1048.77,1.75
1528329600,1.77,1.69,1.74,571.43,971.43,1.7
1528416000,1.73,1.67,1.69,305.74,516.7,1.69
1528502400,1.75,1.7,1.71,282.45,482.99,1.71
1528588800,1.87,1.63,1.86,1859.07,3141.83,1.69
1528675200,1.73,1.63,1.68,899.12,1528.5,1.7
1528761600,1.9,1.69,1.87,1351.67,2311.36,1.71
