time,high,low,open,volumefrom,volumeto,close
1524441600,1.37,1.31,1.31,32.69,43.8,1.34
1524528000,1.44,1.29,1.29,34.52,49.02,1.42
1524614400,1.6,1.36,1.6,224.96,326.19,1.45
1524700800,1.45,1.32,1.37,24.15,35.02,1.45
1524787200,1.49,1.42,1.46,194.45,276.12,1.42
1524873600,1.43,1.36,1.36,111.98,160.13,1.43
1524960000,1.39,1.33,1.39,1,1.33,1.33
1525046400,1.47,1.41,1.41,3.92,5.72,1.46
1525132800,1.44,1.38,1.44,9.51,13.41,1.41
1525219200,1.41,1.36,1.36,2.55,3.6,1.41
1525305600,1.42,1.24,1.24,17.08,23.23,1.36
1525392000,1.39,1.28,1.28,25.63,34.34,1.34
1525478400,1.43,1.35,1.35,10.89,15.25,1.4
1525564800,1.44,1.41,1.44,8.15,11.57,1.42
1525651200,1.5,1.32,1.5,126.15,179.13,1.42
1525737600,1.43,1.35,1.41,14.72,20.17,1.37
1525824000,1.42,1.33,1.36,12.38,17.21,1.39
1525910400,1.43,1.42,1.43,33.16,47.09,1.42
1525996800,1.54,1.38,1.54,13.25,18.29,1.38
1526083200,1.37,1.28,1.31,16,21.76,1.36
1526169600,1.34,1.31,1.31,2,2.68,1.34
1526256000,1.42,1.36,1.36,5.92,8.41,1.42
1526342400,1.4,1.35,1.38,31.55,42.59,1.35
1526428800,1.45,1.37,1.45,7.91,11.07,1.4
1526515200,1.49,1.46,1.46,4.12,6.14,1.49
1526601600,1.43,1.37,1.43,1.68,2.3,1.37
1526688000,1.4,1.36,1.36,0.9999,1.4,1.4
1526774400,1.4,1.38,1.38,1.72,2.41,1.4
1526860800,1.38,1.36,1.38,0.6406,0.8712,1.36
1526947200,1.45,1.36,1.45,9.56,13,1.36
1527033600,1.46,1.24,1.46,47.38,62.54,1.32
1527120000,1.33,1.27,1.32,6.98,9.21,1.32
1527206400,1.46,1.38,1.39,18.06,24.92,1.38
1527292800,1.37,1.34,1.34,34.36,46.73,1.36
1527379200,1.42,1.36,1.42,1.73,2.35,1.36
1527465600,1.51,1.37,1.51,5.05,6.97,1.38
1527552000,1.3,1.18,1.18,49.54,62.42,1.26
1527638400,1.38,1.35,1.35,1.74,2.38,1.37
1527724800,1.37,1.34,1.34,2,2.72,1.36
1527811200,1.38,1.35,1.35,27.73,38.27,1.38
1527897600,1.33,1.32,1.32,7.41,9.86,1.33
1527984000,1.36,1.27,1.27,6.86,9.06,1.32
1528070400,1.4,1.35,1.4,5.19,7.21,1.39
1528156800,1.35,1.35,1.35,0,0,1.35
1528243200,1.34,1.32,1.33,1.65,2.21,1.34
1528329600,1.35,1.33,1.33,1.14,1.52,1.33
1528416000,1.32,1.32,1.32,0,0,1.32
1528502400,1.33,1.32,1.33,1.71,2.27,1.33
1528588800,1.46,1.26,1.46,14.95,18.99,1.27
1528675200,1.3,1.22,1.26,26.63,33.02,1.24
1528761600,1.41,1.32,1.36,6.56,8.66,1.32
1528848000,1.39,1.27,1.39,8.59,11.25,1.31
1528934400,1.39,1.23,1.23,27.7,38.5,1.39
1529020800,1.43,1.43,1.43,0,0,1.43
1529107200,1.43,1.43,1.43,0,0,1.43
1529193600,1.45,1.39,1.45,0.5745,0.7986,1.39
1529280000,1.32,1.27,1.32,3.13,4.13,1.32
1529366400,1.37,1.28,1.28,9.88,13.54,1.37
1529452800,1.37,1.36,1.37,2,2.72,1.36
1529539200,1.34,1.34,1.34,0,0,1.34
1529625600,1.51,1.31,1.51,15.01,19.96,1.33
1529712000,1.33,1.3,1.33,0.5,0.65,1.3
1529798400,1.3,1.25,1.3,14.85,19.01,1.28
1529884800,1.31,1.26,1.29,1.1,1.44,1.31
1529971200,1.3,1.25,1.3,20.4,25.5,1.25
1530057600,1.27,1.22,1.27,8.65,10.64,1.23
1530144000,1.36,1.33,1.36,2.44,3.25,1.33
1530230400,1.35,1.23,1.31,19.23,25.96,1.35
1530316800,1.3,1.29,1.3,5,6.5,1.3
1530403200,1.31,1.31,1.31,0,0,1.31
1530489600,1.25,1.21,1.21,2.01,2.49,1.24
1530576000,1.38,1.28,1.28,3.73,5.15,1.38
1530662400,1.44,1.37,1.44,4,5.48,1.37
1530748800,1.28,1.28,1.28,0,0,1.28
1530835200,1.35,1.33,1.35,4,5.32,1.33
1530921600,1.29,1.29,1.29,10,12.9,1.29
1531008000,1.37,1.28,1.28,2.03,2.78,1.37
1531094400,1.42,1.35,1.42,10.51,14.29,1.36
1531180800,1.45,1.32,1.45,2.09,2.78,1.33
1531267200,1.33,1.3,1.3,1.56,2.07,1.33
1531353600,1.4,1.37,1.4,5.7,7.81,1.37
1531440000,1.36,1.36,1.36,0,0,1.36
1531526400,1.38,1.38,1.38,0,0,1.38
1531612800,1.34,1.29,1.29,0.07707,0.1033,1.34
1531699200,1.34,1.29,1.29,5.7,7.64,1.34
1531785600,1.31,1.28,1.28,0.05,0.0655,1.31
1531872000,1.38,1.31,1.31,35.41,48.51,1.37
1531958400,1.38,1.38,1.38,0,0,1.38
1532044800,1.51,1.35,1.51,16.6,22.41,1.35
1532131200,1.32,1.28,1.28,3.99,5.27,1.32
1532217600,1.34,1.34,1.34,0,0,1.34
1532304000,1.36,1.32,1.36,1.51,2.02,1.34
1532390400,1.31,1.26,1.26,3.34,4.38,1.31
1532476800,1.38,1.38,1.38,0,0,1.38
1532563200,1.38,1.36,1.37,7,9.52,1.36
1532649600,1.31,1.29,1.31,0.6437,0.8304,1.29
1532736000,1.3,1.3,1.3,0,0,1.3
1532822400,1.29,1.29,1.29,0,0,1.29
1532908800,1.35,1.3,1.35,9.16,11.91,1.3
1532995200,1.35,1.34,1.35,3,4.02,1.34
1533081600,1.43,1.34,1.43,0.17,0.2278,1.34
1533168000,1.34,1.33,1.34,2.7,3.59,1.33
1533254400,1.31,1.26,1.31,12,15.12,1.26
1533340800,1.34,1.34,1.34,0,0,1.34
1533427200,1.28,1.26,1.26,3.7,4.74,1.28
1533513600,1.33,1.31,1.31,9.78,13.01,1.33
1533600000,1.4,1.31,1.4,30.9,40.48,1.31
1533686400,1.38,1.3,1.38,94.13,122.37,1.3
1533772800,1.27,1.24,1.25,68.56,87.07,1.27
1533859200,1.38,1.24,1.38,19.58,24.28,1.24
1533945600,1.28,1.19,1.28,20.21,25.26,1.25
1534032000,1.27,1.27,1.27,0,0,1.27
1534118400,1.42,1.26,1.42,8.41,10.6,1.26
1534204800,1.27,1.12,1.27,26.14,30.58,1.17
1534291200,1.33,1.24,1.25,46.31,57.89,1.25
1534377600,1.3,1.22,1.22,50.8,62.99,1.24
1534464000,1.27,1.19,1.19,73.33,91.66,1.25
1534550400,1.26,1.2,1.25,55.65,69.01,1.24
1534636800,1.3,1.27,1.27,19.44,25.08,1.29
1534723200,1.4,1.32,1.4,26.84,35.7,1.33
1534809600,1.32,1.29,1.32,0.06143,0.07924,1.29
1534896000,1.34,1.31,1.34,24.39,31.95,1.31
1534982400,1.26,1.23,1.25,10.33,12.91,1.25
1535068800,1.23,1.23,1.23,1.15,1.41,1.23
1535155200,1.24,1.24,1.24,0,0,1.24
1535241600,1.27,1.26,1.27,7.1,9.02,1.27
1535328000,1.26,1.24,1.24,36.8,46.37,1.26
1535414400,1.25,1.18,1.18,10.24,12.8,1.25
1535500800,1.32,1.29,1.32,8.99,11.6,1.29
1535587200,1.34,1.28,1.34,4.06,5.2,1.28
1535673600,1.24,1.23,1.23,78.65,96.74,1.23
1535760000,1.3,1.21,1.21,64.25,83.53,1.3
1535846400,1.29,1.27,1.29,20,25.4,1.27
1535932800,1.27,1.25,1.27,26.62,33.28,1.25
1536019200,1.26,1.25,1.25,9,11.34,1.26
1536105600,1.59,1.31,1.59,64.84,84.94,1.31
1536192000,1.3,1.3,1.3,0,0,1.3
1536278400,1.4,1.24,1.4,145.81,183.72,1.26
1536364800,1.39,1.23,1.38,5.39,6.63,1.23
1536451200,1.3,1.23,1.23,41.92,52.4,1.25
1536537600,1.29,1.22,1.25,8.5,10.37,1.22
1536624000,1.31,1.24,1.31,145.49,181.86,1.25
1536710400,1.27,1.18,1.26,54.95,69.79,1.27
1536796800,1.24,1.11,1.11,56.51,70.07,1.24
1536883200,1.3,1.24,1.25,1.69,2.2,1.3
1536969600,1.49,1.42,1.42,5,7.45,1.49
1537056000,1.34,1.3,1.34,11.82,15.37,1.3
1537142400,1.42,1.25,1.42,49.15,62.42,1.27
1537228800,1.19,1.19,1.19,7.77,9.25,1.19
1537315200,1.31,1.18,1.18,3.65,4.64,1.27
1537401600,1.2,1.18,1.18,70.72,84.16,1.19
1537488000,1.16,1.06,1.06,7.99,9.27,1.16
1537574400,1.26,1.2,1.2,3.82,4.81,1.26
1537660800,1.25,1.23,1.24,30.41,37.4,1.23
1537747200,1.33,1.26,1.33,76.29,96.13,1.26
1537833600,1.32,1.22,1.32,85.5,106.02,1.24
1537920000,1.3,1.26,1.26,291,375.39,1.29
1538006400,1.3,1.19,1.21,88.55,115.12,1.3
1538092800,1.31,1.21,1.31,267.55,337.11,1.26
1538179200,1.28,1.22,1.22,395.85,506.69,1.28
1538265600,1.31,1.26,1.29,119.37,150.41,1.26
1538352000,1.29,1.26,1.26,314.16,398.98,1.27
1538438400,1.29,1.27,1.29,234.08,297.28,1.27
1538524800,1.31,1.29,1.31,26.03,33.58,1.29
1538611200,1.31,1.29,1.29,182.56,237.33,1.3
1538697600,1.3,1.25,1.26,151.06,194.87,1.29
1538784000,1.3,1.28,1.3,39.23,50.21,1.28
1538870400,1.31,1.28,1.29,75.35,98.71,1.31
1538956800,1.31,1.27,1.28,260.23,340.9,1.31
1539043200,1.33,1.3,1.33,66.96,87.05,1.3
1539129600,1.32,1.3,1.32,0.6185,0.8041,1.3
1539216000,1.53,1.32,1.53,1110.04,1498.55,1.35
1539302400,1.3,1.28,1.29,24.98,32.22,1.29
1539388800,1.27,1.25,1.25,2.43,3.06,1.26
1539475200,1.32,1.31,1.31,1.45,1.91,1.32
1539561600,1.31,1.22,1.22,41.85,52.31,1.25
1539648000,1.27,1.27,1.27,52.3,66.42,1.27
1539734400,1.29,1.28,1.28,5.03,6.44,1.28
1539820800,1.3,1.27,1.3,52.44,66.6,1.27
1539907200,1.28,1.26,1.26,12.5,16,1.28
1539993600,1.27,1.26,1.26,105.27,132.64,1.26
1540080000,1.28,1.27,1.27,4.21,5.39,1.28
