time,high,low,open,volumefrom,volumeto,close
1524441600,1.12,1.06,1.07,68474.22,76006.38,1.11
1524528000,1.18,1.07,1.07,131642.4,154021.61,1.17
1524614400,1.31,1.11,1.31,248405.07,288149.88,1.16
1524700800,1.18,1.06,1.09,108651.3,127122.02,1.17
1524787200,1.23,1.14,1.18,92356.21,106209.64,1.15
1524873600,1.18,1.09,1.1,65654.39,76159.09,1.16
1524960000,1.16,1.11,1.13,48698.26,56003,1.15
1525046400,1.22,1.17,1.21,50610.92,59720.89,1.18
1525132800,1.18,1.1,1.17,84756.48,100012.65,1.18
1525219200,1.17,1.12,1.13,50718.78,59340.97,1.17
1525305600,1.18,1.03,1.03,144683.65,167833.03,1.16
1525392000,1.14,1.07,1.1,99355.06,110284.12,1.11
1525478400,1.18,1.11,1.11,70615.98,81914.54,1.16
1525564800,1.22,1.1,1.19,82615.64,95834.14,1.16
1525651200,1.23,1.09,1.22,150055.3,177065.25,1.18
1525737600,1.2,1.12,1.16,66530.21,77175.04,1.16
1525824000,1.17,1.09,1.16,76707.4,88980.58,1.16
1525910400,1.22,1.15,1.19,54241.65,62377.9,1.15
1525996800,1.26,1.14,1.24,126541.51,146788.15,1.16
1526083200,1.13,1.04,1.1,80830.12,89721.43,1.11
1526169600,1.16,1.05,1.07,70971.5,81617.22,1.15
1526256000,1.18,1.09,1.16,123434.86,143184.44,1.16
1526342400,1.15,1.09,1.13,57688.29,64034,1.11
1526428800,1.2,1.14,1.18,54868.53,65293.55,1.19
1526515200,1.25,1.16,1.23,55699.68,65168.63,1.17
1526601600,1.17,1.11,1.13,45997.7,53817.31,1.17
1526688000,1.2,1.14,1.16,34006.2,39787.25,1.17
1526774400,1.19,1.13,1.15,35504.35,41895.13,1.18
1526860800,1.18,1.12,1.16,42856.54,48427.89,1.13
1526947200,1.21,1.11,1.21,60060.06,66666.67,1.11
1527033600,1.22,1.07,1.2,147662.82,160952.47,1.09
1527120000,1.15,1.03,1.09,127151.04,143680.68,1.13
1527206400,1.23,1.14,1.2,64598.64,75580.41,1.17
1527292800,1.17,1.12,1.13,32761.14,37020.09,1.13
1527379200,1.2,1.12,1.18,39353.9,45256.99,1.15
1527465600,1.29,1.15,1.28,84968.21,98563.12,1.16
1527552000,1.12,0.9933,0.9933,87905.24,97574.82,1.11
1527638400,1.22,1.12,1.18,66529.74,76509.2,1.15
1527724800,1.18,1.12,1.13,86170.55,100819.54,1.17
