time,high,low,open,volumefrom,volumeto,close
1545609600,1.92,1.72,1.72,1593.73,2916.53,1.83
1545696000,1.96,1.75,1.96,4097.31,7580.02,1.85
1545782400,1.89,1.83,1.83,526.84,974.65,1.85
1545868800,2.09,1.82,2.09,384.14,699.13,1.82
1545955200,1.78,1.53,1.53,2652.01,4720.58,1.78
1546041600,1.95,1.8,1.8,175.48,326.39,1.86
1546128000,1.82,1.78,1.82,1988.4,3618.89,1.82
1546214400,1.93,1.85,1.93,436.72,807.93,1.85
1546300800,1.73,1.73,1.73,0,0,1.73
1546387200,1.9,1.56,1.56,2215.69,4209.81,1.9
1546473600,1.99,1.99,1.99,0,0,1.99
1546560000,1.93,1.82,1.93,11764.16,21528.41,1.83
1546646400,1.82,1.82,1.82,0,0,1.82
1546732800,1.79,1.79,1.79,700.5,1253.9,1.79
1546819200,1.9,1.88,1.88,735.44,1397.34,1.9
1546905600,1.92,1.92,1.92,0,0,1.92
1546992000,1.93,1.93,1.93,0,0,1.93
1547078400,2.26,1.96,2.26,191,374.36,1.96
1547164800,1.99,1.84,1.99,2938.41,5406.67,1.84
1547251200,1.86,1.84,1.84,1.07,1.99,1.86
1547337600,2.02,1.87,2.02,40.06,74.91,1.87
1547424000,1.78,1.68,1.68,27.54,49.02,1.78
1547510400,1.98,1.82,1.91,2334.89,4249.5,1.82
1547596800,1.86,1.81,1.81,11.1,20.65,1.86
1547683200,1.9,1.86,1.86,2597.45,4883.21,1.88
1547769600,1.94,1.9,1.92,5455.45,10365.36,1.9
1547856000,1.9,1.83,1.83,179.02,340.14,1.9
1547942400,1.99,1.91,1.99,9.54,18.22,1.91
1548028800,1.95,1.88,1.95,1094.36,2112.11,1.93
1548115200,1.95,1.81,1.91,1851.15,3572.72,1.93
1548201600,1.96,1.92,1.96,264.42,507.69,1.92
1548288000,1.93,1.92,1.93,4181.47,8070.24,1.93
1548374400,1.95,1.95,1.95,0,0,1.95
1548460800,1.94,1.91,1.94,56.38,109.38,1.94
1548547200,2,1.86,2,1.32,2.46,1.86
1548633600,1.97,1.84,1.97,68.22,129.62,1.9
1548720000,1.92,1.91,1.91,158.55,304.42,1.92
1548806400,1.89,1.83,1.86,3494.49,6604.59,1.89
1548892800,1.97,1.93,1.93,713,1404.61,1.97
1548979200,1.94,1.89,1.94,321.3,607.26,1.89
1549065600,1.83,1.78,1.83,5112,9354.96,1.83
1549152000,1.9,1.9,1.9,0,0,1.9
1549238400,1.9,1.89,1.9,497,939.33,1.89
1549324800,1.88,1.87,1.88,8747.77,16445.81,1.88
1549411200,1.92,1.83,1.92,21,38.43,1.83
1549497600,1.92,1.84,1.84,970.4,1863.17,1.92
1549584000,1.92,1.67,1.67,2615.48,4917.1,1.88
1549670400,1.88,1.85,1.87,129.28,241.75,1.87
1549756800,1.79,1.75,1.79,1056,1858.56,1.76
1549843200,1.82,1.82,1.82,0,0,1.82
1549929600,1.92,1.81,1.81,1715.3,3293.38,1.92
1550016000,1.94,1.92,1.92,399.66,767.35,1.92
1550102400,1.93,1.9,1.93,1100,2090,1.9
1550188800,1.89,1.84,1.89,739,1359.76,1.84
1550275200,1.87,1.81,1.81,814.04,1522.25,1.87
1550361600,1.84,1.72,1.72,4037.05,7428.17,1.84
1550448000,1.87,1.7,1.7,1586.8,2935.58,1.85
1550534400,1.94,1.89,1.89,3012.14,5813.43,1.93
1550620800,1.9,1.79,1.86,23029.43,43755.92,1.9
1550707200,1.94,1.86,1.94,18.29,34.02,1.86
1550793600,1.89,1.83,1.83,844.3,1578.84,1.87
1550880000,1.9,1.74,1.74,1815.42,3449.3,1.9
1550966400,2.35,1.95,2.26,3298.95,6564.91,1.99
1551052800,1.94,1.88,1.91,6120.97,11507.42,1.88
1551139200,1.96,1.92,1.93,19857.65,38920.99,1.96
1551225600,1.98,1.83,1.98,3328.08,6090.39,1.83
1551312000,1.98,1.82,1.82,6094.94,11824.18,1.94
1551398400,1.97,1.93,1.93,803.08,1582.07,1.97
1551484800,2,1.94,2,430,834.2,1.94
1551571200,1.99,1.99,1.99,0,0,1.99
1551657600,2.07,1.94,2.07,69,133.86,1.94
1551744000,1.89,1.73,1.77,3305.11,6246.66,1.89
1551830400,1.95,1.88,1.88,1382.82,2696.5,1.95
1551916800,1.96,1.93,1.96,164,316.52,1.93
1552003200,1.96,1.95,1.95,394.74,773.69,1.96
1552089600,1.92,1.91,1.91,51.5,98.88,1.92
