time,high,low,open,volumefrom,volumeto,close
1524441600,1.37,1.31,1.31,373097.03,507411.96,1.36
1524528000,1.44,1.3,1.3,780339.81,1108082.53,1.42
1524614400,1.61,1.35,1.6,1413475.83,1993000.92,1.41
1524700800,1.43,1.29,1.33,616943.15,876059.27,1.42
1524787200,1.49,1.39,1.43,486769.09,676609.04,1.39
1524873600,1.44,1.33,1.33,351860.75,499642.26,1.42
1524960000,1.41,1.34,1.38,317205.24,440915.28,1.39
1525046400,1.48,1.42,1.47,364715.76,521543.54,1.43
1525132800,1.42,1.33,1.41,544527.28,767783.46,1.41
1525219200,1.41,1.35,1.37,376872.81,527621.93,1.4
1525305600,1.42,1.23,1.24,798057.17,1117280.04,1.4
1525392000,1.36,1.29,1.32,546215.76,726466.96,1.33
1525478400,1.41,1.33,1.34,389912.01,541977.69,1.39
1525564800,1.47,1.32,1.43,474447.3,659481.75,1.39
1525651200,1.48,1.29,1.47,1131598.73,1584238.22,1.4
1525737600,1.43,1.33,1.39,510303.7,704219.11,1.38
1525824000,1.4,1.3,1.37,464189.13,640581,1.38
1525910400,1.45,1.36,1.42,383612.95,521713.61,1.36
1525996800,1.51,1.36,1.48,748412.09,1040292.81,1.39
1526083200,1.34,1.24,1.32,487345.93,648170.09,1.33
1526169600,1.39,1.26,1.28,385804.48,528552.14,1.37
1526256000,1.41,1.31,1.39,632807.6,879602.56,1.39
1526342400,1.37,1.29,1.35,398394.01,521896.15,1.31
1526428800,1.41,1.34,1.4,362472.35,507461.29,1.4
1526515200,1.48,1.36,1.46,352700.81,486727.12,1.38
1526601600,1.38,1.31,1.33,352343.1,486233.48,1.38
1526688000,1.41,1.34,1.37,231151.7,316677.83,1.37
1526774400,1.4,1.33,1.35,232101.64,322621.28,1.39
1526860800,1.38,1.32,1.37,205295.71,273043.29,1.33
1526947200,1.43,1.31,1.42,427356.07,559836.45,1.31
1527033600,1.43,1.25,1.42,910256.61,1156025.89,1.27
1527120000,1.35,1.2,1.27,734681.33,977126.17,1.33
1527206400,1.44,1.33,1.41,474341.89,645104.97,1.36
1527292800,1.37,1.3,1.32,247238.21,326354.44,1.32
1527379200,1.39,1.31,1.38,390537.58,523320.36,1.34
1527465600,1.51,1.32,1.5,729475.2,984791.52,1.35
1527552000,1.29,1.15,1.16,640564.29,819922.29,1.28
1527638400,1.41,1.3,1.36,454107.08,608503.49,1.34
1527724800,1.39,1.31,1.32,412555.59,561075.6,1.36
1527811200,1.38,1.32,1.35,351962.04,475148.75,1.35
1527897600,1.35,1.29,1.3,291012.56,387046.7,1.33
1527984000,1.35,1.27,1.27,256805.13,341550.82,1.33
1528070400,1.43,1.33,1.42,336233.12,453914.71,1.35
1528156800,1.36,1.28,1.31,325957.03,440041.99,1.35
1528243200,1.36,1.32,1.35,263380.18,355563.24,1.35
1528329600,1.37,1.33,1.35,281044.33,376599.4,1.34
1528416000,1.34,1.3,1.33,196982.72,260017.19,1.32
1528502400,1.35,1.31,1.33,141613.59,186929.94,1.32
1528588800,1.44,1.22,1.44,636718.45,808632.43,1.27
1528675200,1.29,1.23,1.26,505308.31,646794.64,1.28
1528761600,1.43,1.28,1.41,546980.39,716544.31,1.31
1528848000,1.4,1.26,1.38,752164.24,1000378.44,1.33
1528934400,1.38,1.2,1.25,885354.26,1204081.79,1.36
1529020800,1.4,1.3,1.4,510688.96,669002.54,1.31
1529107200,1.36,1.31,1.32,241642.76,323801.3,1.34
1529193600,1.39,1.35,1.36,211122.8,287127.01,1.36
1529280000,1.36,1.26,1.29,340090.4,455721.14,1.34
1529366400,1.38,1.3,1.3,371838.21,505699.97,1.36
1529452800,1.36,1.3,1.35,334563.47,448315.05,1.34
1529539200,1.35,1.3,1.33,253943.67,332666.21,1.31
1529625600,1.47,1.26,1.47,756613.52,976031.44,1.29
1529712000,1.35,1.28,1.29,293710.2,390634.57,1.33
1529798400,1.33,1.17,1.32,707602.77,898655.52,1.27
1529884800,1.33,1.25,1.27,462450.74,591936.95,1.28
1529971200,1.28,1.2,1.28,457008.59,548410.31,1.2
1530057600,1.26,1.18,1.21,421578.16,522756.92,1.24
1530144000,1.37,1.29,1.37,346521.2,450477.56,1.3
1530230400,1.34,1.23,1.28,544657.78,718948.27,1.32
1530316800,1.35,1.27,1.27,374654.69,498290.74,1.33
1530403200,1.34,1.31,1.34,222627.82,296095,1.33
1530489600,1.31,1.21,1.23,420363.6,546472.68,1.3
1530576000,1.37,1.29,1.34,386456.87,502393.93,1.3
1530662400,1.41,1.32,1.35,349599.57,478951.41,1.37
1530748800,1.31,1.26,1.28,388966.1,497876.61,1.28
1530835200,1.37,1.3,1.35,299087.79,406759.39,1.36
1530921600,1.36,1.29,1.31,253843.6,342688.86,1.35
1531008000,1.37,1.33,1.34,272800.73,365552.98,1.34
1531094400,1.39,1.34,1.39,286607.52,386920.15,1.35
1531180800,1.44,1.3,1.44,561793.09,741566.88,1.32
1531267200,1.34,1.27,1.3,320795.44,426657.94,1.33
1531353600,1.4,1.31,1.4,339384.73,458169.39,1.35
1531440000,1.37,1.32,1.34,284614.63,381383.6,1.34
1531526400,1.39,1.35,1.36,193814.51,265525.88,1.37
1531612800,1.34,1.27,1.28,233930.52,311127.59,1.33
1531699200,1.36,1.26,1.28,433653.87,589769.26,1.36
1531785600,1.39,1.27,1.3,508132.89,691060.73,1.36
1531872000,1.41,1.28,1.36,496130.59,649931.07,1.31
1531958400,1.34,1.28,1.32,361291.7,469679.21,1.3
1532044800,1.42,1.33,1.42,431934.21,587430.53,1.36
1532131200,1.34,1.26,1.28,271888.87,358893.31,1.32
1532217600,1.37,1.32,1.33,220130.9,290572.79,1.32
1532304000,1.38,1.31,1.34,380159.95,501811.13,1.32
1532390400,1.34,1.24,1.24,427365.9,564122.99,1.32
1532476800,1.41,1.35,1.39,297289.31,407286.35,1.37
1532563200,1.39,1.32,1.35,272835.1,362870.68,1.33
1532649600,1.31,1.26,1.28,292845.43,380699.06,1.3
1532736000,1.32,1.29,1.31,162257.88,212557.82,1.31
1532822400,1.3,1.27,1.29,165898.14,214008.6,1.29
1532908800,1.36,1.29,1.35,319060.09,421159.32,1.32
1532995200,1.38,1.29,1.38,371178.05,482531.47,1.3
1533081600,1.4,1.31,1.39,430546.42,581237.67,1.35
1533168000,1.36,1.31,1.35,283183.23,373801.86,1.32
1533254400,1.32,1.25,1.29,388810.69,509342,1.31
1533340800,1.41,1.35,1.4,267593.2,366602.68,1.37
1533427200,1.3,1.26,1.28,241712.49,311809.11,1.29
1533513600,1.34,1.3,1.32,212984.83,279010.13,1.31
1533600000,1.4,1.26,1.38,444215.14,573037.53,1.29
