time,high,low,open,volumefrom,volumeto,close
1545609600,1.09,0.8976,0.8981,6581,6342.77,0.9638
1545696000,1.02,0.9034,1.02,3868.41,3663.77,0.9471
1545782400,0.9961,0.9035,0.9376,2847.94,2668.52,0.937
1545868800,1.1,0.9425,1.08,3760.89,3596.92,0.9564
1545955200,0.991,0.8127,0.8213,6241.09,6087.56,0.9754
1546041600,1.01,0.9128,0.9468,5739.4,5372.65,0.9361
1546128000,0.9747,0.9006,0.9359,2817.96,2718.49,0.9647
1546214400,1.01,0.9433,1.01,2831.2,2708.33,0.9566
1546300800,1.02,0.9465,0.9566,2068.72,2110.09,1.02
1546387200,0.9579,0.8354,0.8384,4822.57,4528.39,0.939
1546473600,0.9459,0.8739,0.939,2411.03,2136.65,0.8862
1546560000,0.9864,0.9235,0.9335,2175.95,2094.13,0.9624
1546646400,1,0.9571,0.9624,3110.23,2989.24,0.9611
1546732800,1.02,0.937,0.9641,2915.16,2896.21,0.9935
1546819200,0.9835,0.9206,0.979,2462.07,2284.55,0.9279
1546905600,0.9386,0.9032,0.9279,1773.28,1628.23,0.9182
1546992000,0.9437,0.9129,0.9182,1716.03,1575.66,0.9182
1547078400,1.07,0.8736,1.06,8127.3,7305.63,0.8989
1547164800,0.9872,0.937,0.973,2720.29,2606.58,0.9582
1547251200,0.9548,0.9264,0.9482,836.32,783.8,0.9372
1547337600,1.02,0.9253,1.01,1379.37,1302.26,0.9441
1547424000,1,0.8871,0.8894,2113.14,2086.73,0.9875
1547510400,1.05,0.9487,1.04,2223.08,2143.94,0.9644
1547596800,0.9925,0.9335,0.938,1415.84,1364.02,0.9634
1547683200,0.956,0.9175,0.9528,1604.03,1518.7,0.9468
1547769600,0.9661,0.9324,0.9597,1204.23,1135.83,0.9432
1547856000,0.9617,0.9101,0.9104,1258.14,1178.5,0.9367
1547942400,0.9909,0.9256,0.9774,1283.7,1199.1,0.9341
1548028800,0.9445,0.9137,0.9425,1451.01,1345.96,0.9276
1548115200,0.9474,0.8932,0.9179,1946.01,1829.64,0.9402
1548201600,0.9682,0.9335,0.9629,1819.75,1720.94,0.9457
1548288000,0.9625,0.9363,0.9487,974.09,927.53,0.9522
1548374400,0.9708,0.9297,0.9522,1275.9,1224.74,0.9599
1548460800,0.9717,0.9345,0.9607,725.9,682.93,0.9408
1548547200,1.04,0.974,1.01,1419.58,1391.61,0.9803
1548633600,1.08,0.9237,1.02,3542.6,3414,0.9637
1548720000,1.05,0.9267,0.9601,2196.98,2075.71,0.9448
1548806400,0.9626,0.9154,0.9311,3704.56,3499.33,0.9446
1548892800,0.9529,0.8886,0.9267,2523.95,2286.7,0.906
1548979200,0.9818,0.9126,0.9313,1149.91,1114.38,0.9691
1549065600,0.9894,0.932,0.9651,1248.63,1210.42,0.9694
1549152000,0.9962,0.923,0.9694,889.35,854.13,0.9604
1549238400,0.9839,0.9412,0.9683,1212.05,1151.45,0.95
1549324800,0.9545,0.9368,0.9493,1164.35,1098.91,0.9438
1549411200,1.04,0.944,0.9898,3473.43,3414.38,0.983
1549497600,0.9675,0.9389,0.9426,1674.59,1586.51,0.9474
1549584000,0.9802,0.8332,0.8412,4385.81,4169.59,0.9507
1549670400,0.9756,0.9253,0.9492,2416.93,2304.06,0.9533
1549756800,1.02,0.9411,0.9723,1908.43,1946.6,1.02
1549843200,1.02,0.9772,1.02,1644.39,1636.33,0.9951
1549929600,0.9456,0.9182,0.9375,1640.82,1545.49,0.9419
1550016000,0.9593,0.9265,0.9395,1347.73,1264.04,0.9379
1550102400,0.9668,0.941,0.9527,680.12,642.17,0.9442
1550188800,0.9884,0.9635,0.9697,786.55,760.52,0.9669
1550275200,0.9574,0.9334,0.9352,442.9,420.18,0.9487
1550361600,0.9714,0.8767,0.8827,1846.21,1776.61,0.9623
1550448000,0.9846,0.8695,0.886,4159.61,4006.95,0.9633
1550534400,0.9743,0.9207,0.9453,2352.28,2187.86,0.9301
1550620800,0.9483,0.8941,0.9126,1922.74,1809.3,0.941
1550707200,1,0.9584,0.9843,1673.83,1621.27,0.9686
1550793600,0.9694,0.9386,0.9458,1133.97,1094.05,0.9648
1550880000,0.961,0.8711,0.887,2755.52,2617.47,0.9499
1550966400,1.13,0.9005,1.08,6143.74,5546.57,0.9028
1551052800,0.9882,0.9206,0.921,3681.26,3541.37,0.962
1551139200,0.9563,0.9211,0.9497,2569.33,2410.03,0.938
1551225600,1.04,0.958,1.02,4077.45,4118.22,1.01
1551312000,0.9773,0.9382,0.9455,2892.21,2770.16,0.9578
1551398400,0.9557,0.9284,0.9366,2064.06,1934.44,0.9372
1551484800,0.974,0.9313,0.9655,1518.38,1435.93,0.9457
1551571200,0.9623,0.922,0.9457,1447.58,1349.29,0.9321
1551657600,0.9912,0.8887,0.9909,2328.52,2224.9,0.9555
1551744000,0.976,0.869,0.8954,1333.56,1291.15,0.9682
1551830400,0.968,0.9222,0.9361,1564.58,1487.29,0.9506
1551916800,0.982,0.9474,0.9683,1078.62,1037.42,0.9618
1552003200,0.9817,0.9241,0.956,1110.51,1035.22,0.9322
1552089600,0.9706,0.9101,0.9252,2025.48,1940.41,0.958
1552176000,0.9706,0.9239,0.958,751.55,705.03,0.9381
1552262400,1.01,0.8427,0.9879,1211.37,1185.81,0.9789
1552348800,0.9721,0.9283,0.9721,815.84,784.19,0.9612
1552435200,0.9792,0.9516,0.9691,794.19,761.95,0.9594
1552521600,0.9737,0.9447,0.9518,1066.03,1019.44,0.9563
