time,high,low,open,volumefrom,volumeto,close
1545609600,1.15,0.9564,0.9564,4960.46,4935.66,0.995
1545696000,1.08,0.9009,1.06,2622.47,2575.79,0.9822
1545782400,1.07,0.9046,0.9723,2240.62,2285.43,1.02
1545868800,1.18,0.9877,1.17,1305.44,1318.49,1.01
1545955200,1.05,0.811,0.8658,2574.48,2556.46,0.993
1546041600,1.05,0.9366,0.9639,1791.83,1735.75,0.9687
1546128000,0.9987,0.9278,0.9685,715.72,706.06,0.9865
1546214400,1.03,0.9345,1.03,1226.61,1169.82,0.9537
1546300800,1.04,0.9202,0.9537,1434.39,1448.73,1.01
1546387200,0.9416,0.7928,0.8324,2078.71,1912.41,0.92
1546473600,0.9422,0.843,0.92,1115.53,977.99,0.8767
1546560000,0.9869,0.8905,0.9234,1317.43,1251.3,0.9498
1546646400,1.02,0.9335,0.9498,975.39,948.66,0.9726
1546732800,1.01,0.9002,0.9757,1047.56,1047.56,1
1546819200,0.9925,0.8856,0.9857,1659.23,1542.92,0.9299
1546905600,0.9626,0.8667,0.9299,1113.26,1026.31,0.9219
1546992000,0.9551,0.8655,0.9219,1612.15,1516.87,0.9409
1547078400,1.09,0.8405,1.08,2597.81,2268.15,0.8731
1547164800,1.01,0.8884,0.9451,2024.72,1838.45,0.908
1547251200,0.9987,0.8938,0.8985,800.6,786.03,0.9818
1547337600,1.07,0.8691,1.06,3690.98,3261.72,0.8837
1547424000,1.04,0.8257,0.8324,2342.55,2324.51,0.9923
1547510400,1.12,0.9596,1.04,3356.83,3491.1,1.04
1547596800,1.12,0.9588,1.01,3136.06,3198.78,1.02
1547683200,1.05,0.8755,1.01,1622.75,1613.82,0.9945
1547769600,1.05,0.8877,1.01,907.02,925.16,1.02
1547856000,1.04,0.8672,0.9835,1312.91,1299.39,0.9897
1547942400,1.07,0.8859,1.03,1160.45,1157.08,0.9971
1548028800,1.04,0.869,1.01,742.17,735.34,0.9908
1548115200,1.06,0.8522,0.9804,878.71,887.5,1.01
1548201600,1.16,0.9067,1.03,1216.26,1264.91,1.04
1548288000,1.08,0.891,1.04,830.07,879.87,1.06
1548374400,1.06,0.8915,1.06,840.52,865.74,1.03
1548460800,1.06,0.8905,1.04,696.41,703.37,1.01
1548547200,1.12,0.9339,1.08,713.02,727.28,1.02
1548633600,1.13,0.8679,1.06,1707.67,1538.95,0.9012
1548720000,0.8987,0.8615,0.8979,1171.08,1039.45,0.8876
1548806400,0.9114,0.8604,0.8747,2280.35,2048.89,0.8985
1548892800,0.8941,0.853,0.8815,798.29,688.6,0.8626
1548979200,0.8984,0.809,0.8867,2699.55,2391.8,0.886
1549065600,0.8892,0.8541,0.8822,268.34,238.61,0.8892
1549152000,0.8895,0.8321,0.8892,418.28,348.05,0.8321
1549238400,0.8935,0.8238,0.8389,645.89,570.39,0.8831
1549324800,0.8939,0.8475,0.8824,326.33,290.92,0.8915
1549411200,0.9349,0.8832,0.9349,724.76,649.67,0.8964
1549497600,0.8817,0.8596,0.8596,315.73,278.32,0.8815
1549584000,0.8987,0.7689,0.7826,1222.74,1075.16,0.8793
1549670400,0.887,0.8635,0.878,243.73,215.97,0.8861
1549756800,0.9283,0.8802,0.9038,889.66,818.75,0.9203
1549843200,0.9262,0.8803,0.9203,380.04,351.19,0.9241
1549929600,0.8914,0.8465,0.8706,469.31,415.43,0.8852
1550016000,0.8925,0.8635,0.8829,239.45,210.38,0.8786
1550102400,0.9066,0.8811,0.8925,180.57,162.26,0.8986
1550188800,0.928,0.909,0.9229,206.33,190.46,0.9231
1550275200,0.9006,0.8728,0.8929,352.33,315.9,0.8966
1550361600,0.9314,0.8275,0.8341,843.07,763.99,0.9062
1550448000,0.9273,0.8312,0.8344,529.13,475.32,0.8983
1550534400,0.9124,0.8805,0.8815,527.4,466.7,0.8849
1550620800,0.8932,0.8457,0.8682,260.24,232.45,0.8932
1550707200,0.9391,0.897,0.9343,446.07,409.89,0.9189
1550793600,0.9179,0.8851,0.8972,455.53,417.63,0.9168
1550880000,0.8965,0.8245,0.8428,781.53,693.06,0.8868
1550966400,1.07,0.8486,1.01,1691.96,1436.14,0.8488
1551052800,0.9338,0.866,0.866,942.28,861.06,0.9138
1551139200,0.9089,0.8731,0.9021,312.66,279.8,0.8949
1551225600,0.9819,0.8931,0.9698,595.93,553.92,0.9295
1551312000,0.9162,0.8725,0.8725,301.47,270.39,0.8969
1551398400,0.9019,0.8658,0.8771,237.33,211.25,0.8901
1551484800,0.9195,0.885,0.917,320.44,287.85,0.8983
1551571200,0.9083,0.8679,0.8983,137.77,119.58,0.868
1551657600,0.9378,0.8891,0.9227,328.71,295.94,0.9003
1551744000,0.9169,0.8162,0.8437,675.65,619.5,0.9169
1551830400,0.9085,0.867,0.8865,656.48,596.35,0.9084
1551916800,0.9279,0.8994,0.9254,225.51,205.51,0.9113
1552003200,0.9118,0.8667,0.9058,470.5,413.33,0.8785
1552089600,0.9067,0.8719,0.8719,155.61,138.79,0.8919
1552176000,0.8965,0.8686,0.8919,178.52,158.67,0.8888
1552262400,0.9396,0.899,0.936,189.6,174.2,0.9188
1552348800,0.9223,0.8754,0.9124,933.84,847.09,0.9071
1552435200,0.9651,0.901,0.9145,772.26,706.93,0.9154
1552521600,0.92,0.8854,0.9081,490.72,444.98,0.9068
1552608000,0.908,0.8712,0.8766,167.32,150.5,0.8995
1552694400,0.9361,0.8953,0.8953,462.13,426.68,0.9233
1552780800,0.9279,0.8996,0.925,205.37,186.39,0.9076
1552867200,0.9162,0.8852,0.8973,143.19,127.78,0.8924
1552953600,0.9208,0.8933,0.903,680.3,620.09,0.9115
1553040000,0.9175,0.9006,0.9159,299.1,273.71,0.9151
1553126400,0.9317,0.8975,0.9308,646.05,585.9,0.9069
1553212800,0.9247,0.899,0.9042,168.67,154.75,0.9175
1553299200,0.9318,0.922,0.9262,66.21,61.67,0.9314
1553385600,0.94,0.9244,0.9397,158.77,148.12,0.9329
1553472000,0.9523,0.9064,0.95,1265.88,1181.7,0.9335
1553558400,0.9456,0.9262,0.9371,626.72,585.42,0.9341
1553644800,0.9322,0.8898,0.8898,542.74,505.94,0.9322
1553731200,0.9359,0.9156,0.9333,292.34,269.36,0.9214
1553817600,0.9067,0.8707,0.88,1247.34,1130.96,0.9067
1553904000,0.9211,0.8876,0.9033,526.39,475.01,0.9024
1553990400,0.9158,0.8989,0.9137,477.19,432.57,0.9065
1554076800,0.908,0.8539,0.8979,1040.57,926.73,0.8906
1554163200,0.9087,0.6667,0.7783,2376.63,2159.64,0.9087
1554249600,1.03,0.8737,0.961,1939.95,1783.2,0.9192
1554336000,0.904,0.8215,0.8959,673.98,596.34,0.8848
1554422400,0.9299,0.8559,0.866,907.29,838.97,0.9247
1554508800,0.9107,0.8558,0.8824,550.39,483.52,0.8785
1554595200,0.8885,0.8387,0.8422,243.51,215.97,0.8869
1554681600,0.9109,0.8469,0.8576,1003.5,888.7,0.8856
1554768000,0.9043,0.8739,0.9008,449.42,396.84,0.883
1554854400,0.9538,0.8616,0.8932,397.96,360.27,0.9053
1554940800,0.9668,0.8643,0.9547,995.19,895.97,0.9003
1555027200,0.9035,0.8681,0.899,241.02,214.8,0.8912
1555113600,0.8922,0.8688,0.8857,90.59,80.16,0.8849
1555200000,0.9061,0.871,0.8849,288.71,257.9,0.8933
1555286400,0.9449,0.8731,0.9319,288.25,259.8,0.9013
1555372800,0.9011,0.8602,0.864,166.44,149.98,0.9011
1555459200,0.9062,0.8851,0.9011,192.37,171.46,0.8913
1555545600,0.9161,0.857,0.857,188.25,169.69,0.9014
1555632000,0.9126,0.8894,0.9014,121.42,109.96,0.9056
1555718400,0.9165,0.8935,0.9056,318,286.9,0.9022
1555804800,0.9309,0.8899,0.9261,191.58,174.18,0.9092
1555891200,0.9251,0.8955,0.9092,408.87,370.93,0.9072
1555977600,0.8902,0.8525,0.8585,895.02,781.98,0.8856
