time,high,low,open,volumefrom,volumeto,close
1545609600,0.751,0.63,0.63,16.21,12.17,0.751
1545696000,0.7975,0.6477,0.7975,12,7.77,0.6477
1545782400,0.6614,0.6411,0.6411,15.49,10.25,0.6614
1545868800,0.7599,0.6686,0.7599,3,2.01,0.6686
1545955200,0.6848,0.5742,0.5742,18.48,12.66,0.6848
1546041600,0.6648,0.6648,0.6648,0,0,0.6648
1546128000,0.6676,0.6646,0.6646,8.21,5.48,0.6676
1546214400,0.697,0.697,0.697,0,0,0.697
1546300800,0.697,0.697,0.697,0,0,0.697
1546387200,0.6432,0.5741,0.5741,19.21,12.36,0.6432
1546473600,0.6432,0.6121,0.6432,9.22,5.68,0.6161
1546560000,0.6678,0.649,0.649,14.89,9.69,0.6507
1546646400,0.6902,0.6507,0.6507,12.97,8.95,0.6902
1546732800,0.6924,0.6746,0.6924,14.49,9.77,0.6746
1546819200,0.6647,0.6547,0.6647,13.4,8.84,0.6596
1546905600,0.6596,0.6466,0.6596,30.9,19.98,0.6466
1546992000,0.6466,0.6443,0.6466,2.23,1.44,0.6443
1547078400,0.7404,0.6517,0.7404,13.54,8.82,0.6517
1547164800,0.7055,0.7055,0.7055,0,0,0.7055
1547251200,0.6981,0.6981,0.6981,0,0,0.6981
1547337600,0.7548,0.6662,0.7548,15,9.99,0.6662
1547424000,0.6985,0.6263,0.6276,54.76,38.25,0.6985
1547510400,0.7326,0.6817,0.7326,6.75,4.6,0.6817
1547596800,0.6968,0.663,0.663,8,5.57,0.6968
1547683200,0.6891,0.6891,0.6891,0,0,0.6891
1547769600,0.6985,0.6985,0.6985,0,0,0.6985
1547856000,0.6742,0.6742,0.6742,0,0,0.6742
1547942400,0.7035,0.6679,0.7035,0.5961,0.3981,0.6679
1548028800,0.6739,0.6739,0.6739,0,0,0.6739
1548115200,0.6669,0.6663,0.6669,0.1,0.06663,0.6663
1548201600,0.6824,0.6824,0.6824,0,0,0.6824
1548288000,0.6845,0.6669,0.6845,1.04,0.6989,0.672
1548374400,0.672,0.6716,0.672,0.23,0.1545,0.6716
1548460800,0.6721,0.6711,0.6721,0.65,0.4362,0.6711
1548547200,0.7216,0.7047,0.7216,10.7,7.54,0.7047
1548633600,0.7306,0.6782,0.7306,9.57,6.49,0.6782
1548720000,0.6757,0.6757,0.6757,0,0,0.6757
1548806400,0.689,0.6659,0.6659,1.25,0.8612,0.689
1548892800,0.6759,0.6585,0.6759,0.5999,0.395,0.6585
1548979200,0.677,0.6769,0.6769,7.12,4.82,0.677
1549065600,0.6741,0.6741,0.6741,0,0,0.6741
1549152000,0.6741,0.6741,0.6741,0,0,0.6741
1549238400,0.6796,0.6796,0.6796,0,0,0.6796
1549324800,0.6791,0.6791,0.6791,0,0,0.6791
1549411200,0.7121,0.6809,0.7121,30.58,21.37,0.6988
1549497600,0.6736,0.6701,0.6701,11,7.41,0.6736
1549584000,0.6835,0.598,0.598,0.1034,0.07067,0.6835
1549670400,0.6832,0.6824,0.6824,2.22,1.52,0.6832
1549756800,0.7301,0.6917,0.6969,0.11,0.08031,0.7301
1549843200,0.7301,0.6966,0.7301,3.63,2.55,0.7034
1549929600,0.6627,0.6534,0.6627,0.6566,0.4329,0.6593
1550016000,0.6811,0.6576,0.6576,20.74,14.06,0.6778
1550102400,0.6885,0.6885,0.6885,0,0,0.6885
1550188800,0.7071,0.7033,0.7071,5.84,4.11,0.7033
1550275200,0.6848,0.6803,0.6803,8.51,5.83,0.6848
1550361600,0.6648,0.6371,0.6371,16.31,10.84,0.6648
1550448000,0.6875,0.6121,0.6121,25.1,16.81,0.6697
1550534400,0.6928,0.6572,0.6572,10.5,7.16,0.6816
1550620800,0.674,0.6555,0.6688,15.2,10.24,0.674
1550707200,0.705,0.686,0.705,6.08,4.17,0.686
1550793600,0.6915,0.6699,0.6699,0.4294,0.2969,0.6915
1550880000,0.6357,0.6357,0.6357,0,0,0.6357
1550966400,0.8043,0.7235,0.7235,9.31,7.47,0.8029
1551052800,0.8191,0.6986,0.8191,1,0.6986,0.6986
1551139200,0.6897,0.6697,0.6897,8.94,6,0.6714
