time,high,low,open,volumefrom,volumeto,close
1545609600,0.6829,0.5585,0.5585,557000.9,333309.34,0.5984
1545696000,0.6393,0.5571,0.6355,319049.45,187601.08,0.588
1545782400,0.6184,0.5592,0.5821,202211.65,119729.52,0.5921
1545868800,0.6874,0.5824,0.6802,267060.93,158981.37,0.5953
1545955200,0.6167,0.5043,0.5113,314629.51,192742.04,0.6126
1546041600,0.6356,0.5717,0.5946,236438.49,137181.61,0.5802
1546128000,0.6083,0.5596,0.58,154548.92,92667.53,0.5996
1546214400,0.6283,0.582,0.626,130978.46,77395.17,0.5909
1546300800,0.6393,0.5869,0.5909,100428.08,63329.95,0.6306
1546387200,0.5871,0.5155,0.5194,289883.11,166595.82,0.5747
1546473600,0.5774,0.5368,0.5747,182807.98,100233.62,0.5483
1546560000,0.6107,0.5697,0.5775,225478.98,135805.99,0.6023
1546646400,0.6306,0.5996,0.6023,206719.7,124776.01,0.6036
1546732800,0.6293,0.5827,0.6055,188356.99,115293.31,0.6121
1546819200,0.6094,0.571,0.6032,149105.78,86526.08,0.5803
1546905600,0.5908,0.5651,0.5803,163117.94,93776.5,0.5749
1546992000,0.5935,0.5691,0.5749,127597.54,73011.31,0.5722
1547078400,0.6633,0.5381,0.6576,335857.86,187475.86,0.5582
1547164800,0.6145,0.5818,0.6042,155731.6,93906.15,0.603
1547251200,0.6035,0.585,0.5967,62580.14,36966.09,0.5907
1547337600,0.6441,0.5816,0.6387,131853.03,77991.07,0.5915
1547424000,0.634,0.5562,0.5572,227320.73,140757,0.6192
1547510400,0.6633,0.5961,0.6494,187242.67,114592.51,0.612
1547596800,0.6342,0.5899,0.5952,137917.99,83261.09,0.6037
1547683200,0.6063,0.5754,0.597,127322.26,76329.69,0.5995
1547769600,0.609,0.5879,0.6077,75285.67,44749.8,0.5944
1547856000,0.6095,0.573,0.5737,94696.96,56155.3,0.593
1547942400,0.6205,0.5757,0.6187,121766.9,71550.23,0.5876
1548028800,0.5982,0.5752,0.5928,93666.78,54888.73,0.586
1548115200,0.5991,0.5464,0.5798,144110.83,85126.27,0.5907
