time,high,low,open,volumefrom,volumeto,close
1545609600,0.6188,0.5109,0.511,45945.19,25113.64,0.5466
1545696000,0.5841,0.5108,0.5804,22006.78,11905.67,0.541
1545782400,0.5655,0.5131,0.5356,13460.22,7295.44,0.542
1545868800,0.628,0.5404,0.6227,22648.44,12429.46,0.5488
1545955200,0.5682,0.4611,0.4713,28370.19,15932.7,0.5616
1546041600,0.5837,0.5238,0.5452,16607.53,8941.49,0.5384
1546128000,0.5558,0.5168,0.5383,7194.79,3957.13,0.55
1546214400,0.5766,0.5325,0.5742,7081.83,3824.19,0.54
1546300800,0.5891,0.534,0.54,7008.56,4043.94,0.577
1546387200,0.5335,0.4674,0.4753,14331,7552.44,0.527
1546473600,0.5289,0.4895,0.527,8573.22,4298.61,0.5014
1546560000,0.5581,0.5221,0.5282,9892.25,5408.09,0.5467
1546646400,0.5674,0.5435,0.5467,15368.85,8451.33,0.5499
1546732800,0.5717,0.5363,0.5517,10684.27,5971.44,0.5589
1546819200,0.5547,0.5233,0.5508,7734.05,4061.92,0.5252
1546905600,0.5377,0.5097,0.5252,10530.71,5471.76,0.5196
1546992000,0.5421,0.5157,0.5196,8170.2,4224.81,0.5171
1547078400,0.6043,0.4941,0.5942,16307.29,8308.56,0.5095
1547164800,0.5603,0.5279,0.5515,6165.48,3355.87,0.5443
1547251200,0.5453,0.5323,0.5386,4171.37,2241.69,0.5374
1547337600,0.5859,0.5278,0.581,12530.21,6706.17,0.5352
1547424000,0.5703,0.5021,0.5042,16602.26,9312.21,0.5609
1547510400,0.5969,0.5348,0.5883,10054.35,5519.84,0.549
1547596800,0.5679,0.5287,0.534,8611.57,4636.47,0.5384
1547683200,0.5387,0.5129,0.5325,7845.7,4179.4,0.5327
1547769600,0.5406,0.5228,0.5399,4302.41,2267.8,0.5271
1547856000,0.5478,0.5082,0.5088,7696.58,4048.4,0.526
1547942400,0.5538,0.5132,0.5489,8721.36,4569.99,0.524
1548028800,0.5297,0.5109,0.5287,5698.05,2955.01,0.5186
1548115200,0.5284,0.4912,0.5131,7505.67,3891.69,0.5185
1548201600,0.5408,0.5138,0.531,4034.05,2106.58,0.5222
1548288000,0.5279,0.5132,0.5238,4809.17,2494.52,0.5187
1548374400,0.5256,0.5076,0.5187,5257.35,2692.81,0.5122
1548460800,0.524,0.51,0.5126,4357.23,2249.64,0.5163
1548547200,0.5562,0.5312,0.5552,6648.53,3566.27,0.5364
1548633600,0.5585,0.5033,0.5561,11240.44,5906.85,0.5255
1548720000,0.5273,0.5075,0.5236,6487.43,3378.65,0.5208
1548806400,0.5386,0.5078,0.5132,11599.31,6152.27,0.5304
1548892800,0.5315,0.503,0.5203,6741.04,3430.52,0.5089
1548979200,0.535,0.511,0.5231,8652.55,4574.6,0.5287
1549065600,0.5479,0.5203,0.5265,7700.48,4196.76,0.545
1549152000,0.5491,0.5174,0.545,4856.01,2555.23,0.5262
1549238400,0.5372,0.5229,0.5305,4457.19,2359.19,0.5293
1549324800,0.5352,0.5228,0.5289,5833.7,3101.19,0.5316
1549411200,0.5585,0.5297,0.5575,9631.78,5270.51,0.5472
1549497600,0.5315,0.5157,0.5247,4178.58,2176.2,0.5208
1549584000,0.5506,0.4589,0.4624,12973.2,6895.26,0.5315
1549670400,0.5416,0.5169,0.5306,3893.82,2078.52,0.5338
1549756800,0.5724,0.5252,0.5445,4733.53,2694.8,0.5693
1549843200,0.5695,0.5391,0.5693,5394.29,2965.24,0.5497
1549929600,0.5313,0.5064,0.5179,5829.37,3027.19,0.5193
1550016000,0.5399,0.5153,0.518,5830.03,3029.28,0.5196
1550102400,0.5416,0.5247,0.5278,4805.47,2533.92,0.5273
1550188800,0.558,0.5376,0.5415,4898.53,2667.74,0.5446
1550275200,0.5374,0.5234,0.5268,4894.52,2611.72,0.5336
1550361600,0.5484,0.4907,0.4965,15176.35,8230.13,0.5423
1550448000,0.5496,0.4892,0.4993,19197.08,10372.18,0.5403
1550534400,0.5453,0.5159,0.5302,8678.92,4498.28,0.5183
