time,high,low,open,volumefrom,volumeto,close
1545609600,0.7858,0.6409,0.6411,2626361.2,1802996.96,0.6865
1545696000,0.734,0.6419,0.729,1736974.87,1177495.26,0.6779
1545782400,0.713,0.6439,0.6711,1143475.47,776877.23,0.6794
1545868800,0.7884,0.6749,0.7805,1330727.47,914209.77,0.687
1545955200,0.7134,0.5831,0.59,1544476.61,1090863.83,0.7063
1546041600,0.737,0.6594,0.6857,1299675.76,875591.56,0.6737
1546128000,0.7,0.6475,0.6736,871669.88,604415.89,0.6934
1546214400,0.7265,0.6701,0.7239,732038.53,500494.74,0.6837
1546300800,0.7388,0.6777,0.6837,720860.23,526732.57,0.7307
1546387200,0.6752,0.5974,0.6019,1092181.14,721494.86,0.6606
1546473600,0.6652,0.61,0.6606,802746.27,506131.52,0.6305
1546560000,0.7057,0.6547,0.6641,1053057.39,730189.99,0.6934
1546646400,0.7272,0.6875,0.6934,956257.36,663929.49,0.6943
1546732800,0.7271,0.6709,0.6965,939533.33,664344.02,0.7071
1546819200,0.7037,0.6597,0.6968,612425.52,409161.49,0.6681
1546905600,0.6815,0.6491,0.6681,725089.37,481314.32,0.6638
1546992000,0.6933,0.6592,0.6638,564186.3,374676.12,0.6641
1547078400,0.7711,0.6263,0.7631,1473376.34,951653.78,0.6459
1547164800,0.7107,0.6726,0.6992,673172.02,467719.92,0.6948
1547251200,0.6949,0.674,0.6876,339050.75,230690.13,0.6804
1547337600,0.7392,0.6708,0.7356,643110.16,438215.26,0.6814
1547424000,0.7312,0.6415,0.6419,884533.35,631999.08,0.7145
1547510400,0.761,0.6827,0.7494,875657.06,613135.07,0.7002
1547596800,0.7246,0.6765,0.681,727348.64,503107.05,0.6917
1547683200,0.6943,0.6574,0.6841,635344.75,436735.98,0.6874
1547769600,0.6986,0.6724,0.6968,392345.05,266441.52,0.6791
1547856000,0.6994,0.6554,0.6554,562252.11,381600.51,0.6787
1547942400,0.7116,0.6407,0.7081,637823.68,428362.38,0.6716
1548028800,0.6827,0.6552,0.6777,421391.55,281489.56,0.668
1548115200,0.6833,0.6345,0.661,668659.65,451077.8,0.6746
1548201600,0.6962,0.6727,0.6909,400801.53,273306.56,0.6819
1548288000,0.6899,0.6669,0.684,444538.31,304419.83,0.6848
1548374400,0.6887,0.6698,0.6848,433959.04,292661.98,0.6744
1548460800,0.6947,0.6737,0.675,242156.07,164036.52,0.6774
1548547200,0.7327,0.6986,0.7283,464662.38,326611.19,0.7029
1548633600,0.7347,0.6617,0.7287,923993.96,637925.43,0.6904
1548720000,0.6905,0.6658,0.6878,561454.68,380329.4,0.6774
1548806400,0.704,0.6608,0.6676,708652.52,492442.64,0.6949
1548892800,0.6985,0.6611,0.6817,466619.13,311841.56,0.6683
1548979200,0.6987,0.6693,0.687,526605.45,362251.89,0.6879
1549065600,0.7167,0.68,0.685,350444.78,248955.97,0.7104
1549152000,0.7166,0.6772,0.7104,409695.48,281092.07,0.6861
1549238400,0.7037,0.6868,0.6917,309276.56,213308.04,0.6897
1549324800,0.692,0.6826,0.6892,229918.76,158505.99,0.6894
1549411200,0.7255,0.6846,0.723,671012.78,474070.53,0.7065
1549497600,0.6873,0.6722,0.6775,303399.84,205158.97,0.6762
1549584000,0.7095,0.5958,0.6004,1166462.91,802293.19,0.6878
1549670400,0.6987,0.6752,0.6867,327547.94,224861.66,0.6865
1549756800,0.7409,0.6819,0.7003,570341.34,419828.26,0.7361
1549843200,0.7361,0.7019,0.7361,569435.28,403103.23,0.7079
1549929600,0.6866,0.6531,0.667,544235.91,368610.98,0.6773
1550016000,0.6986,0.6672,0.6756,532131.71,358550.35,0.6738
1550102400,0.6981,0.6719,0.6844,475442.47,321541.74,0.6763
1550188800,0.7169,0.6932,0.6945,404277.73,283479.54,0.7012
1550275200,0.6966,0.6783,0.6783,242035.17,165842.5,0.6852
1550361600,0.7048,0.6365,0.6375,1044734.42,725568.05,0.6945
1550448000,0.7132,0.6339,0.6394,1561260.09,1089447.29,0.6978
1550534400,0.7068,0.6728,0.6847,834046.41,562814.52,0.6748
1550620800,0.6894,0.6483,0.6621,748915.05,512407.68,0.6842
1550707200,0.7283,0.6889,0.7157,651513.21,457297.12,0.7019
1550793600,0.7026,0.6758,0.6854,695917.7,485750.55,0.698
1550880000,0.6953,0.6336,0.6416,911066.64,625538.36,0.6866
1550966400,0.8216,0.6524,0.7815,1614813.68,1055765.18,0.6538
1551052800,0.7126,0.6659,0.667,877476.48,609846.15,0.695
1551139200,0.6883,0.6636,0.6861,449242.29,304002.26,0.6767
1551225600,0.7575,0.683,0.7333,834760.7,606871.03,0.727
1551312000,0.7063,0.6727,0.6824,711161.96,486577.01,0.6842
1551398400,0.6826,0.6661,0.669,334667.11,223691.5,0.6684
1551484800,0.6918,0.6631,0.6885,394479.39,266944.2,0.6767
1551571200,0.6877,0.6517,0.6767,273963.38,181774.7,0.6635
1551657600,0.7082,0.6664,0.7054,608995.04,413933.93,0.6797
