time,high,low,open,volumefrom,volumeto,close
1524441600,1.38,1.26,1.27,220.76,289.2,1.31
1524528000,1.33,1.21,1.22,527.59,696.42,1.32
1524614400,1.45,1.3,1.43,679.36,889.96,1.31
1524700800,1.32,1.23,1.25,288.37,380.65,1.32
1524787200,1.43,1.32,1.37,271.18,357.96,1.32
1524873600,1.37,1.26,1.26,226.85,299.44,1.32
1524960000,1.36,1.29,1.31,288.93,381.39,1.32
1525046400,1.39,1.31,1.34,215.36,286.43,1.33
1525132800,1.39,1.3,1.36,334.4,448.1,1.34
1525219200,1.34,1.3,1.31,210.46,279.91,1.33
1525305600,1.32,1.25,1.26,337.13,445.01,1.32
1525392000,1.33,1.29,1.32,229.71,300.92,1.31
1525478400,1.37,1.29,1.29,188.02,246.31,1.31
1525564800,1.35,1.28,1.33,219.53,289.78,1.32
1525651200,1.35,1.3,1.35,207.37,273.73,1.32
1525737600,1.36,1.32,1.35,233.08,314.66,1.35
1525824000,1.34,1.3,1.32,282.02,377.91,1.34
1525910400,1.44,1.33,1.38,274.31,364.83,1.33
1525996800,1.43,1.32,1.43,433.4,572.09,1.32
1526083200,1.39,1.29,1.31,336.13,447.05,1.33
1526169600,1.38,1.27,1.29,195.23,259.66,1.33
1526256000,1.36,1.27,1.33,531.68,707.13,1.33
1526342400,1.39,1.33,1.36,248.77,333.35,1.34
1526428800,1.38,1.3,1.36,357.18,475.05,1.33
1526515200,1.43,1.33,1.38,198.45,263.94,1.33
1526601600,1.4,1.28,1.3,182.08,243.99,1.34
1526688000,1.41,1.32,1.34,103.66,137.87,1.33
1526774400,1.4,1.27,1.29,107.22,142.6,1.33
1526860800,1.36,1.31,1.35,226.68,299.22,1.32
1526947200,1.39,1.33,1.39,278.67,370.63,1.33
1527033600,1.42,1.32,1.41,503.93,670.23,1.33
1527120000,1.35,1.28,1.31,243.89,324.37,1.33
1527206400,1.36,1.31,1.35,201.62,270.17,1.34
1527292800,1.37,1.32,1.36,574.46,764.03,1.33
1527379200,1.34,1.3,1.32,123.02,162.39,1.32
1527465600,1.39,1.32,1.37,326.09,433.7,1.33
1527552000,1.34,1.25,1.26,572.27,761.12,1.33
1527638400,1.36,1.3,1.35,276.73,365.28,1.32
1527724800,1.41,1.3,1.3,160.73,212.16,1.32
1527811200,1.38,1.3,1.32,157.3,207.64,1.32
1527897600,1.33,1.29,1.3,145.68,192.3,1.32
1527984000,1.33,1.3,1.31,115.94,154.2,1.33
1528070400,1.37,1.3,1.36,160.26,209.94,1.31
1528156800,1.32,1.27,1.29,177.49,232.51,1.31
1528243200,1.31,1.28,1.3,221.91,288.48,1.3
1528329600,1.38,1.3,1.3,125.86,164.88,1.31
