time,high,low,open,volumefrom,volumeto,close
1524441600,1.28,1.2,1.21,1540.86,1956.89,1.27
1524528000,1.31,1.13,1.16,3416.63,4339.12,1.27
1524614400,1.47,1.19,1.45,6221.76,7901.64,1.27
1524700800,1.31,1.13,1.18,3464.73,4538.8,1.31
1524787200,1.38,1.3,1.34,1627.16,2115.31,1.3
1524873600,1.31,1.21,1.23,729.32,940.82,1.29
1524960000,1.32,1.26,1.28,1110.23,1443.3,1.3
1525046400,1.35,1.26,1.33,1132.75,1449.92,1.28
1525132800,1.33,1.21,1.28,4011.2,5254.67,1.31
1525219200,1.31,1.25,1.28,2787.16,3651.18,1.31
1525305600,1.28,1.14,1.15,3646.73,4631.35,1.27
1525392000,1.31,1.23,1.26,2524.64,3231.54,1.28
1525478400,1.29,1.21,1.23,1458.28,1837.43,1.26
1525564800,1.33,1.23,1.3,1267.37,1609.56,1.27
1525651200,1.35,1.18,1.34,2131.13,2706.54,1.27
1525737600,1.34,1.25,1.28,1094.07,1422.29,1.3
1525824000,1.3,1.22,1.3,2120.25,2671.52,1.26
1525910400,1.34,1.27,1.31,1461.77,1856.45,1.27
1525996800,1.38,1.25,1.36,3360.84,4301.88,1.28
1526083200,1.29,1.19,1.27,1114.47,1437.67,1.29
1526169600,1.29,1.18,1.21,873.87,1127.29,1.29
1526256000,1.3,1.2,1.29,1205.2,1518.55,1.26
1526342400,1.34,1.26,1.3,797.79,1021.17,1.28
1526428800,1.3,1.23,1.28,1395.12,1785.75,1.28
1526515200,1.38,1.28,1.35,653.23,855.73,1.31
1526601600,1.28,1.22,1.26,856.14,1095.86,1.28
1526688000,1.31,1.24,1.27,1440.27,1843.55,1.28
1526774400,1.28,1.23,1.24,867.96,1093.63,1.26
1526860800,1.32,1.25,1.29,677.62,867.35,1.28
1526947200,1.4,1.28,1.39,946.22,1211.16,1.28
1527033600,1.49,1.27,1.43,1920.77,2497,1.3
1527120000,1.33,1.2,1.25,1359.75,1781.27,1.31
1527206400,1.38,1.28,1.35,878.81,1142.45,1.3
1527292800,1.36,1.28,1.3,471.53,612.99,1.3
1527379200,1.36,1.28,1.34,715.24,944.12,1.32
1527465600,1.49,1.29,1.47,2001.26,2661.68,1.33
1527552000,1.32,1.16,1.2,1894.12,2462.36,1.3
1527638400,1.37,1.26,1.32,1681.54,2202.82,1.31
1527724800,1.33,1.24,1.26,591.01,768.31,1.3
1527811200,1.32,1.26,1.29,556.91,723.98,1.3
1527897600,1.31,1.22,1.27,1082.82,1407.67,1.3
1527984000,1.31,1.23,1.24,795.97,1026.8,1.29
1528070400,1.38,1.27,1.35,920.13,1205.37,1.31
1528156800,1.3,1.21,1.27,1006.32,1288.09,1.28
1528243200,1.3,1.24,1.29,599.3,773.1,1.29
1528329600,1.31,1.26,1.3,571.43,725.72,1.27
1528416000,1.31,1.27,1.28,305.74,391.35,1.28
1528502400,1.33,1.29,1.3,282.45,364.36,1.29
1528588800,1.47,1.28,1.46,1859.07,2472.56,1.33
1528675200,1.35,1.27,1.31,899.12,1195.83,1.33
1528761600,1.45,1.29,1.42,1351.67,1770.69,1.31
1528848000,1.4,1.26,1.36,2229.73,2943.24,1.32
1528934400,1.33,1.17,1.21,2148.98,2836.65,1.32
1529020800,1.42,1.31,1.41,1164.84,1525.94,1.31
1529107200,1.36,1.29,1.29,1506.29,2048.55,1.36
1529193600,1.37,1.31,1.36,504.34,685.9,1.36
1529280000,1.37,1.27,1.3,2142.1,2934.68,1.37
1529366400,1.37,1.25,1.31,1231.41,1650.09,1.34
1529452800,1.36,1.28,1.34,1140.36,1528.08,1.34
1529539200,1.4,1.33,1.36,3995.23,5473.47,1.37
1529625600,1.8,1.35,1.55,3765.08,5308.76,1.41
1529712000,1.41,1.29,1.37,1436.7,2011.38,1.4
1529798400,1.46,1.26,1.46,2225.89,3071.73,1.38
1529884800,1.42,1.32,1.37,813.82,1123.07,1.38
1529971200,1.47,1.37,1.47,723.66,998.65,1.38
1530057600,1.37,1.31,1.34,2310.05,3164.77,1.37
1530144000,1.45,1.34,1.44,838.59,1123.71,1.34
1530230400,1.37,1.24,1.3,1528.12,2062.96,1.35
1530316800,1.35,1.26,1.29,534.21,705.16,1.32
1530403200,1.36,1.27,1.33,231.09,307.35,1.33
1530489600,1.35,1.21,1.26,459.23,615.37,1.34
1530576000,1.41,1.31,1.38,766.71,1012.06,1.32
1530662400,1.37,1.24,1.3,498.36,667.8,1.34
1530748800,1.38,1.32,1.34,1943.65,2623.93,1.35
1530835200,1.35,1.13,1.34,375.75,495.99,1.32
1530921600,1.33,1.22,1.28,1465.63,1949.29,1.33
1531008000,1.37,1.26,1.33,483.67,652.95,1.35
1531094400,1.39,1.29,1.39,670.99,892.42,1.33
1531180800,1.48,1.35,1.45,963.24,1300.37,1.35
1531267200,1.36,1.25,1.31,1316.69,1777.53,1.35
1531353600,1.4,1.3,1.4,509.01,682.07,1.34
1531440000,1.38,1.23,1.33,301.32,412.81,1.37
1531526400,1.38,1.26,1.37,234.79,319.31,1.36
1531612800,1.37,1.24,1.31,520.39,697.32,1.34
1531699200,1.35,1.14,1.26,567.32,760.21,1.34
1531785600,1.38,1.17,1.28,2241.19,3025.61,1.35
1531872000,1.42,1.33,1.41,853.49,1160.75,1.36
1531958400,1.41,1.28,1.39,448.44,596.43,1.33
1532044800,1.42,1.27,1.39,863.49,1165.71,1.35
1532131200,1.41,1.29,1.31,1352.61,1853.08,1.37
1532217600,1.39,1.28,1.38,347.06,461.59,1.33
1532304000,1.4,1.28,1.36,432.07,587.62,1.36
1532390400,1.35,1.23,1.27,890.46,1184.31,1.33
1532476800,1.39,1.29,1.35,794.25,1080.18,1.36
1532563200,1.39,1.31,1.38,622.48,827.9,1.33
1532649600,1.36,1.25,1.31,525.13,703.67,1.34
1532736000,1.36,1.27,1.35,124.12,165.08,1.33
1532822400,1.34,1.3,1.33,285.18,376.44,1.32
1532908800,1.36,1.28,1.35,538.57,716.3,1.33
1532995200,1.45,1.3,1.41,1151.47,1554.48,1.35
1533081600,1.41,1.29,1.39,805.08,1062.71,1.32
1533168000,1.42,1.32,1.35,843.73,1122.16,1.33
1533254400,1.34,1.25,1.31,1163.65,1547.65,1.33
1533340800,1.37,1.31,1.37,642.83,854.96,1.33
1533427200,1.35,1.29,1.33,1247.16,1671.19,1.34
1533513600,1.37,1.31,1.36,733.65,983.09,1.34
1533600000,1.47,1.37,1.43,3508.38,4806.48,1.37
1533686400,1.47,1.34,1.46,3704.06,5074.56,1.37
1533772800,1.42,1.3,1.34,1834.3,2549.68,1.39
1533859200,1.55,1.4,1.52,1098.73,1549.21,1.41
1533945600,1.47,1.31,1.47,2391.58,3348.21,1.4
