time,high,low,open,volumefrom,volumeto,close
1524441600,1.04,0.9738,1.03,1.53,1.59,1.04
1524528000,1.02,0.9298,0.9661,3.94,4.02,1.02
1524614400,1.11,0.9904,1.11,8.7,8.96,1.03
1524700800,0.9899,0.937,0.9845,3.25,3.22,0.9898
1524787200,1.07,1.01,1.03,2.26,2.28,1.01
1524873600,1.05,0.9651,0.9651,0.1812,0.1866,1.03
1524960000,1.04,0.9912,1.02,1.19,1.24,1.04
1525046400,1.06,0.9958,1.06,0.9086,0.954,1.05
1525132800,1.07,0.9912,1.07,1.25,1.31,1.05
1525219200,1.04,0.9942,1.03,3.82,3.86,1.01
1525305600,1.03,0.944,0.9595,2.69,2.67,0.9928
1525392000,1.04,0.997,0.9976,0.9734,1,1.03
1525478400,1.04,1.01,1.01,1.29,1.3,1.01
1525564800,1.07,0.9941,1.04,0.7146,0.7146,1
1525651200,1.08,0.999,1.03,2.15,2.26,1.05
1525737600,1.08,0.9952,1.07,2.68,2.68,1
1525824000,1.05,0.9925,0.9929,0.5212,0.5264,1.01
1525910400,1.09,1.04,1.04,0.7041,0.7463,1.06
1525996800,1.13,1.02,1.13,2.63,2.76,1.05
1526083200,1.05,0.9812,1.04,0.4245,0.4372,1.03
1526169600,1.06,0.9769,1.01,1.34,1.41,1.05
1526256000,1.06,0.9769,1.06,1.2,1.24,1.03
1526342400,1.09,1.02,1.06,4.7,4.89,1.04
1526428800,1.06,0.9753,1.06,7.87,7.95,1.01
1526515200,1.08,1.02,1.04,1.3,1.37,1.05
1526601600,1.06,0.9815,1.03,4.22,4.47,1.06
1526688000,1.07,1.02,1.06,0.2493,0.2668,1.07
1526774400,1.06,0.9839,1.03,0.3078,0.314,1.02
1526860800,1.07,1.03,1.03,0.1288,0.1365,1.06
1526947200,1.11,1.01,1.11,1.32,1.33,1.01
1527033600,1.09,0.999,1.09,5.67,5.78,1.02
1527120000,1.02,0.9888,1.01,4.92,4.92,1
1527206400,1.02,0.994,1.02,0.3568,0.3604,1.01
1527292800,1.17,1.03,1.03,0.2297,0.255,1.11
1527379200,1.11,0.981,1.11,0.8254,0.8097,0.981
1527465600,1.08,0.999,1.01,1.53,1.53,1
1527552000,1.06,0.9546,0.9546,0.5525,0.5857,1.06
1527638400,1.07,0.9835,1.07,2.19,2.19,0.9986
1527724800,1.06,0.9841,1.01,0.316,0.335,1.06
1527811200,1.06,0.9851,1.05,3.02,2.98,0.9873
1527897600,1.05,0.9722,1.01,0.3458,0.3631,1.05
1527984000,1.06,0.9818,1.04,0.707,0.7423,1.05
1528070400,1.08,1.01,1.02,1.35,1.38,1.02
1528156800,1.04,0.9595,1.01,0.6985,0.6794,0.9726
1528243200,1.05,0.9682,0.9682,1.06,1.06,1
1528329600,1.05,0.9945,0.9996,0.2856,0.297,1.04
1528416000,1.06,1,1.04,0.513,0.513,1
1528502400,1.08,1.02,1.02,1.17,1.25,1.07
1528588800,1.18,0.9841,1.18,1.82,2.06,1.13
1528675200,1.11,0.9825,1.11,0.4489,0.4624,1.03
1528761600,1.11,0.9971,1.08,0.4073,0.4061,0.9971
1528848000,1.12,0.9911,1.04,1.96,1.95,0.9924
1528934400,1.07,0.9423,0.9423,1.85,1.98,1.07
1529020800,1.11,1.03,1.11,0.5902,0.6079,1.03
1529107200,1.61,1.08,1.61,0.2795,0.3047,1.09
1529193600,1.11,1.01,1.1,0.8916,0.9005,1.01
1529280000,1.05,0.9511,0.9713,2.63,2.76,1.05
1529366400,1.07,0.988,1.05,5.14,5.14,1
1529452800,1.01,0.9844,1,0.5936,0.5894,0.9929
1529539200,0.999,0.9903,0.999,0.2661,0.2635,0.9903
1529625600,1.1,1.01,1.1,2.47,2.49,1.01
1529712000,0.9906,0.9835,0.9904,0.3584,0.355,0.9906
1529798400,1.05,0.9367,0.9918,3.47,3.57,1.03
1529884800,1.09,0.9702,1.01,2.71,2.93,1.08
1529971200,1.11,1.01,1.11,2.25,2.48,1.1
1530057600,1.1,0.9828,1.09,2.14,2.35,1.1
1530144000,1.15,1.03,1.14,0.3475,0.3892,1.12
1530230400,1.06,0.9405,1.06,0.4074,0.3935,0.9659
1530316800,1.57,0.9556,0.9665,0.1427,0.167,1.17
1530403200,1.18,0.9405,1.18,0.289,0.2919,1.01
1530489600,1.01,0.9639,0.9639,0.739,0.734,0.9932
1530576000,1.01,1.01,1.01,0.8633,0.8719,1.01
1530662400,1.12,1,1,0.8323,0.8489,1.02
1530748800,1.03,0.9991,1.03,1.75,1.75,1
1530835200,0.9928,0.9879,0.9902,4.67,4.62,0.989
1530921600,1.09,0.8973,0.9661,0.01465,0.01597,1.09
1531008000,1.14,1.13,1.13,0.04217,0.04807,1.14
1531094400,1.49,0.9974,1.07,0.2843,0.2838,0.9981
1531180800,1.06,1,1.06,2.8,2.8,1
1531267200,1.09,0.9876,0.9876,0.49,0.5292,1.08
1531353600,1.1,1.05,1.1,0.9996,1.1,1.1
1531440000,1.11,0.9991,1.1,0.7055,0.7761,1.1
1531526400,1.11,0.9931,1.1,0.4387,0.487,1.11
1531612800,1.11,1.09,1.09,0.107,0.1188,1.11
1531699200,1.08,0.9697,1.05,5.34,5.66,1.06
1531785600,1.09,0.9111,0.9791,0.7172,0.7817,1.09
1531872000,1.1,0.9869,1.08,2.18,2.17,0.9944
1531958400,1.06,0.9778,0.992,1.15,1.14,0.9945
1532044800,1.02,0.9936,1.01,6.97,6.94,0.995
1532131200,1.07,0.9847,0.9847,0.176,0.1748,0.9934
1532217600,1.01,0.9937,0.9949,1.23,1.22,0.9944
1532304000,0.9984,0.9532,0.9532,3.73,3.7,0.9915
1532390400,0.9867,0.9112,0.9112,4.42,4.36,0.9867
1532476800,1.01,0.9882,1.01,3.84,3.84,1
1532563200,1.03,1.01,1.03,9.54,9.64,1.01
1532649600,1,0.9583,0.9786,13.68,13.68,1
1532736000,1.03,0.9859,0.9953,0.9317,0.919,0.9864
1532822400,1.07,0.9873,0.988,3.16,3.19,1.01
1532908800,1.03,0.9583,1.01,4.73,4.78,1.01
1532995200,1.1,0.9911,1.04,1.64,1.66,1.01
