time,high,low,open,volumefrom,volumeto,close
1524441600,0.8197,0.813,0.813,1768018.71,1444854.89,0.8197
1524528000,0.8197,0.813,0.8197,4533318.39,3709913.58,0.8197
1524614400,0.8264,0.813,0.8197,16627160.4,13614494.92,0.8197
1524700800,0.8264,0.8197,0.8197,2432471.78,2000580.82,0.8264
1524787200,0.8264,0.8197,0.8264,1701253.95,1405016.45,0.8264
1524873600,0.8264,0.8197,0.8264,1482701.31,1222577.9,0.8197
1524960000,0.8333,0.8197,0.8197,796034.34,656458.56,0.8264
1525046400,0.8264,0.8197,0.8264,1054952.4,872049.47,0.8264
1525132800,0.8333,0.8264,0.8264,4080761.13,3383349.18,0.8333
1525219200,0.8333,0.8264,0.8333,1735919.32,1446100.25,0.8333
1525305600,0.8403,0.8333,0.8333,1222600.62,1018284.7,0.8333
1525392000,0.8403,0.8333,0.8333,2503198.71,2089656.75,0.8333
1525478400,0.8475,0.8333,0.8333,1320209.22,1102207.08,0.8333
1525564800,0.8475,0.8333,0.8333,1257651.3,1051589.36,0.8333
1525651200,0.8403,0.8333,0.8333,1439381,1205659.04,0.8403
1525737600,0.8475,0.8333,0.8403,1193942.19,1005522.48,0.8403
1525824000,0.9091,0.8403,0.8403,29481424.85,24843064.19,0.8403
1525910400,0.8403,0.8333,0.8403,834039.94,700826.47,0.8403
1525996800,0.8403,0.8333,0.8403,1349313.38,1130126.68,0.8333
1526083200,0.8403,0.8197,0.8333,1113584.81,929429.04,0.8403
1526169600,0.8475,0.8197,0.8403,637782.79,534634.48,0.8403
1526256000,0.8403,0.8333,0.8403,1503240.7,1256247.74,0.8403
1526342400,0.8547,0.8333,0.8403,1627905.96,1370360.13,0.8475
1526428800,0.8547,0.8403,0.8475,1648536.03,1396149.34,0.8475
1526515200,0.8475,0.8475,0.8475,773603.83,655624.45,0.8475
1526601600,0.8621,0.8403,0.8475,599976.19,508780.69,0.8621
1526688000,0.8621,0.8403,0.8621,407362.81,346281.11,0.8475
1526774400,0.8621,0.8403,0.8475,776596.49,660440.77,0.8547
1526860800,0.8547,0.8475,0.8547,986859.77,838746.05,0.8475
1526947200,0.8547,0.8475,0.8475,687304.98,583051.28,0.8475
1527033600,0.8547,0.8475,0.8475,2070168.95,1767158.83,0.8547
1527120000,0.8547,0.8475,0.8547,713242.36,607657.91,0.8547
1527206400,0.8621,0.8333,0.8547,474054.3,405485.23,0.8547
1527292800,0.8621,0.8333,0.8547,190483.78,163129.49,0.8547
1527379200,0.8621,0.8475,0.8547,413369.67,353607.32,0.8547
