time,high,low,open,volumefrom,volumeto,close
1524441600,0.7442,0.6561,0.6748,633.31,465.29,0.7347
1524528000,0.7317,0.525,0.6731,572.06,401.7,0.7022
1524614400,0.8266,0.5934,0.7995,401.26,284.85,0.7099
1524700800,0.726,0.6443,0.663,486.72,341.87,0.7024
1524787200,0.784,0.6915,0.7219,534.95,383.4,0.7167
1524873600,0.7495,0.6752,0.6752,506.88,358.06,0.7064
1524960000,0.746,0.6676,0.7001,676.61,487.43,0.7204
1525046400,0.759,0.6915,0.7408,551.06,385.25,0.6991
1525132800,0.7517,0.6737,0.6986,707.11,500,0.7071
1525219200,0.7496,0.6711,0.6905,784.78,561.35,0.7153
1525305600,0.74,0.5355,0.6318,396.45,283.22,0.7144
1525392000,0.7718,0.6542,0.7083,180.59,135.82,0.7521
1525478400,0.7577,0.6959,0.7226,311.14,223.34,0.7178
1525564800,0.7866,0.6953,0.7413,327.02,235.62,0.7205
1525651200,0.7863,0.7034,0.757,273.26,195.13,0.7141
1525737600,0.7747,0.7004,0.7184,532.24,385.93,0.7251
1525824000,0.7494,0.6747,0.7219,693.93,503.17,0.7251
1525910400,0.7926,0.725,0.7529,783.86,574.73,0.7332
1525996800,0.8118,0.713,0.7803,510.65,368.38,0.7214
1526083200,0.757,0.68,0.7155,417.24,313.81,0.7521
1526169600,0.7581,0.6589,0.7048,635.52,463.68,0.7296
1526256000,0.7548,0.6787,0.7318,617.21,445.5,0.7218
1526342400,0.7832,0.7112,0.7439,632.88,483.84,0.7645
1526428800,0.7629,0.691,0.7629,577.34,411.87,0.7134
1526515200,0.8131,0.7255,0.7543,584.17,423.82,0.7255
1526601600,0.7585,0.6868,0.6993,478.6,347.51,0.7261
1526688000,0.7654,0.6998,0.7236,338.99,247.36,0.7297
1526774400,0.7598,0.6986,0.7099,300.95,217.23,0.7218
1526860800,0.7765,0.7226,0.7409,264.45,198.02,0.7488
1526947200,0.8175,0.7051,0.814,144.21,109.99,0.7627
1527033600,0.8473,0.7567,0.8473,115.87,90.92,0.7847
1527120000,0.7973,0.689,0.7516,141.5,106.31,0.7513
1527206400,0.7908,0.7233,0.7739,155.31,113.81,0.7328
1527292800,1.37,0.727,0.749,162.43,122.96,0.757
1527379200,0.7862,0.7053,0.7783,145.18,108.1,0.7446
1527465600,1.51,0.742,0.8137,173.34,128.84,0.7433
1527552000,1.2,0.6595,0.6896,175.25,137.03,0.7819
1527638400,0.7965,0.7265,0.7952,186.25,139.26,0.7477
1527724800,0.7629,0.7093,0.7183,259.9,190.43,0.7327
1527811200,0.7694,0.7174,0.736,183.26,135.34,0.7385
1527897600,0.7651,0.7088,0.724,171.68,129.29,0.7531
1527984000,0.7622,0.6977,0.7184,225.46,169.84,0.7533
1528070400,0.8004,0.7042,0.7888,184.41,136.19,0.7385
1528156800,0.7635,0.667,0.7285,139.93,103.84,0.7421
1528243200,0.7699,0.6935,0.7443,132.66,98.21,0.7403
1528329600,0.7776,0.6811,0.7426,165.53,123.29,0.7448
1528416000,0.7773,0.6649,0.7511,166.19,125.94,0.7578
1528502400,0.8066,0.7143,0.7655,150.21,113.95,0.7586
1528588800,0.8581,0.7294,0.8581,190.23,149.25,0.7846
1528675200,0.7813,0.6793,0.7752,152.98,119.52,0.7813
1528761600,0.839,0.7218,0.839,180.34,137.56,0.7628
1528848000,0.8109,0.7197,0.7923,210.23,158.2,0.7525
1528934400,0.7704,0.6832,0.6895,510.57,375.83,0.7361
1529020800,0.8224,0.7301,0.7847,529.98,404.32,0.7629
1529107200,0.7978,0.7154,0.7453,586.79,436.34,0.7436
1529193600,0.8134,0.7159,0.7444,790.39,582.75,0.7373
1529280000,0.777,0.6876,0.6995,678.7,506.17,0.7458
1529366400,0.7849,0.689,0.7168,406.8,299.73,0.7368
1529452800,0.7718,0.7119,0.74,181.91,135.4,0.7443
1529539200,0.8133,0.7147,0.7591,220.12,168.59,0.7659
1529625600,0.8719,0.7431,0.8714,171.22,132.85,0.7759
1529712000,0.77,0.7415,0.7562,154.27,116.26,0.7536
1529798400,0.7984,0.7162,0.7851,149.57,117.95,0.7886
1529884800,0.7889,0.7531,0.7825,186.51,145.22,0.7786
1529971200,0.8411,0.7785,0.8315,178.13,148.95,0.8362
1530057600,0.8175,0.7519,0.8132,222.74,179.04,0.8038
1530144000,0.8558,0.7047,0.8439,265.53,203.98,0.7682
1530230400,0.767,0.6812,0.7427,491.41,371.26,0.7555
1530316800,0.7795,0.7062,0.7249,158.32,119.33,0.7537
1530403200,0.7879,0.6771,0.7564,197.17,148.15,0.7514
1530489600,0.7763,0.6899,0.7123,210.5,162.23,0.7707
1530576000,0.8093,0.7099,0.7953,208.69,160.52,0.7692
1530662400,0.7845,0.6759,0.7603,223.4,163.01,0.7297
1530748800,0.7981,0.6971,0.7294,230.52,179.64,0.7793
1530835200,0.7753,0.6415,0.7753,205.79,151.71,0.7372
1530921600,0.7643,0.6632,0.713,178.33,131.59,0.7379
1531008000,0.7712,0.7098,0.7375,159,118.47,0.7451
1531094400,0.7979,0.6918,0.7683,172.04,127.74,0.7425
1531180800,0.8389,0.696,0.809,229.43,173.93,0.7581
1531267200,0.7642,0.6124,0.7362,246.27,184.51,0.7492
1531353600,0.8225,0.6943,0.7841,368.95,272.91,0.7397
1531440000,0.8018,0.6802,0.7369,243.74,181.76,0.7457
1531526400,0.7982,0.6931,0.7438,178.23,130.38,0.7315
1531612800,0.7772,0.6733,0.7055,193.31,145.74,0.7539
1531699200,0.7727,0.6524,0.7081,236.8,174.38,0.7364
1531785600,0.778,0.6743,0.7065,270.68,199.49,0.737
1531872000,0.8471,0.6951,0.7678,265.43,202.97,0.7647
1531958400,0.7992,0.7235,0.7816,260.47,201.06,0.7719
1532044800,0.8195,0.7319,0.8059,504.07,371.35,0.7367
1532131200,0.7859,0.7016,0.7172,261.14,198.44,0.7599
1532217600,0.8161,0.7148,0.7655,4007.32,3025.53,0.755
1532304000,0.8146,0.7141,0.7684,18607.42,14083.96,0.7569
1532390400,0.7706,0.6613,0.7099,268.74,203.25,0.7563
1532476800,0.8102,0.6574,0.756,229.03,167.19,0.73
1532563200,0.8258,0.6591,0.7445,341.51,257.29,0.7534
1532649600,0.7754,0.6149,0.7412,281.48,216.4,0.7688
1532736000,0.7961,0.6993,0.7706,239.11,182.27,0.7623
1532822400,0.7853,0.7053,0.7663,248.2,193.03,0.7777
1532908800,0.8037,0.6884,0.7941,497.45,376.52,0.7569
1532995200,0.8118,0.7181,0.8001,386.26,296.53,0.7677
1533081600,0.8233,0.7122,0.7899,372.31,276.29,0.7421
1533168000,0.8144,0.6974,0.7583,357.25,271.3,0.7594
1533254400,0.7985,0.7091,0.7472,390.99,298.44,0.7633
1533340800,0.8306,0.7052,0.7834,266.08,194.85,0.7323
1533427200,0.7868,0.7093,0.7287,317.64,246.43,0.7758
1533513600,0.8102,0.7046,0.7625,353.03,268.94,0.7618
1533600000,0.8526,0.752,0.8164,434.32,336.34,0.7744
1533686400,0.8346,0.7608,0.823,451.56,351.67,0.7788
1533772800,0.817,0.6685,0.7619,476.27,378.54,0.7948
1533859200,0.8923,0.7858,0.8714,361.15,289.64,0.802
1533945600,0.8671,0.7567,0.8363,498.1,402.76,0.8086
1534032000,0.829,0.7814,0.7966,63.83,50.75,0.7951
1534118400,0.9044,0.522,0.8907,435.89,347.67,0.7976
1534204800,0.9144,0.7278,0.8139,319.18,259.3,0.8124
1534291200,0.8843,0.7589,0.804,224.69,177.98,0.7921
1534377600,0.8237,0.7071,0.7767,430.55,343.32,0.7974
1534464000,0.7922,0.6907,0.7201,261.86,195.87,0.748
1534550400,0.857,0.7156,0.8306,270.78,217.73,0.8041
1534636800,0.8131,0.7074,0.7913,270.03,208.44,0.7719
1534723200,0.8917,0.7701,0.8573,203.86,160.6,0.7878
1534809600,0.8079,0.7315,0.7588,283.96,216.41,0.7621
1534896000,0.8621,0.7521,0.7925,352.67,270.32,0.7665
1534982400,0.8058,0.729,0.7512,264.14,208.14,0.788
1535068800,0.7933,0.6975,0.7726,225.39,176.5,0.7831
1535155200,0.8257,0.7203,0.7939,229.89,181.02,0.7874
1535241600,0.7971,0.7318,0.7968,229.81,178.03,0.7747
1535328000,0.7737,0.6876,0.7377,275.81,207.11,0.7509
1535414400,0.7995,0.697,0.7318,381.39,298.25,0.782
1535500800,0.8097,0.7016,0.8005,339.83,257.96,0.7591
1535587200,0.7947,0.6908,0.7712,394.99,293.24,0.7424
1535673600,0.7886,0.7057,0.7489,261.9,204.31,0.7801
1535760000,0.7945,0.6925,0.7441,349.66,262.91,0.7519
1535846400,0.7979,0.6913,0.7528,391.53,296.78,0.758
1535932800,0.8541,0.7054,0.7739,343.38,265.26,0.7725
1536019200,0.8219,0.7345,0.7825,285.07,223.18,0.7829
1536105600,1.1,0.7697,0.9783,3184.38,2479.04,0.7785
1536192000,0.7832,0.7133,0.7742,6849.09,5326.54,0.7777
1536278400,0.8422,0.7692,0.8297,2843.11,2200.85,0.7741
1536364800,0.8772,0.7501,0.8464,4033.9,3122.64,0.7741
1536451200,0.8198,0.7293,0.7772,3620.86,2807.25,0.7753
1536537600,0.7941,0.7301,0.7709,4066.55,3113.35,0.7656
