time,high,low,open,volumefrom,volumeto,close
1545609600,1.53,1.37,1.37,1593.73,2326.85,1.46
1545696000,1.57,1.4,1.57,4097.31,6064.02,1.48
1545782400,1.51,1.46,1.46,526.84,774.45,1.47
1545868800,1.67,1.46,1.67,384.14,560.84,1.46
1545955200,1.42,1.22,1.22,2652.01,3765.85,1.42
1546041600,1.56,1.44,1.44,175.48,259.71,1.48
1546128000,1.45,1.41,1.44,1988.4,2863.3,1.44
1546214400,1.53,1.46,1.53,436.72,637.61,1.46
1546300800,1.37,1.37,1.37,0,0,1.37
1546387200,1.51,1.25,1.25,2215.69,3345.69,1.51
1546473600,1.59,1.59,1.59,0,0,1.59
1546560000,1.52,1.43,1.52,11764.16,16940.39,1.44
1546646400,1.44,1.44,1.44,0,0,1.44
1546732800,1.42,1.41,1.42,700.5,987.71,1.41
1546819200,1.5,1.47,1.47,735.44,1103.16,1.5
1546905600,1.51,1.51,1.51,0,0,1.51
1546992000,1.51,1.51,1.51,0,0,1.51
1547078400,1.78,1.55,1.78,191,296.05,1.55
1547164800,1.56,1.44,1.56,2938.41,4231.31,1.44
1547251200,1.47,1.45,1.45,1.07,1.57,1.47
1547337600,1.59,1.47,1.59,40.06,58.89,1.47
1547424000,1.4,1.32,1.32,27.54,38.56,1.4
1547510400,1.55,1.43,1.5,2334.89,3338.89,1.43
1547596800,1.45,1.41,1.41,11.1,16.1,1.45
1547683200,1.47,1.44,1.44,2597.45,3766.3,1.45
1547769600,1.51,1.47,1.49,5455.45,8019.51,1.47
1547856000,1.47,1.42,1.42,179.02,263.16,1.47
1547942400,1.55,1.49,1.55,9.54,14.21,1.49
1548028800,1.51,1.46,1.51,1094.36,1641.54,1.5
1548115200,1.5,1.39,1.47,1851.15,2739.7,1.48
1548201600,1.5,1.47,1.5,264.42,388.7,1.47
1548288000,1.46,1.46,1.46,4181.47,6104.95,1.46
1548374400,1.48,1.48,1.48,0,0,1.48
1548460800,1.48,1.45,1.48,56.38,83.44,1.48
1548547200,1.53,1.42,1.53,1.32,1.87,1.42
1548633600,1.5,1.4,1.5,68.22,98.92,1.45
1548720000,1.48,1.47,1.47,158.55,234.65,1.48
1548806400,1.44,1.4,1.42,3494.49,5032.07,1.44
1548892800,1.5,1.47,1.47,713,1069.5,1.5
1548979200,1.49,1.45,1.49,321.3,465.89,1.45
1549065600,1.41,1.36,1.4,5112,7207.92,1.41
1549152000,1.46,1.46,1.46,0,0,1.46
1549238400,1.46,1.45,1.46,497,720.65,1.45
1549324800,1.45,1.44,1.45,8747.77,12684.27,1.45
1549411200,1.48,1.42,1.48,21,29.82,1.42
1549497600,1.48,1.42,1.42,970.4,1436.19,1.48
1549584000,1.48,1.29,1.29,2615.48,3792.45,1.45
1549670400,1.46,1.44,1.45,129.28,188.75,1.46
1549756800,1.39,1.35,1.39,1056,1436.16,1.36
1549843200,1.41,1.41,1.41,0,0,1.41
1549929600,1.48,1.39,1.39,1715.3,2538.64,1.48
1550016000,1.49,1.48,1.48,399.66,591.5,1.48
1550102400,1.5,1.48,1.5,1100,1628,1.48
1550188800,1.47,1.43,1.46,739,1056.77,1.43
1550275200,1.46,1.41,1.41,814.04,1188.5,1.46
1550361600,1.44,1.34,1.34,4037.05,5813.35,1.44
1550448000,1.45,1.32,1.32,1586.8,2269.12,1.43
1550534400,1.49,1.45,1.45,3012.14,4457.97,1.48
1550620800,1.46,1.37,1.43,23029.43,33622.97,1.46
1550707200,1.49,1.42,1.49,18.29,25.97,1.42
1550793600,1.44,1.4,1.4,844.3,1207.35,1.43
1550880000,1.46,1.34,1.34,1815.42,2650.51,1.46
1550966400,1.81,1.5,1.74,3298.95,5047.39,1.53
1551052800,1.49,1.44,1.47,6120.97,8814.2,1.44
1551139200,1.48,1.44,1.46,19857.65,29389.32,1.48
1551225600,1.49,1.38,1.49,3328.08,4592.75,1.38
1551312000,1.49,1.37,1.37,6094.94,8898.61,1.46
1551398400,1.5,1.46,1.46,803.08,1204.62,1.5
1551484800,1.52,1.48,1.52,430,636.4,1.48
1551571200,1.51,1.51,1.51,0,0,1.51
1551657600,1.56,1.47,1.56,69,101.43,1.47
1551744000,1.44,1.32,1.35,3305.11,4759.36,1.44
1551830400,1.48,1.43,1.43,1382.82,2046.57,1.48
1551916800,1.49,1.46,1.49,164,239.44,1.46
1552003200,1.51,1.5,1.5,394.74,596.06,1.51
1552089600,1.48,1.47,1.47,51.5,76.22,1.48
1552176000,1.5,1.5,1.5,0,0,1.5
1552262400,1.53,1.45,1.53,912,1322.4,1.45
1552348800,1.45,1.42,1.44,1840.66,2668.96,1.45
1552435200,1.47,1.46,1.47,1024.41,1495.64,1.46
1552521600,1.47,1.46,1.46,272.33,400.33,1.47
1552608000,1.47,1.42,1.42,8839.11,12993.49,1.47
1552694400,1.43,1.43,1.43,400,572,1.43
1552780800,1.45,1.45,1.45,466.12,675.87,1.45
1552867200,1.48,1.46,1.46,207.11,306.52,1.48
1552953600,1.47,1.42,1.47,4512.34,6542.89,1.45
1553040000,1.44,1.43,1.44,399.34,575.05,1.44
1553126400,1.49,1.43,1.49,1233.28,1800.59,1.46
1553212800,1.45,1.45,1.45,830,1203.5,1.45
1553299200,1.45,1.42,1.44,2146.52,3069.52,1.43
1553385600,1.45,1.43,1.45,734.11,1049.78,1.43
1553472000,1.5,1.41,1.46,3243.48,4638.18,1.43
1553558400,1.44,1.42,1.43,1769.3,2512.41,1.42
1553644800,1.45,1.36,1.36,2478.61,3544.41,1.43
1553731200,1.48,1.45,1.45,5902.74,8558.97,1.45
1553817600,1.45,1.39,1.39,1556.73,2257.26,1.45
1553904000,1.47,1.46,1.46,74,108.78,1.47
1553990400,1.48,1.44,1.48,1062.36,1551.05,1.46
1554076800,1.48,1.46,1.46,5250.54,7770.8,1.48
1554163200,1.46,1.27,1.27,1183.25,1727.54,1.46
1554249600,1.66,1.41,1.49,7154.11,10087.3,1.41
1554336000,1.54,1.44,1.44,1821.1,2677.02,1.47
1554422400,1.48,1.4,1.4,1034.08,1478.73,1.43
1554508800,1.5,1.43,1.43,574.68,862.02,1.5
1554595200,1.48,1.4,1.42,379.05,560.99,1.48
1554681600,1.51,1.44,1.44,2885.66,4299.63,1.49
1554768000,1.53,1.46,1.53,3221.17,4831.76,1.5
1554854400,1.54,1.47,1.49,2095.55,3080.46,1.47
1554940800,1.6,1.48,1.58,2448.23,3672.35,1.5
1555027200,1.51,1.51,1.51,54,81.54,1.51
1555113600,1.52,1.51,1.51,155,235.6,1.52
1555200000,1.48,1.48,1.48,0,0,1.48
1555286400,1.56,1.49,1.56,87,129.63,1.49
1555372800,1.5,1.42,1.43,813.88,1220.82,1.5
1555459200,1.49,1.49,1.49,16.65,24.81,1.49
1555545600,1.49,1.43,1.43,362.42,540.01,1.49
1555632000,1.49,1.49,1.49,0,0,1.49
1555718400,1.49,1.49,1.49,0,0,1.49
1555804800,1.52,1.49,1.52,434,646.66,1.49
1555891200,1.47,1.47,1.47,0,0,1.47
1555977600,1.54,1.45,1.45,247,377.91,1.53
